0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205
12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305
13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233
10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967
9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864
11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833
10411691.108424798,10411691.108424798,10411691.108424798,10411691.108424798,10411691.108424798,10411691.108424798,10411691.108424798,10411691.108424798,10411691.108424798,10411691.108424798,10411691.108424798,10411691.108424798,10411691.108424798,10411691.108424798,10411691.108424798,10411691.108424798
10218718.343879381,10218718.343879381,10218718.343879381,10218718.343879381,10218718.343879381,10218718.343879381,10218718.343879381,10218718.343879381,10218718.343879381,10218718.343879381,10218718.343879381,10218718.343879381,10218718.343879381,10218718.343879381,10218718.343879381,10218718.343879381
10000687.739938155,10000687.739938155,10000687.739938155,10000687.739938155,10000687.739938155,10000687.739938155,10000687.739938155,10000687.739938155,10000687.739938155,10000687.739938155,10000687.739938155,10000687.739938155,10000687.739938155,10000687.739938155,10000687.739938155,10000687.739938155
11167743.325936705,11167743.325936705,11167743.325936705,11167743.325936705,11167743.325936705,11167743.325936705,11167743.325936705,11167743.325936705,11167743.325936705,11167743.325936705,11167743.325936705,11167743.325936705,11167743.325936705,11167743.325936705,11167743.325936705,11167743.325936705
10991051.993453305,10991051.993453305,10991051.993453305,10991051.993453305,10991051.993453305,10991051.993453305,10991051.993453305,10991051.993453305,10991051.993453305,10991051.993453305,10991051.993453305,10991051.993453305,10991051.993453305,10991051.993453305,10991051.993453305,10991051.993453305
12426042.265145713,12426042.265145713,12426042.265145713,12426042.265145713,12426042.265145713,12426042.265145713,12426042.265145713,12426042.265145713,12426042.265145713,12426042.265145713,12426042.265145713,12426042.265145713,12426042.265145713,12426042.265145713,12426042.265145713,12426042.265145713
11837189.324803583,11837189.324803583,11837189.324803583,11837189.324803583,11837189.324803583,11837189.324803583,11837189.324803583,11837189.324803583,11837189.324803583,11837189.324803583,11837189.324803583,11837189.324803583,11837189.324803583,11837189.324803583,11837189.324803583,11837189.324803583
10736816.876349729,10736816.876349729,10736816.876349729,10736816.876349729,10736816.876349729,10736816.876349729,10736816.876349729,10736816.876349729,10736816.876349729,10736816.876349729,10736816.876349729,10736816.876349729,10736816.876349729,10736816.876349729,10736816.876349729,10736816.876349729
11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207
12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716
13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203
10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644
