0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205
12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305
13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233
10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967,10759283.255640967
9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864,9110070.540196864
11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833,11387709.849947833
10297741.364488235,10297741.364488235,10297741.364488235,10297741.364488235,10297741.364488235,10297741.364488235,10297741.364488235,10297741.364488235,10297741.364488235,10297741.364488235,10297741.364488235,10297741.364488235,10297741.364488235,10297741.364488235,10297741.364488235,10297741.364488235
10414025.365715928,10414025.365715928,10414025.365715928,10414025.365715928,10414025.365715928,10414025.365715928,10414025.365715928,10414025.365715928,10414025.365715928,10414025.365715928,10414025.365715928,10414025.365715928,10414025.365715928,10414025.365715928,10414025.365715928,10414025.365715928
10554053.373120997,10554053.373120997,10554053.373120997,10554053.373120997,10554053.373120997,10554053.373120997,10554053.373120997,10554053.373120997,10554053.373120997,10554053.373120997,10554053.373120997,10554053.373120997,10554053.373120997,10554053.373120997,10554053.373120997,10554053.373120997
10759374.10173734,10759374.10173734,10759374.10173734,10759374.10173734,10759374.10173734,10759374.10173734,10759374.10173734,10759374.10173734,10759374.10173734,10759374.10173734,10759374.10173734,10759374.10173734,10759374.10173734,10759374.10173734,10759374.10173734,10759374.10173734
10827166.17127835,10827166.17127835,10827166.17127835,10827166.17127835,10827166.17127835,10827166.17127835,10827166.17127835,10827166.17127835,10827166.17127835,10827166.17127835,10827166.17127835,10827166.17127835,10827166.17127835,10827166.17127835,10827166.17127835,10827166.17127835
13177255.399313938,13177255.399313938,13177255.399313938,13177255.399313938,13177255.399313938,13177255.399313938,13177255.399313938,13177255.399313938,13177255.399313938,13177255.399313938,13177255.399313938,13177255.399313938,13177255.399313938,13177255.399313938,13177255.399313938,13177255.399313938
12768819.051298864,12768819.051298864,12768819.051298864,12768819.051298864,12768819.051298864,12768819.051298864,12768819.051298864,12768819.051298864,12768819.051298864,12768819.051298864,12768819.051298864,12768819.051298864,12768819.051298864,12768819.051298864,12768819.051298864,12768819.051298864
11311848.590590905,11311848.590590905,11311848.590590905,11311848.590590905,11311848.590590905,11311848.590590905,11311848.590590905,11311848.590590905,11311848.590590905,11311848.590590905,11311848.590590905,11311848.590590905,11311848.590590905,11311848.590590905,11311848.590590905,11311848.590590905
11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207
12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716
13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203
10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644
