0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205,16120442.75552205
12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305,12087083.931302305
13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233,13160927.031497233
11317012.341317268,11317012.341317268,11317012.341317268,11317012.341317268,11317012.341317268,11317012.341317268,11317012.341317268,11317012.341317268,11317012.341317268,11317012.341317268,11317012.341317268,11317012.341317268,11317012.341317268,11317012.341317268,11317012.341317268,11317012.341317268
11509032.86512175,11509032.86512175,11509032.86512175,11509032.86512175,11509032.86512175,11509032.86512175,11509032.86512175,11509032.86512175,11509032.86512175,11509032.86512175,11509032.86512175,11509032.86512175,11509032.86512175,11509032.86512175,11509032.86512175,11509032.86512175
12929268.588457288,12929268.588457288,12929268.588457288,12929268.588457288,12929268.588457288,12929268.588457288,12929268.588457288,12929268.588457288,12929268.588457288,12929268.588457288,12929268.588457288,12929268.588457288,12929268.588457288,12929268.588457288,12929268.588457288,12929268.588457288
11439423.921412038,11439423.921412038,11439423.921412038,11439423.921412038,11439423.921412038,11439423.921412038,11439423.921412038,11439423.921412038,11439423.921412038,11439423.921412038,11439423.921412038,11439423.921412038,11439423.921412038,11439423.921412038,11439423.921412038,11439423.921412038
10144222.990875281,10144222.990875281,10144222.990875281,10144222.990875281,10144222.990875281,10144222.990875281,10144222.990875281,10144222.990875281,10144222.990875281,10144222.990875281,10144222.990875281,10144222.990875281,10144222.990875281,10144222.990875281,10144222.990875281,10144222.990875281
10310895.600824896,10310895.600824896,10310895.600824896,10310895.600824896,10310895.600824896,10310895.600824896,10310895.600824896,10310895.600824896,10310895.600824896,10310895.600824896,10310895.600824896,10310895.600824896,10310895.600824896,10310895.600824896,10310895.600824896,10310895.600824896
11184091.619044188,11184091.619044188,11184091.619044188,11184091.619044188,11184091.619044188,11184091.619044188,11184091.619044188,11184091.619044188,11184091.619044188,11184091.619044188,11184091.619044188,11184091.619044188,11184091.619044188,11184091.619044188,11184091.619044188,11184091.619044188
11365016.961195963,11365016.961195963,11365016.961195963,11365016.961195963,11365016.961195963,11365016.961195963,11365016.961195963,11365016.961195963,11365016.961195963,11365016.961195963,11365016.961195963,11365016.961195963,11365016.961195963,11365016.961195963,11365016.961195963,11365016.961195963
13133300.818709135,13133300.818709135,13133300.818709135,13133300.818709135,13133300.818709135,13133300.818709135,13133300.818709135,13133300.818709135,13133300.818709135,13133300.818709135,13133300.818709135,13133300.818709135,13133300.818709135,13133300.818709135,13133300.818709135,13133300.818709135
12248577.589034814,12248577.589034814,12248577.589034814,12248577.589034814,12248577.589034814,12248577.589034814,12248577.589034814,12248577.589034814,12248577.589034814,12248577.589034814,12248577.589034814,12248577.589034814,12248577.589034814,12248577.589034814,12248577.589034814,12248577.589034814
10657710.025225494,10657710.025225494,10657710.025225494,10657710.025225494,10657710.025225494,10657710.025225494,10657710.025225494,10657710.025225494,10657710.025225494,10657710.025225494,10657710.025225494,10657710.025225494,10657710.025225494,10657710.025225494,10657710.025225494,10657710.025225494
11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207,11373378.878944207
12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716,12194451.97782716
13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203,13441651.419041203
10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644,10543263.14428644
