0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485
38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962
45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402
423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702
60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446
3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607
50664846.35209881,50664846.35209881,50664846.35209881,50664846.35209881,50664846.35209881,50664846.35209881,50664846.35209881,50664846.35209881,50664846.35209881,50664846.35209881,50664846.35209881,50664846.35209881,50664846.35209881,50664846.35209881,50664846.35209881,50664846.35209881
5770229.759773365,5770229.759773365,5770229.759773365,5770229.759773365,5770229.759773365,5770229.759773365,5770229.759773365,5770229.759773365,5770229.759773365,5770229.759773365,5770229.759773365,5770229.759773365,5770229.759773365,5770229.759773365,5770229.759773365,5770229.759773365
61846682.73004282,61846682.73004282,61846682.73004282,61846682.73004282,61846682.73004282,61846682.73004282,61846682.73004282,61846682.73004282,61846682.73004282,61846682.73004282,61846682.73004282,61846682.73004282,61846682.73004282,61846682.73004282,61846682.73004282,61846682.73004282
5251556.721559819,5251556.721559819,5251556.721559819,5251556.721559819,5251556.721559819,5251556.721559819,5251556.721559819,5251556.721559819,5251556.721559819,5251556.721559819,5251556.721559819,5251556.721559819,5251556.721559819,5251556.721559819,5251556.721559819,5251556.721559819
39855019.62863548,39855019.62863548,39855019.62863548,39855019.62863548,39855019.62863548,39855019.62863548,39855019.62863548,39855019.62863548,39855019.62863548,39855019.62863548,39855019.62863548,39855019.62863548,39855019.62863548,39855019.62863548,39855019.62863548,39855019.62863548
41787263.67949693,41787263.67949693,41787263.67949693,41787263.67949693,41787263.67949693,41787263.67949693,41787263.67949693,41787263.67949693,41787263.67949693,41787263.67949693,41787263.67949693,41787263.67949693,41787263.67949693,41787263.67949693,41787263.67949693,41787263.67949693
69161791.84992668,69161791.84992668,69161791.84992668,69161791.84992668,69161791.84992668,69161791.84992668,69161791.84992668,69161791.84992668,69161791.84992668,69161791.84992668,69161791.84992668,69161791.84992668,69161791.84992668,69161791.84992668,69161791.84992668,69161791.84992668
89273136.86569726,89273136.86569726,89273136.86569726,89273136.86569726,89273136.86569726,89273136.86569726,89273136.86569726,89273136.86569726,89273136.86569726,89273136.86569726,89273136.86569726,89273136.86569726,89273136.86569726,89273136.86569726,89273136.86569726,89273136.86569726
13226371.389431244,13226371.389431244,13226371.389431244,13226371.389431244,13226371.389431244,13226371.389431244,13226371.389431244,13226371.389431244,13226371.389431244,13226371.389431244,13226371.389431244,13226371.389431244,13226371.389431244,13226371.389431244,13226371.389431244,13226371.389431244
27466435.518467546,27466435.518467546,27466435.518467546,27466435.518467546,27466435.518467546,27466435.518467546,27466435.518467546,27466435.518467546,27466435.518467546,27466435.518467546,27466435.518467546,27466435.518467546,27466435.518467546,27466435.518467546,27466435.518467546,27466435.518467546
38754175.626950964,38754175.626950964,38754175.626950964,38754175.626950964,38754175.626950964,38754175.626950964,38754175.626950964,38754175.626950964,38754175.626950964,38754175.626950964,38754175.626950964,38754175.626950964,38754175.626950964,38754175.626950964,38754175.626950964,38754175.626950964
31815592.881961025,31815592.881961025,31815592.881961025,31815592.881961025,31815592.881961025,31815592.881961025,31815592.881961025,31815592.881961025,31815592.881961025,31815592.881961025,31815592.881961025,31815592.881961025,31815592.881961025,31815592.881961025,31815592.881961025,31815592.881961025
