0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485
24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239
5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346
43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587
2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626
109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747
11454184.934414785,11454184.934414785,11454184.934414785,11454184.934414785,11454184.934414785,11454184.934414785,11454184.934414785,11454184.934414785,11454184.934414785,11454184.934414785,11454184.934414785,11454184.934414785,11454184.934414785,11454184.934414785,11454184.934414785,11454184.934414785
45391344.47093316,45391344.47093316,45391344.47093316,45391344.47093316,45391344.47093316,45391344.47093316,45391344.47093316,45391344.47093316,45391344.47093316,45391344.47093316,45391344.47093316,45391344.47093316,45391344.47093316,45391344.47093316,45391344.47093316,45391344.47093316
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120890974.49469626,120890974.49469626,120890974.49469626,120890974.49469626,120890974.49469626,120890974.49469626,120890974.49469626,120890974.49469626,120890974.49469626,120890974.49469626,120890974.49469626,120890974.49469626,120890974.49469626,120890974.49469626,120890974.49469626,120890974.49469626
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96765024.24522245,96765024.24522245,96765024.24522245,96765024.24522245,96765024.24522245,96765024.24522245,96765024.24522245,96765024.24522245,96765024.24522245,96765024.24522245,96765024.24522245,96765024.24522245,96765024.24522245,96765024.24522245,96765024.24522245,96765024.24522245
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92003105.60625792,92003105.60625792,92003105.60625792,92003105.60625792,92003105.60625792,92003105.60625792,92003105.60625792,92003105.60625792,92003105.60625792,92003105.60625792,92003105.60625792,92003105.60625792,92003105.60625792,92003105.60625792,92003105.60625792,92003105.60625792
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90898682.19856305,90898682.19856305,90898682.19856305,90898682.19856305,90898682.19856305,90898682.19856305,90898682.19856305,90898682.19856305,90898682.19856305,90898682.19856305,90898682.19856305,90898682.19856305,90898682.19856305,90898682.19856305,90898682.19856305,90898682.19856305
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105848475.60291591,105848475.60291591,105848475.60291591,105848475.60291591,105848475.60291591,105848475.60291591,105848475.60291591,105848475.60291591,105848475.60291591,105848475.60291591,105848475.60291591,105848475.60291591,105848475.60291591,105848475.60291591,105848475.60291591,105848475.60291591
