0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443
3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4301495.271290742,4301495.271290742,4301495.271290742,4301495.271290742,4301495.271290742,4301495.271290742,4301495.271290742,4301495.271290742,4301495.271290742,4301495.271290742,4301495.271290742,4301495.271290742,4301495.271290742,4301495.271290742,4301495.271290742,4301495.271290742
2491938.571555503,2491938.571555503,2491938.571555503,2491938.571555503,2491938.571555503,2491938.571555503,2491938.571555503,2491938.571555503,2491938.571555503,2491938.571555503,2491938.571555503,2491938.571555503,2491938.571555503,2491938.571555503,2491938.571555503,2491938.571555503
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134234539.5223419,134234539.5223419,134234539.5223419,134234539.5223419,134234539.5223419,134234539.5223419,134234539.5223419,134234539.5223419,134234539.5223419,134234539.5223419,134234539.5223419,134234539.5223419,134234539.5223419,134234539.5223419,134234539.5223419,134234539.5223419
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21795271.55855951,21795271.55855951,21795271.55855951,21795271.55855951,21795271.55855951,21795271.55855951,21795271.55855951,21795271.55855951,21795271.55855951,21795271.55855951,21795271.55855951,21795271.55855951,21795271.55855951,21795271.55855951,21795271.55855951,21795271.55855951
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170704000.0520666,170704000.0520666,170704000.0520666,170704000.0520666,170704000.0520666,170704000.0520666,170704000.0520666,170704000.0520666,170704000.0520666,170704000.0520666,170704000.0520666,170704000.0520666,170704000.0520666,170704000.0520666,170704000.0520666,170704000.0520666
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129161041.75605957,129161041.75605957,129161041.75605957,129161041.75605957,129161041.75605957,129161041.75605957,129161041.75605957,129161041.75605957,129161041.75605957,129161041.75605957,129161041.75605957,129161041.75605957,129161041.75605957,129161041.75605957,129161041.75605957,129161041.75605957
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
