0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485
38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846
46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273
61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981
67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31495894.580424055,31495894.580424055,31495894.580424055,31495894.580424055,31495894.580424055,31495894.580424055,31495894.580424055,31495894.580424055,31495894.580424055,31495894.580424055,31495894.580424055,31495894.580424055,31495894.580424055,31495894.580424055,31495894.580424055,31495894.580424055
47098830.807840526,47098830.807840526,47098830.807840526,47098830.807840526,47098830.807840526,47098830.807840526,47098830.807840526,47098830.807840526,47098830.807840526,47098830.807840526,47098830.807840526,47098830.807840526,47098830.807840526,47098830.807840526,47098830.807840526,47098830.807840526
55278767.6066315,55278767.6066315,55278767.6066315,55278767.6066315,55278767.6066315,55278767.6066315,55278767.6066315,55278767.6066315,55278767.6066315,55278767.6066315,55278767.6066315,55278767.6066315,55278767.6066315,55278767.6066315,55278767.6066315,55278767.6066315
95543507.48584609,95543507.48584609,95543507.48584609,95543507.48584609,95543507.48584609,95543507.48584609,95543507.48584609,95543507.48584609,95543507.48584609,95543507.48584609,95543507.48584609,95543507.48584609,95543507.48584609,95543507.48584609,95543507.48584609,95543507.48584609
130696368.96402964,130696368.96402964,130696368.96402964,130696368.96402964,130696368.96402964,130696368.96402964,130696368.96402964,130696368.96402964,130696368.96402964,130696368.96402964,130696368.96402964,130696368.96402964,130696368.96402964,130696368.96402964,130696368.96402964,130696368.96402964
49990729.001384266,49990729.001384266,49990729.001384266,49990729.001384266,49990729.001384266,49990729.001384266,49990729.001384266,49990729.001384266,49990729.001384266,49990729.001384266,49990729.001384266,49990729.001384266,49990729.001384266,49990729.001384266,49990729.001384266,49990729.001384266
71331002.3647843,71331002.3647843,71331002.3647843,71331002.3647843,71331002.3647843,71331002.3647843,71331002.3647843,71331002.3647843,71331002.3647843,71331002.3647843,71331002.3647843,71331002.3647843,71331002.3647843,71331002.3647843,71331002.3647843,71331002.3647843
27572744.331004348,27572744.331004348,27572744.331004348,27572744.331004348,27572744.331004348,27572744.331004348,27572744.331004348,27572744.331004348,27572744.331004348,27572744.331004348,27572744.331004348,27572744.331004348,27572744.331004348,27572744.331004348,27572744.331004348,27572744.331004348
155832622.69245356,155832622.69245356,155832622.69245356,155832622.69245356,155832622.69245356,155832622.69245356,155832622.69245356,155832622.69245356,155832622.69245356,155832622.69245356,155832622.69245356,155832622.69245356,155832622.69245356,155832622.69245356,155832622.69245356,155832622.69245356
88352150.60091561,88352150.60091561,88352150.60091561,88352150.60091561,88352150.60091561,88352150.60091561,88352150.60091561,88352150.60091561,88352150.60091561,88352150.60091561,88352150.60091561,88352150.60091561,88352150.60091561,88352150.60091561,88352150.60091561,88352150.60091561
125897500.24764627,125897500.24764627,125897500.24764627,125897500.24764627,125897500.24764627,125897500.24764627,125897500.24764627,125897500.24764627,125897500.24764627,125897500.24764627,125897500.24764627,125897500.24764627,125897500.24764627,125897500.24764627,125897500.24764627,125897500.24764627
103025164.362313,103025164.362313,103025164.362313,103025164.362313,103025164.362313,103025164.362313,103025164.362313,103025164.362313,103025164.362313,103025164.362313,103025164.362313,103025164.362313,103025164.362313,103025164.362313,103025164.362313,103025164.362313
