0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3887087.8283873796,3887087.8283873796,3887087.8283873796,3887087.8283873796,3887087.8283873796,3887087.8283873796,3887087.8283873796,3887087.8283873796,3887087.8283873796,3887087.8283873796,3887087.8283873796,3887087.8283873796,3887087.8283873796,3887087.8283873796,3887087.8283873796,3887087.8283873796
2357908.5496089603,2357908.5496089603,2357908.5496089603,2357908.5496089603,2357908.5496089603,2357908.5496089603,2357908.5496089603,2357908.5496089603,2357908.5496089603,2357908.5496089603,2357908.5496089603,2357908.5496089603,2357908.5496089603,2357908.5496089603,2357908.5496089603,2357908.5496089603
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111536933.16174012,111536933.16174012,111536933.16174012,111536933.16174012,111536933.16174012,111536933.16174012,111536933.16174012,111536933.16174012,111536933.16174012,111536933.16174012,111536933.16174012,111536933.16174012,111536933.16174012,111536933.16174012,111536933.16174012,111536933.16174012
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4289693.126533311,4289693.126533311,4289693.126533311,4289693.126533311,4289693.126533311,4289693.126533311,4289693.126533311,4289693.126533311,4289693.126533311,4289693.126533311,4289693.126533311,4289693.126533311,4289693.126533311,4289693.126533311,4289693.126533311,4289693.126533311
3832030.550851538,3832030.550851538,3832030.550851538,3832030.550851538,3832030.550851538,3832030.550851538,3832030.550851538,3832030.550851538,3832030.550851538,3832030.550851538,3832030.550851538,3832030.550851538,3832030.550851538,3832030.550851538,3832030.550851538,3832030.550851538
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92687168.33498454,92687168.33498454,92687168.33498454,92687168.33498454,92687168.33498454,92687168.33498454,92687168.33498454,92687168.33498454,92687168.33498454,92687168.33498454,92687168.33498454,92687168.33498454,92687168.33498454,92687168.33498454,92687168.33498454,92687168.33498454
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19697613.42924722,19697613.42924722,19697613.42924722,19697613.42924722,19697613.42924722,19697613.42924722,19697613.42924722,19697613.42924722,19697613.42924722,19697613.42924722,19697613.42924722,19697613.42924722,19697613.42924722,19697613.42924722,19697613.42924722,19697613.42924722
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205998700.0167788,205998700.0167788,205998700.0167788,205998700.0167788,205998700.0167788,205998700.0167788,205998700.0167788,205998700.0167788,205998700.0167788,205998700.0167788,205998700.0167788,205998700.0167788,205998700.0167788,205998700.0167788,205998700.0167788,205998700.0167788
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5390917.315036715,5390917.315036715,5390917.315036715,5390917.315036715,5390917.315036715,5390917.315036715,5390917.315036715,5390917.315036715,5390917.315036715,5390917.315036715,5390917.315036715,5390917.315036715,5390917.315036715,5390917.315036715,5390917.315036715,5390917.315036715
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
