0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485
38596420.566666156,38596420.566666156,38596420.566666156,38596420.566666156,38596420.566666156,38596420.566666156,38596420.566666156,38596420.566666156,38596420.566666156,38596420.566666156,38596420.566666156,38596420.566666156,38596420.566666156,38596420.566666156,38596420.566666156,38596420.566666156
41462223.399328604,41462223.399328604,41462223.399328604,41462223.399328604,41462223.399328604,41462223.399328604,41462223.399328604,41462223.399328604,41462223.399328604,41462223.399328604,41462223.399328604,41462223.399328604,41462223.399328604,41462223.399328604,41462223.399328604,41462223.399328604
52510928.97240115,52510928.97240115,52510928.97240115,52510928.97240115,52510928.97240115,52510928.97240115,52510928.97240115,52510928.97240115,52510928.97240115,52510928.97240115,52510928.97240115,52510928.97240115,52510928.97240115,52510928.97240115,52510928.97240115,52510928.97240115
63273116.81875408,63273116.81875408,63273116.81875408,63273116.81875408,63273116.81875408,63273116.81875408,63273116.81875408,63273116.81875408,63273116.81875408,63273116.81875408,63273116.81875408,63273116.81875408,63273116.81875408,63273116.81875408,63273116.81875408,63273116.81875408
107550806.93136263,107550806.93136263,107550806.93136263,107550806.93136263,107550806.93136263,107550806.93136263,107550806.93136263,107550806.93136263,107550806.93136263,107550806.93136263,107550806.93136263,107550806.93136263,107550806.93136263,107550806.93136263,107550806.93136263,107550806.93136263
41965470.0011577,41965470.0011577,41965470.0011577,41965470.0011577,41965470.0011577,41965470.0011577,41965470.0011577,41965470.0011577,41965470.0011577,41965470.0011577,41965470.0011577,41965470.0011577,41965470.0011577,41965470.0011577,41965470.0011577,41965470.0011577
47388532.50079775,47388532.50079775,47388532.50079775,47388532.50079775,47388532.50079775,47388532.50079775,47388532.50079775,47388532.50079775,47388532.50079775,47388532.50079775,47388532.50079775,47388532.50079775,47388532.50079775,47388532.50079775,47388532.50079775,47388532.50079775
65888400.330036834,65888400.330036834,65888400.330036834,65888400.330036834,65888400.330036834,65888400.330036834,65888400.330036834,65888400.330036834,65888400.330036834,65888400.330036834,65888400.330036834,65888400.330036834,65888400.330036834,65888400.330036834,65888400.330036834,65888400.330036834
121829991.11174747,121829991.11174747,121829991.11174747,121829991.11174747,121829991.11174747,121829991.11174747,121829991.11174747,121829991.11174747,121829991.11174747,121829991.11174747,121829991.11174747,121829991.11174747,121829991.11174747,121829991.11174747,121829991.11174747,121829991.11174747
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54220861.7032806,54220861.7032806,54220861.7032806,54220861.7032806,54220861.7032806,54220861.7032806,54220861.7032806,54220861.7032806,54220861.7032806,54220861.7032806,54220861.7032806,54220861.7032806,54220861.7032806,54220861.7032806,54220861.7032806,54220861.7032806
63893277.065788984,63893277.065788984,63893277.065788984,63893277.065788984,63893277.065788984,63893277.065788984,63893277.065788984,63893277.065788984,63893277.065788984,63893277.065788984,63893277.065788984,63893277.065788984,63893277.065788984,63893277.065788984,63893277.065788984,63893277.065788984
85084094.8044742,85084094.8044742,85084094.8044742,85084094.8044742,85084094.8044742,85084094.8044742,85084094.8044742,85084094.8044742,85084094.8044742,85084094.8044742,85084094.8044742,85084094.8044742,85084094.8044742,85084094.8044742,85084094.8044742,85084094.8044742
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56176123.6467918,56176123.6467918,56176123.6467918,56176123.6467918,56176123.6467918,56176123.6467918,56176123.6467918,56176123.6467918,56176123.6467918,56176123.6467918,56176123.6467918,56176123.6467918,56176123.6467918,56176123.6467918,56176123.6467918,56176123.6467918
64506687.15010879,64506687.15010879,64506687.15010879,64506687.15010879,64506687.15010879,64506687.15010879,64506687.15010879,64506687.15010879,64506687.15010879,64506687.15010879,64506687.15010879,64506687.15010879,64506687.15010879,64506687.15010879,64506687.15010879,64506687.15010879
107174620.97157976,107174620.97157976,107174620.97157976,107174620.97157976,107174620.97157976,107174620.97157976,107174620.97157976,107174620.97157976,107174620.97157976,107174620.97157976,107174620.97157976,107174620.97157976,107174620.97157976,107174620.97157976,107174620.97157976,107174620.97157976
