0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485
38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962
45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402
423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702,423145.5259013702
60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446,60396192.982401446
3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607,3837241.345743607
50562576.28366307,50562576.28366307,50562576.28366307,50562576.28366307,50562576.28366307,50562576.28366307,50562576.28366307,50562576.28366307,50562576.28366307,50562576.28366307,50562576.28366307,50562576.28366307,50562576.28366307,50562576.28366307,50562576.28366307,50562576.28366307
5662644.292135842,5662644.292135842,5662644.292135842,5662644.292135842,5662644.292135842,5662644.292135842,5662644.292135842,5662644.292135842,5662644.292135842,5662644.292135842,5662644.292135842,5662644.292135842,5662644.292135842,5662644.292135842,5662644.292135842,5662644.292135842
61156011.46464553,61156011.46464553,61156011.46464553,61156011.46464553,61156011.46464553,61156011.46464553,61156011.46464553,61156011.46464553,61156011.46464553,61156011.46464553,61156011.46464553,61156011.46464553,61156011.46464553,61156011.46464553,61156011.46464553,61156011.46464553
6102091.937709479,6102091.937709479,6102091.937709479,6102091.937709479,6102091.937709479,6102091.937709479,6102091.937709479,6102091.937709479,6102091.937709479,6102091.937709479,6102091.937709479,6102091.937709479,6102091.937709479,6102091.937709479,6102091.937709479,6102091.937709479
103453476.77598596,103453476.77598596,103453476.77598596,103453476.77598596,103453476.77598596,103453476.77598596,103453476.77598596,103453476.77598596,103453476.77598596,103453476.77598596,103453476.77598596,103453476.77598596,103453476.77598596,103453476.77598596,103453476.77598596,103453476.77598596
19084744.565202486,19084744.565202486,19084744.565202486,19084744.565202486,19084744.565202486,19084744.565202486,19084744.565202486,19084744.565202486,19084744.565202486,19084744.565202486,19084744.565202486,19084744.565202486,19084744.565202486,19084744.565202486,19084744.565202486,19084744.565202486
58181948.20750989,58181948.20750989,58181948.20750989,58181948.20750989,58181948.20750989,58181948.20750989,58181948.20750989,58181948.20750989,58181948.20750989,58181948.20750989,58181948.20750989,58181948.20750989,58181948.20750989,58181948.20750989,58181948.20750989,58181948.20750989
82864352.44312455,82864352.44312455,82864352.44312455,82864352.44312455,82864352.44312455,82864352.44312455,82864352.44312455,82864352.44312455,82864352.44312455,82864352.44312455,82864352.44312455,82864352.44312455,82864352.44312455,82864352.44312455,82864352.44312455,82864352.44312455
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27512864.016087256,27512864.016087256,27512864.016087256,27512864.016087256,27512864.016087256,27512864.016087256,27512864.016087256,27512864.016087256,27512864.016087256,27512864.016087256,27512864.016087256,27512864.016087256,27512864.016087256,27512864.016087256,27512864.016087256,27512864.016087256
38977632.57845383,38977632.57845383,38977632.57845383,38977632.57845383,38977632.57845383,38977632.57845383,38977632.57845383,38977632.57845383,38977632.57845383,38977632.57845383,38977632.57845383,38977632.57845383,38977632.57845383,38977632.57845383,38977632.57845383,38977632.57845383
32302807.29185798,32302807.29185798,32302807.29185798,32302807.29185798,32302807.29185798,32302807.29185798,32302807.29185798,32302807.29185798,32302807.29185798,32302807.29185798,32302807.29185798,32302807.29185798,32302807.29185798,32302807.29185798,32302807.29185798,32302807.29185798
