0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485
24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239
5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346
43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587,43041146.14486587
2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626,2806115.117884626
109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747,109329514.75638747
11223867.24886227,11223867.24886227,11223867.24886227,11223867.24886227,11223867.24886227,11223867.24886227,11223867.24886227,11223867.24886227,11223867.24886227,11223867.24886227,11223867.24886227,11223867.24886227,11223867.24886227,11223867.24886227,11223867.24886227,11223867.24886227
45160083.805684224,45160083.805684224,45160083.805684224,45160083.805684224,45160083.805684224,45160083.805684224,45160083.805684224,45160083.805684224,45160083.805684224,45160083.805684224,45160083.805684224,45160083.805684224,45160083.805684224,45160083.805684224,45160083.805684224,45160083.805684224
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80553615.67056112,80553615.67056112,80553615.67056112,80553615.67056112,80553615.67056112,80553615.67056112,80553615.67056112,80553615.67056112,80553615.67056112,80553615.67056112,80553615.67056112,80553615.67056112,80553615.67056112,80553615.67056112,80553615.67056112,80553615.67056112
3761172.6794397905,3761172.6794397905,3761172.6794397905,3761172.6794397905,3761172.6794397905,3761172.6794397905,3761172.6794397905,3761172.6794397905,3761172.6794397905,3761172.6794397905,3761172.6794397905,3761172.6794397905,3761172.6794397905,3761172.6794397905,3761172.6794397905,3761172.6794397905
87127956.2604126,87127956.2604126,87127956.2604126,87127956.2604126,87127956.2604126,87127956.2604126,87127956.2604126,87127956.2604126,87127956.2604126,87127956.2604126,87127956.2604126,87127956.2604126,87127956.2604126,87127956.2604126,87127956.2604126,87127956.2604126
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85289887.4546174,85289887.4546174,85289887.4546174,85289887.4546174,85289887.4546174,85289887.4546174,85289887.4546174,85289887.4546174,85289887.4546174,85289887.4546174,85289887.4546174,85289887.4546174,85289887.4546174,85289887.4546174,85289887.4546174,85289887.4546174
5616832.42483091,5616832.42483091,5616832.42483091,5616832.42483091,5616832.42483091,5616832.42483091,5616832.42483091,5616832.42483091,5616832.42483091,5616832.42483091,5616832.42483091,5616832.42483091,5616832.42483091,5616832.42483091,5616832.42483091,5616832.42483091
91056171.7895493,91056171.7895493,91056171.7895493,91056171.7895493,91056171.7895493,91056171.7895493,91056171.7895493,91056171.7895493,91056171.7895493,91056171.7895493,91056171.7895493,91056171.7895493,91056171.7895493,91056171.7895493,91056171.7895493,91056171.7895493
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107477687.6229192,107477687.6229192,107477687.6229192,107477687.6229192,107477687.6229192,107477687.6229192,107477687.6229192,107477687.6229192,107477687.6229192,107477687.6229192,107477687.6229192,107477687.6229192,107477687.6229192,107477687.6229192,107477687.6229192,107477687.6229192
