0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443
3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394,3671769.155261394
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662,97422918.68261662
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4280790.370954432,4280790.370954432,4280790.370954432,4280790.370954432,4280790.370954432,4280790.370954432,4280790.370954432,4280790.370954432,4280790.370954432,4280790.370954432,4280790.370954432,4280790.370954432,4280790.370954432,4280790.370954432,4280790.370954432,4280790.370954432
2468492.6906947833,2468492.6906947833,2468492.6906947833,2468492.6906947833,2468492.6906947833,2468492.6906947833,2468492.6906947833,2468492.6906947833,2468492.6906947833,2468492.6906947833,2468492.6906947833,2468492.6906947833,2468492.6906947833,2468492.6906947833,2468492.6906947833,2468492.6906947833
72056.42001526162,72056.42001526162,72056.42001526162,72056.42001526162,72056.42001526162,72056.42001526162,72056.42001526162,72056.42001526162,72056.42001526162,72056.42001526162,72056.42001526162,72056.42001526162,72056.42001526162,72056.42001526162,72056.42001526162,72056.42001526162
92055288.5780069,92055288.5780069,92055288.5780069,92055288.5780069,92055288.5780069,92055288.5780069,92055288.5780069,92055288.5780069,92055288.5780069,92055288.5780069,92055288.5780069,92055288.5780069,92055288.5780069,92055288.5780069,92055288.5780069,92055288.5780069
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18320041.972650386,18320041.972650386,18320041.972650386,18320041.972650386,18320041.972650386,18320041.972650386,18320041.972650386,18320041.972650386,18320041.972650386,18320041.972650386,18320041.972650386,18320041.972650386,18320041.972650386,18320041.972650386,18320041.972650386,18320041.972650386
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176830339.20272034,176830339.20272034,176830339.20272034,176830339.20272034,176830339.20272034,176830339.20272034,176830339.20272034,176830339.20272034,176830339.20272034,176830339.20272034,176830339.20272034,176830339.20272034,176830339.20272034,176830339.20272034,176830339.20272034,176830339.20272034
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130307013.49482715,130307013.49482715,130307013.49482715,130307013.49482715,130307013.49482715,130307013.49482715,130307013.49482715,130307013.49482715,130307013.49482715,130307013.49482715,130307013.49482715,130307013.49482715,130307013.49482715,130307013.49482715,130307013.49482715,130307013.49482715
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
