0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485
38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846,38745559.683768846
46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273,46803250.93829273
61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981,61759038.82555981
67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815,67968541.85029815
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31583200.868710127,31583200.868710127,31583200.868710127,31583200.868710127,31583200.868710127,31583200.868710127,31583200.868710127,31583200.868710127,31583200.868710127,31583200.868710127,31583200.868710127,31583200.868710127,31583200.868710127,31583200.868710127,31583200.868710127,31583200.868710127
46939213.95982045,46939213.95982045,46939213.95982045,46939213.95982045,46939213.95982045,46939213.95982045,46939213.95982045,46939213.95982045,46939213.95982045,46939213.95982045,46939213.95982045,46939213.95982045,46939213.95982045,46939213.95982045,46939213.95982045,46939213.95982045
54675017.46339655,54675017.46339655,54675017.46339655,54675017.46339655,54675017.46339655,54675017.46339655,54675017.46339655,54675017.46339655,54675017.46339655,54675017.46339655,54675017.46339655,54675017.46339655,54675017.46339655,54675017.46339655,54675017.46339655,54675017.46339655
117041910.7159857,117041910.7159857,117041910.7159857,117041910.7159857,117041910.7159857,117041910.7159857,117041910.7159857,117041910.7159857,117041910.7159857,117041910.7159857,117041910.7159857,117041910.7159857,117041910.7159857,117041910.7159857,117041910.7159857,117041910.7159857
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53537122.877991915,53537122.877991915,53537122.877991915,53537122.877991915,53537122.877991915,53537122.877991915,53537122.877991915,53537122.877991915,53537122.877991915,53537122.877991915,53537122.877991915,53537122.877991915,53537122.877991915,53537122.877991915,53537122.877991915,53537122.877991915
59768816.94749454,59768816.94749454,59768816.94749454,59768816.94749454,59768816.94749454,59768816.94749454,59768816.94749454,59768816.94749454,59768816.94749454,59768816.94749454,59768816.94749454,59768816.94749454,59768816.94749454,59768816.94749454,59768816.94749454,59768816.94749454
25908313.477613248,25908313.477613248,25908313.477613248,25908313.477613248,25908313.477613248,25908313.477613248,25908313.477613248,25908313.477613248,25908313.477613248,25908313.477613248,25908313.477613248,25908313.477613248,25908313.477613248,25908313.477613248,25908313.477613248,25908313.477613248
157564399.9919632,157564399.9919632,157564399.9919632,157564399.9919632,157564399.9919632,157564399.9919632,157564399.9919632,157564399.9919632,157564399.9919632,157564399.9919632,157564399.9919632,157564399.9919632,157564399.9919632,157564399.9919632,157564399.9919632,157564399.9919632
88499513.72255512,88499513.72255512,88499513.72255512,88499513.72255512,88499513.72255512,88499513.72255512,88499513.72255512,88499513.72255512,88499513.72255512,88499513.72255512,88499513.72255512,88499513.72255512,88499513.72255512,88499513.72255512,88499513.72255512,88499513.72255512
126994915.82524547,126994915.82524547,126994915.82524547,126994915.82524547,126994915.82524547,126994915.82524547,126994915.82524547,126994915.82524547,126994915.82524547,126994915.82524547,126994915.82524547,126994915.82524547,126994915.82524547,126994915.82524547,126994915.82524547,126994915.82524547
104747031.12107952,104747031.12107952,104747031.12107952,104747031.12107952,104747031.12107952,104747031.12107952,104747031.12107952,104747031.12107952,104747031.12107952,104747031.12107952,104747031.12107952,104747031.12107952,104747031.12107952,104747031.12107952,104747031.12107952,104747031.12107952
