0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485
38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962,38691260.63780962
45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402,45285383.67894402
48445097.597132355,48445097.597132355,48445097.597132355,48445097.597132355,48445097.597132355,48445097.597132355,48445097.597132355,48445097.597132355,48445097.597132355,48445097.597132355,48445097.597132355,48445097.597132355,48445097.597132355,48445097.597132355,48445097.597132355,48445097.597132355
13474958.230503373,13474958.230503373,13474958.230503373,13474958.230503373,13474958.230503373,13474958.230503373,13474958.230503373,13474958.230503373,13474958.230503373,13474958.230503373,13474958.230503373,13474958.230503373,13474958.230503373,13474958.230503373,13474958.230503373,13474958.230503373
31514930.267527897,31514930.267527897,31514930.267527897,31514930.267527897,31514930.267527897,31514930.267527897,31514930.267527897,31514930.267527897,31514930.267527897,31514930.267527897,31514930.267527897,31514930.267527897,31514930.267527897,31514930.267527897,31514930.267527897,31514930.267527897
14526101.110904848,14526101.110904848,14526101.110904848,14526101.110904848,14526101.110904848,14526101.110904848,14526101.110904848,14526101.110904848,14526101.110904848,14526101.110904848,14526101.110904848,14526101.110904848,14526101.110904848,14526101.110904848,14526101.110904848,14526101.110904848
45399707.158310436,45399707.158310436,45399707.158310436,45399707.158310436,45399707.158310436,45399707.158310436,45399707.158310436,45399707.158310436,45399707.158310436,45399707.158310436,45399707.158310436,45399707.158310436,45399707.158310436,45399707.158310436,45399707.158310436,45399707.158310436
48103534.78129323,48103534.78129323,48103534.78129323,48103534.78129323,48103534.78129323,48103534.78129323,48103534.78129323,48103534.78129323,48103534.78129323,48103534.78129323,48103534.78129323,48103534.78129323,48103534.78129323,48103534.78129323,48103534.78129323,48103534.78129323
135994.32763740147,135994.32763740147,135994.32763740147,135994.32763740147,135994.32763740147,135994.32763740147,135994.32763740147,135994.32763740147,135994.32763740147,135994.32763740147,135994.32763740147,135994.32763740147,135994.32763740147,135994.32763740147,135994.32763740147,135994.32763740147
153867874.16874003,153867874.16874003,153867874.16874003,153867874.16874003,153867874.16874003,153867874.16874003,153867874.16874003,153867874.16874003,153867874.16874003,153867874.16874003,153867874.16874003,153867874.16874003,153867874.16874003,153867874.16874003,153867874.16874003,153867874.16874003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22519216.49297528,22519216.49297528,22519216.49297528,22519216.49297528,22519216.49297528,22519216.49297528,22519216.49297528,22519216.49297528,22519216.49297528,22519216.49297528,22519216.49297528,22519216.49297528,22519216.49297528,22519216.49297528,22519216.49297528,22519216.49297528
111298126.90948093,111298126.90948093,111298126.90948093,111298126.90948093,111298126.90948093,111298126.90948093,111298126.90948093,111298126.90948093,111298126.90948093,111298126.90948093,111298126.90948093,111298126.90948093,111298126.90948093,111298126.90948093,111298126.90948093,111298126.90948093
23163554.58604242,23163554.58604242,23163554.58604242,23163554.58604242,23163554.58604242,23163554.58604242,23163554.58604242,23163554.58604242,23163554.58604242,23163554.58604242,23163554.58604242,23163554.58604242,23163554.58604242,23163554.58604242,23163554.58604242,23163554.58604242
36791191.30522774,36791191.30522774,36791191.30522774,36791191.30522774,36791191.30522774,36791191.30522774,36791191.30522774,36791191.30522774,36791191.30522774,36791191.30522774,36791191.30522774,36791191.30522774,36791191.30522774,36791191.30522774,36791191.30522774,36791191.30522774
23595402.792600878,23595402.792600878,23595402.792600878,23595402.792600878,23595402.792600878,23595402.792600878,23595402.792600878,23595402.792600878,23595402.792600878,23595402.792600878,23595402.792600878,23595402.792600878,23595402.792600878,23595402.792600878,23595402.792600878,23595402.792600878
133940546.32754883,133940546.32754883,133940546.32754883,133940546.32754883,133940546.32754883,133940546.32754883,133940546.32754883,133940546.32754883,133940546.32754883,133940546.32754883,133940546.32754883,133940546.32754883,133940546.32754883,133940546.32754883,133940546.32754883,133940546.32754883
