0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485
24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239,24163006.65759239
5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346,5846758.882888346
4475936.83295342,4475936.83295342,4475936.83295342,4475936.83295342,4475936.83295342,4475936.83295342,4475936.83295342,4475936.83295342,4475936.83295342,4475936.83295342,4475936.83295342,4475936.83295342,4475936.83295342,4475936.83295342,4475936.83295342,4475936.83295342
67780948.3064564,67780948.3064564,67780948.3064564,67780948.3064564,67780948.3064564,67780948.3064564,67780948.3064564,67780948.3064564,67780948.3064564,67780948.3064564,67780948.3064564,67780948.3064564,67780948.3064564,67780948.3064564,67780948.3064564,67780948.3064564
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46415613.04800742,46415613.04800742,46415613.04800742,46415613.04800742,46415613.04800742,46415613.04800742,46415613.04800742,46415613.04800742,46415613.04800742,46415613.04800742,46415613.04800742,46415613.04800742,46415613.04800742,46415613.04800742,46415613.04800742,46415613.04800742
5855239.994906737,5855239.994906737,5855239.994906737,5855239.994906737,5855239.994906737,5855239.994906737,5855239.994906737,5855239.994906737,5855239.994906737,5855239.994906737,5855239.994906737,5855239.994906737,5855239.994906737,5855239.994906737,5855239.994906737,5855239.994906737
17009175.57542638,17009175.57542638,17009175.57542638,17009175.57542638,17009175.57542638,17009175.57542638,17009175.57542638,17009175.57542638,17009175.57542638,17009175.57542638,17009175.57542638,17009175.57542638,17009175.57542638,17009175.57542638,17009175.57542638,17009175.57542638
78177339.14227323,78177339.14227323,78177339.14227323,78177339.14227323,78177339.14227323,78177339.14227323,78177339.14227323,78177339.14227323,78177339.14227323,78177339.14227323,78177339.14227323,78177339.14227323,78177339.14227323,78177339.14227323,78177339.14227323,78177339.14227323
44451972.565090865,44451972.565090865,44451972.565090865,44451972.565090865,44451972.565090865,44451972.565090865,44451972.565090865,44451972.565090865,44451972.565090865,44451972.565090865,44451972.565090865,44451972.565090865,44451972.565090865,44451972.565090865,44451972.565090865,44451972.565090865
10477412.102047736,10477412.102047736,10477412.102047736,10477412.102047736,10477412.102047736,10477412.102047736,10477412.102047736,10477412.102047736,10477412.102047736,10477412.102047736,10477412.102047736,10477412.102047736,10477412.102047736,10477412.102047736,10477412.102047736,10477412.102047736
73601492.88896614,73601492.88896614,73601492.88896614,73601492.88896614,73601492.88896614,73601492.88896614,73601492.88896614,73601492.88896614,73601492.88896614,73601492.88896614,73601492.88896614,73601492.88896614,73601492.88896614,73601492.88896614,73601492.88896614,73601492.88896614
1209549.0642817197,1209549.0642817197,1209549.0642817197,1209549.0642817197,1209549.0642817197,1209549.0642817197,1209549.0642817197,1209549.0642817197,1209549.0642817197,1209549.0642817197,1209549.0642817197,1209549.0642817197,1209549.0642817197,1209549.0642817197,1209549.0642817197,1209549.0642817197
106881934.74499217,106881934.74499217,106881934.74499217,106881934.74499217,106881934.74499217,106881934.74499217,106881934.74499217,106881934.74499217,106881934.74499217,106881934.74499217,106881934.74499217,106881934.74499217,106881934.74499217,106881934.74499217,106881934.74499217,106881934.74499217
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77019812.99365112,77019812.99365112,77019812.99365112,77019812.99365112,77019812.99365112,77019812.99365112,77019812.99365112,77019812.99365112,77019812.99365112,77019812.99365112,77019812.99365112,77019812.99365112,77019812.99365112,77019812.99365112,77019812.99365112,77019812.99365112
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
