0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485,17873060.2489485
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443,4290725.907301443
6041171.868055053,6041171.868055053,6041171.868055053,6041171.868055053,6041171.868055053,6041171.868055053,6041171.868055053,6041171.868055053,6041171.868055053,6041171.868055053,6041171.868055053,6041171.868055053,6041171.868055053,6041171.868055053,6041171.868055053,6041171.868055053
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104641689.46845162,104641689.46845162,104641689.46845162,104641689.46845162,104641689.46845162,104641689.46845162,104641689.46845162,104641689.46845162,104641689.46845162,104641689.46845162,104641689.46845162,104641689.46845162,104641689.46845162,104641689.46845162,104641689.46845162,104641689.46845162
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4257982.828159934,4257982.828159934,4257982.828159934,4257982.828159934,4257982.828159934,4257982.828159934,4257982.828159934,4257982.828159934,4257982.828159934,4257982.828159934,4257982.828159934,4257982.828159934,4257982.828159934,4257982.828159934,4257982.828159934,4257982.828159934
6124817.588138154,6124817.588138154,6124817.588138154,6124817.588138154,6124817.588138154,6124817.588138154,6124817.588138154,6124817.588138154,6124817.588138154,6124817.588138154,6124817.588138154,6124817.588138154,6124817.588138154,6124817.588138154,6124817.588138154,6124817.588138154
5963384.856692281,5963384.856692281,5963384.856692281,5963384.856692281,5963384.856692281,5963384.856692281,5963384.856692281,5963384.856692281,5963384.856692281,5963384.856692281,5963384.856692281,5963384.856692281,5963384.856692281,5963384.856692281,5963384.856692281,5963384.856692281
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127581380.8763007,127581380.8763007,127581380.8763007,127581380.8763007,127581380.8763007,127581380.8763007,127581380.8763007,127581380.8763007,127581380.8763007,127581380.8763007,127581380.8763007,127581380.8763007,127581380.8763007,127581380.8763007,127581380.8763007,127581380.8763007
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164900205.78097945,164900205.78097945,164900205.78097945,164900205.78097945,164900205.78097945,164900205.78097945,164900205.78097945,164900205.78097945,164900205.78097945,164900205.78097945,164900205.78097945,164900205.78097945,164900205.78097945,164900205.78097945,164900205.78097945,164900205.78097945
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123047499.98544326,123047499.98544326,123047499.98544326,123047499.98544326,123047499.98544326,123047499.98544326,123047499.98544326,123047499.98544326,123047499.98544326,123047499.98544326,123047499.98544326,123047499.98544326,123047499.98544326,123047499.98544326,123047499.98544326,123047499.98544326
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305464428.0992382,305464428.0992382,305464428.0992382,305464428.0992382,305464428.0992382,305464428.0992382,305464428.0992382,305464428.0992382,305464428.0992382,305464428.0992382,305464428.0992382,305464428.0992382,305464428.0992382,305464428.0992382,305464428.0992382,305464428.0992382
