0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77401902.24306995,77401902.24306995,77401902.24306995,77401902.24306995,77401902.24306995,77401902.24306995,77401902.24306995,77401902.24306995,77401902.24306995,77401902.24306995,77401902.24306995,77401902.24306995,77401902.24306995,77401902.24306995,77401902.24306995,77401902.24306995
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106705794.77130996,106705794.77130996,106705794.77130996,106705794.77130996,106705794.77130996,106705794.77130996,106705794.77130996,106705794.77130996,106705794.77130996,106705794.77130996,106705794.77130996,106705794.77130996,106705794.77130996,106705794.77130996,106705794.77130996,106705794.77130996
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103530012.44906524,103530012.44906524,103530012.44906524,103530012.44906524,103530012.44906524,103530012.44906524,103530012.44906524,103530012.44906524,103530012.44906524,103530012.44906524,103530012.44906524,103530012.44906524,103530012.44906524,103530012.44906524,103530012.44906524,103530012.44906524
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87114249.1140768,87114249.1140768,87114249.1140768,87114249.1140768,87114249.1140768,87114249.1140768,87114249.1140768,87114249.1140768,87114249.1140768,87114249.1140768,87114249.1140768,87114249.1140768,87114249.1140768,87114249.1140768,87114249.1140768,87114249.1140768
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130784642.22271043,130784642.22271043,130784642.22271043,130784642.22271043,130784642.22271043,130784642.22271043,130784642.22271043,130784642.22271043,130784642.22271043,130784642.22271043,130784642.22271043,130784642.22271043,130784642.22271043,130784642.22271043,130784642.22271043,130784642.22271043
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165357096.509874,165357096.509874,165357096.509874,165357096.509874,165357096.509874,165357096.509874,165357096.509874,165357096.509874,165357096.509874,165357096.509874,165357096.509874,165357096.509874,165357096.509874,165357096.509874,165357096.509874,165357096.509874
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
