0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842
68288427.30840337,68288427.30840337,68288427.30840337,68288427.30840337,68288427.30840337,68288427.30840337,68288427.30840337,68288427.30840337,68288427.30840337,68288427.30840337,68288427.30840337,68288427.30840337,68288427.30840337,68288427.30840337,68288427.30840337,68288427.30840337
90151095.32224867,90151095.32224867,90151095.32224867,90151095.32224867,90151095.32224867,90151095.32224867,90151095.32224867,90151095.32224867,90151095.32224867,90151095.32224867,90151095.32224867,90151095.32224867,90151095.32224867,90151095.32224867,90151095.32224867,90151095.32224867
69583199.69773044,69583199.69773044,69583199.69773044,69583199.69773044,69583199.69773044,69583199.69773044,69583199.69773044,69583199.69773044,69583199.69773044,69583199.69773044,69583199.69773044,69583199.69773044,69583199.69773044,69583199.69773044,69583199.69773044,69583199.69773044
45998842.710562594,45998842.710562594,45998842.710562594,45998842.710562594,45998842.710562594,45998842.710562594,45998842.710562594,45998842.710562594,45998842.710562594,45998842.710562594,45998842.710562594,45998842.710562594,45998842.710562594,45998842.710562594,45998842.710562594,45998842.710562594
56952486.65961035,56952486.65961035,56952486.65961035,56952486.65961035,56952486.65961035,56952486.65961035,56952486.65961035,56952486.65961035,56952486.65961035,56952486.65961035,56952486.65961035,56952486.65961035,56952486.65961035,56952486.65961035,56952486.65961035,56952486.65961035
39581963.33054723,39581963.33054723,39581963.33054723,39581963.33054723,39581963.33054723,39581963.33054723,39581963.33054723,39581963.33054723,39581963.33054723,39581963.33054723,39581963.33054723,39581963.33054723,39581963.33054723,39581963.33054723,39581963.33054723,39581963.33054723
70513476.65852958,70513476.65852958,70513476.65852958,70513476.65852958,70513476.65852958,70513476.65852958,70513476.65852958,70513476.65852958,70513476.65852958,70513476.65852958,70513476.65852958,70513476.65852958,70513476.65852958,70513476.65852958,70513476.65852958,70513476.65852958
53931575.31687674,53931575.31687674,53931575.31687674,53931575.31687674,53931575.31687674,53931575.31687674,53931575.31687674,53931575.31687674,53931575.31687674,53931575.31687674,53931575.31687674,53931575.31687674,53931575.31687674,53931575.31687674,53931575.31687674,53931575.31687674
61647806.14463221,61647806.14463221,61647806.14463221,61647806.14463221,61647806.14463221,61647806.14463221,61647806.14463221,61647806.14463221,61647806.14463221,61647806.14463221,61647806.14463221,61647806.14463221,61647806.14463221,61647806.14463221,61647806.14463221,61647806.14463221
81195992.67715976,81195992.67715976,81195992.67715976,81195992.67715976,81195992.67715976,81195992.67715976,81195992.67715976,81195992.67715976,81195992.67715976,81195992.67715976,81195992.67715976,81195992.67715976,81195992.67715976,81195992.67715976,81195992.67715976,81195992.67715976
77041756.31779346,77041756.31779346,77041756.31779346,77041756.31779346,77041756.31779346,77041756.31779346,77041756.31779346,77041756.31779346,77041756.31779346,77041756.31779346,77041756.31779346,77041756.31779346,77041756.31779346,77041756.31779346,77041756.31779346,77041756.31779346
49444902.11970495,49444902.11970495,49444902.11970495,49444902.11970495,49444902.11970495,49444902.11970495,49444902.11970495,49444902.11970495,49444902.11970495,49444902.11970495,49444902.11970495,49444902.11970495,49444902.11970495,49444902.11970495,49444902.11970495,49444902.11970495
68433989.82436275,68433989.82436275,68433989.82436275,68433989.82436275,68433989.82436275,68433989.82436275,68433989.82436275,68433989.82436275,68433989.82436275,68433989.82436275,68433989.82436275,68433989.82436275,68433989.82436275,68433989.82436275,68433989.82436275,68433989.82436275
53454795.311886474,53454795.311886474,53454795.311886474,53454795.311886474,53454795.311886474,53454795.311886474,53454795.311886474,53454795.311886474,53454795.311886474,53454795.311886474,53454795.311886474,53454795.311886474,53454795.311886474,53454795.311886474,53454795.311886474,53454795.311886474
64255477.675242126,64255477.675242126,64255477.675242126,64255477.675242126,64255477.675242126,64255477.675242126,64255477.675242126,64255477.675242126,64255477.675242126,64255477.675242126,64255477.675242126,64255477.675242126,64255477.675242126,64255477.675242126,64255477.675242126,64255477.675242126
52086555.31415913,52086555.31415913,52086555.31415913,52086555.31415913,52086555.31415913,52086555.31415913,52086555.31415913,52086555.31415913,52086555.31415913,52086555.31415913,52086555.31415913,52086555.31415913,52086555.31415913,52086555.31415913,52086555.31415913,52086555.31415913
69110276.56317532,69110276.56317532,69110276.56317532,69110276.56317532,69110276.56317532,69110276.56317532,69110276.56317532,69110276.56317532,69110276.56317532,69110276.56317532,69110276.56317532,69110276.56317532,69110276.56317532,69110276.56317532,69110276.56317532,69110276.56317532
