0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172282205.65083945,172282205.65083945,172282205.65083945,172282205.65083945,172282205.65083945,172282205.65083945,172282205.65083945,172282205.65083945,172282205.65083945,172282205.65083945,172282205.65083945,172282205.65083945,172282205.65083945,172282205.65083945,172282205.65083945,172282205.65083945
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86246217.37686545,86246217.37686545,86246217.37686545,86246217.37686545,86246217.37686545,86246217.37686545,86246217.37686545,86246217.37686545,86246217.37686545,86246217.37686545,86246217.37686545,86246217.37686545,86246217.37686545,86246217.37686545,86246217.37686545,86246217.37686545
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74540541.72689077,74540541.72689077,74540541.72689077,74540541.72689077,74540541.72689077,74540541.72689077,74540541.72689077,74540541.72689077,74540541.72689077,74540541.72689077,74540541.72689077,74540541.72689077,74540541.72689077,74540541.72689077,74540541.72689077,74540541.72689077
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101792395.474672,101792395.474672,101792395.474672,101792395.474672,101792395.474672,101792395.474672,101792395.474672,101792395.474672,101792395.474672,101792395.474672,101792395.474672,101792395.474672,101792395.474672,101792395.474672,101792395.474672,101792395.474672
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155054582.18697476,155054582.18697476,155054582.18697476,155054582.18697476,155054582.18697476,155054582.18697476,155054582.18697476,155054582.18697476,155054582.18697476,155054582.18697476,155054582.18697476,155054582.18697476,155054582.18697476,155054582.18697476,155054582.18697476,155054582.18697476
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93023907.18398118,93023907.18398118,93023907.18398118,93023907.18398118,93023907.18398118,93023907.18398118,93023907.18398118,93023907.18398118,93023907.18398118,93023907.18398118,93023907.18398118,93023907.18398118,93023907.18398118,93023907.18398118,93023907.18398118,93023907.18398118
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100796275.5980204,100796275.5980204,100796275.5980204,100796275.5980204,100796275.5980204,100796275.5980204,100796275.5980204,100796275.5980204,100796275.5980204,100796275.5980204,100796275.5980204,100796275.5980204,100796275.5980204,100796275.5980204,100796275.5980204,100796275.5980204
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98306046.06340303,98306046.06340303,98306046.06340303,98306046.06340303,98306046.06340303,98306046.06340303,98306046.06340303,98306046.06340303,98306046.06340303,98306046.06340303,98306046.06340303,98306046.06340303,98306046.06340303,98306046.06340303,98306046.06340303,98306046.06340303
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
