0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842
84320010.85639551,84320010.85639551,84320010.85639551,84320010.85639551,84320010.85639551,84320010.85639551,84320010.85639551,84320010.85639551,84320010.85639551,84320010.85639551,84320010.85639551,84320010.85639551,84320010.85639551,84320010.85639551,84320010.85639551,84320010.85639551
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56587551.69550066,56587551.69550066,56587551.69550066,56587551.69550066,56587551.69550066,56587551.69550066,56587551.69550066,56587551.69550066,56587551.69550066,56587551.69550066,56587551.69550066,56587551.69550066,56587551.69550066,56587551.69550066,56587551.69550066,56587551.69550066
25853650.997878633,25853650.997878633,25853650.997878633,25853650.997878633,25853650.997878633,25853650.997878633,25853650.997878633,25853650.997878633,25853650.997878633,25853650.997878633,25853650.997878633,25853650.997878633,25853650.997878633,25853650.997878633,25853650.997878633,25853650.997878633
46088371.985107526,46088371.985107526,46088371.985107526,46088371.985107526,46088371.985107526,46088371.985107526,46088371.985107526,46088371.985107526,46088371.985107526,46088371.985107526,46088371.985107526,46088371.985107526,46088371.985107526,46088371.985107526,46088371.985107526,46088371.985107526
22335220.085686747,22335220.085686747,22335220.085686747,22335220.085686747,22335220.085686747,22335220.085686747,22335220.085686747,22335220.085686747,22335220.085686747,22335220.085686747,22335220.085686747,22335220.085686747,22335220.085686747,22335220.085686747,22335220.085686747,22335220.085686747
57267160.47561329,57267160.47561329,57267160.47561329,57267160.47561329,57267160.47561329,57267160.47561329,57267160.47561329,57267160.47561329,57267160.47561329,57267160.47561329,57267160.47561329,57267160.47561329,57267160.47561329,57267160.47561329,57267160.47561329,57267160.47561329
30451401.50743598,30451401.50743598,30451401.50743598,30451401.50743598,30451401.50743598,30451401.50743598,30451401.50743598,30451401.50743598,30451401.50743598,30451401.50743598,30451401.50743598,30451401.50743598,30451401.50743598,30451401.50743598,30451401.50743598,30451401.50743598
76014106.06704165,76014106.06704165,76014106.06704165,76014106.06704165,76014106.06704165,76014106.06704165,76014106.06704165,76014106.06704165,76014106.06704165,76014106.06704165,76014106.06704165,76014106.06704165,76014106.06704165,76014106.06704165,76014106.06704165,76014106.06704165
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62466712.75018723,62466712.75018723,62466712.75018723,62466712.75018723,62466712.75018723,62466712.75018723,62466712.75018723,62466712.75018723,62466712.75018723,62466712.75018723,62466712.75018723,62466712.75018723,62466712.75018723,62466712.75018723,62466712.75018723,62466712.75018723
27879125.209102895,27879125.209102895,27879125.209102895,27879125.209102895,27879125.209102895,27879125.209102895,27879125.209102895,27879125.209102895,27879125.209102895,27879125.209102895,27879125.209102895,27879125.209102895,27879125.209102895,27879125.209102895,27879125.209102895,27879125.209102895
55506073.759191275,55506073.759191275,55506073.759191275,55506073.759191275,55506073.759191275,55506073.759191275,55506073.759191275,55506073.759191275,55506073.759191275,55506073.759191275,55506073.759191275,55506073.759191275,55506073.759191275,55506073.759191275,55506073.759191275,55506073.759191275
30160839.757021856,30160839.757021856,30160839.757021856,30160839.757021856,30160839.757021856,30160839.757021856,30160839.757021856,30160839.757021856,30160839.757021856,30160839.757021856,30160839.757021856,30160839.757021856,30160839.757021856,30160839.757021856,30160839.757021856,30160839.757021856
52157432.53762537,52157432.53762537,52157432.53762537,52157432.53762537,52157432.53762537,52157432.53762537,52157432.53762537,52157432.53762537,52157432.53762537,52157432.53762537,52157432.53762537,52157432.53762537,52157432.53762537,52157432.53762537,52157432.53762537,52157432.53762537
29492118.868681207,29492118.868681207,29492118.868681207,29492118.868681207,29492118.868681207,29492118.868681207,29492118.868681207,29492118.868681207,29492118.868681207,29492118.868681207,29492118.868681207,29492118.868681207,29492118.868681207,29492118.868681207,29492118.868681207,29492118.868681207
56051689.24510287,56051689.24510287,56051689.24510287,56051689.24510287,56051689.24510287,56051689.24510287,56051689.24510287,56051689.24510287,56051689.24510287,56051689.24510287,56051689.24510287,56051689.24510287,56051689.24510287,56051689.24510287,56051689.24510287,56051689.24510287
