0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842
71062753.6585679,71062753.6585679,71062753.6585679,71062753.6585679,71062753.6585679,71062753.6585679,71062753.6585679,71062753.6585679,71062753.6585679,71062753.6585679,71062753.6585679,71062753.6585679,71062753.6585679,71062753.6585679,71062753.6585679,71062753.6585679
284303197.3516184,284303197.3516184,284303197.3516184,284303197.3516184,284303197.3516184,284303197.3516184,284303197.3516184,284303197.3516184,284303197.3516184,284303197.3516184,284303197.3516184,284303197.3516184,284303197.3516184,284303197.3516184,284303197.3516184,284303197.3516184
13052013.466469401,13052013.466469401,13052013.466469401,13052013.466469401,13052013.466469401,13052013.466469401,13052013.466469401,13052013.466469401,13052013.466469401,13052013.466469401,13052013.466469401,13052013.466469401,13052013.466469401,13052013.466469401,13052013.466469401,13052013.466469401
77217506.8783482,77217506.8783482,77217506.8783482,77217506.8783482,77217506.8783482,77217506.8783482,77217506.8783482,77217506.8783482,77217506.8783482,77217506.8783482,77217506.8783482,77217506.8783482,77217506.8783482,77217506.8783482,77217506.8783482,77217506.8783482
57146978.88071647,57146978.88071647,57146978.88071647,57146978.88071647,57146978.88071647,57146978.88071647,57146978.88071647,57146978.88071647,57146978.88071647,57146978.88071647,57146978.88071647,57146978.88071647,57146978.88071647,57146978.88071647,57146978.88071647,57146978.88071647
39054757.98726274,39054757.98726274,39054757.98726274,39054757.98726274,39054757.98726274,39054757.98726274,39054757.98726274,39054757.98726274,39054757.98726274,39054757.98726274,39054757.98726274,39054757.98726274,39054757.98726274,39054757.98726274,39054757.98726274,39054757.98726274
70532981.9496122,70532981.9496122,70532981.9496122,70532981.9496122,70532981.9496122,70532981.9496122,70532981.9496122,70532981.9496122,70532981.9496122,70532981.9496122,70532981.9496122,70532981.9496122,70532981.9496122,70532981.9496122,70532981.9496122,70532981.9496122
55443487.80095346,55443487.80095346,55443487.80095346,55443487.80095346,55443487.80095346,55443487.80095346,55443487.80095346,55443487.80095346,55443487.80095346,55443487.80095346,55443487.80095346,55443487.80095346,55443487.80095346,55443487.80095346,55443487.80095346,55443487.80095346
66447766.25138679,66447766.25138679,66447766.25138679,66447766.25138679,66447766.25138679,66447766.25138679,66447766.25138679,66447766.25138679,66447766.25138679,66447766.25138679,66447766.25138679,66447766.25138679,66447766.25138679,66447766.25138679,66447766.25138679,66447766.25138679
54534713.5298868,54534713.5298868,54534713.5298868,54534713.5298868,54534713.5298868,54534713.5298868,54534713.5298868,54534713.5298868,54534713.5298868,54534713.5298868,54534713.5298868,54534713.5298868,54534713.5298868,54534713.5298868,54534713.5298868,54534713.5298868
69758716.60284968,69758716.60284968,69758716.60284968,69758716.60284968,69758716.60284968,69758716.60284968,69758716.60284968,69758716.60284968,69758716.60284968,69758716.60284968,69758716.60284968,69758716.60284968,69758716.60284968,69758716.60284968,69758716.60284968,69758716.60284968
52763956.67560933,52763956.67560933,52763956.67560933,52763956.67560933,52763956.67560933,52763956.67560933,52763956.67560933,52763956.67560933,52763956.67560933,52763956.67560933,52763956.67560933,52763956.67560933,52763956.67560933,52763956.67560933,52763956.67560933,52763956.67560933
70106337.99492541,70106337.99492541,70106337.99492541,70106337.99492541,70106337.99492541,70106337.99492541,70106337.99492541,70106337.99492541,70106337.99492541,70106337.99492541,70106337.99492541,70106337.99492541,70106337.99492541,70106337.99492541,70106337.99492541,70106337.99492541
72135239.01705399,72135239.01705399,72135239.01705399,72135239.01705399,72135239.01705399,72135239.01705399,72135239.01705399,72135239.01705399,72135239.01705399,72135239.01705399,72135239.01705399,72135239.01705399,72135239.01705399,72135239.01705399,72135239.01705399,72135239.01705399
67151725.19310424,67151725.19310424,67151725.19310424,67151725.19310424,67151725.19310424,67151725.19310424,67151725.19310424,67151725.19310424,67151725.19310424,67151725.19310424,67151725.19310424,67151725.19310424,67151725.19310424,67151725.19310424,67151725.19310424,67151725.19310424
100907553.9021534,100907553.9021534,100907553.9021534,100907553.9021534,100907553.9021534,100907553.9021534,100907553.9021534,100907553.9021534,100907553.9021534,100907553.9021534,100907553.9021534,100907553.9021534,100907553.9021534,100907553.9021534,100907553.9021534,100907553.9021534
49522785.32708712,49522785.32708712,49522785.32708712,49522785.32708712,49522785.32708712,49522785.32708712,49522785.32708712,49522785.32708712,49522785.32708712,49522785.32708712,49522785.32708712,49522785.32708712,49522785.32708712,49522785.32708712,49522785.32708712,49522785.32708712
