0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249,62606932.21560249
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73222044.61716643,73222044.61716643,73222044.61716643,73222044.61716643,73222044.61716643,73222044.61716643,73222044.61716643,73222044.61716643,73222044.61716643,73222044.61716643,73222044.61716643,73222044.61716643,73222044.61716643,73222044.61716643,73222044.61716643,73222044.61716643
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105245843.97144084,105245843.97144084,105245843.97144084,105245843.97144084,105245843.97144084,105245843.97144084,105245843.97144084,105245843.97144084,105245843.97144084,105245843.97144084,105245843.97144084,105245843.97144084,105245843.97144084,105245843.97144084,105245843.97144084,105245843.97144084
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103231586.53888601,103231586.53888601,103231586.53888601,103231586.53888601,103231586.53888601,103231586.53888601,103231586.53888601,103231586.53888601,103231586.53888601,103231586.53888601,103231586.53888601,103231586.53888601,103231586.53888601,103231586.53888601,103231586.53888601,103231586.53888601
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99483362.35571757,99483362.35571757,99483362.35571757,99483362.35571757,99483362.35571757,99483362.35571757,99483362.35571757,99483362.35571757,99483362.35571757,99483362.35571757,99483362.35571757,99483362.35571757,99483362.35571757,99483362.35571757,99483362.35571757,99483362.35571757
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135804856.35094577,135804856.35094577,135804856.35094577,135804856.35094577,135804856.35094577,135804856.35094577,135804856.35094577,135804856.35094577,135804856.35094577,135804856.35094577,135804856.35094577,135804856.35094577,135804856.35094577,135804856.35094577,135804856.35094577,135804856.35094577
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192693351.6023709,192693351.6023709,192693351.6023709,192693351.6023709,192693351.6023709,192693351.6023709,192693351.6023709,192693351.6023709,192693351.6023709,192693351.6023709,192693351.6023709,192693351.6023709,192693351.6023709,192693351.6023709,192693351.6023709,192693351.6023709
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
