0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842
57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116733692.46079355,116733692.46079355,116733692.46079355,116733692.46079355,116733692.46079355,116733692.46079355,116733692.46079355,116733692.46079355,116733692.46079355,116733692.46079355,116733692.46079355,116733692.46079355,116733692.46079355,116733692.46079355,116733692.46079355,116733692.46079355
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46335552.04970218,46335552.04970218,46335552.04970218,46335552.04970218,46335552.04970218,46335552.04970218,46335552.04970218,46335552.04970218,46335552.04970218,46335552.04970218,46335552.04970218,46335552.04970218,46335552.04970218,46335552.04970218,46335552.04970218,46335552.04970218
22047336.47718291,22047336.47718291,22047336.47718291,22047336.47718291,22047336.47718291,22047336.47718291,22047336.47718291,22047336.47718291,22047336.47718291,22047336.47718291,22047336.47718291,22047336.47718291,22047336.47718291,22047336.47718291,22047336.47718291,22047336.47718291
57285048.2864857,57285048.2864857,57285048.2864857,57285048.2864857,57285048.2864857,57285048.2864857,57285048.2864857,57285048.2864857,57285048.2864857,57285048.2864857,57285048.2864857,57285048.2864857,57285048.2864857,57285048.2864857,57285048.2864857,57285048.2864857
31462316.153748702,31462316.153748702,31462316.153748702,31462316.153748702,31462316.153748702,31462316.153748702,31462316.153748702,31462316.153748702,31462316.153748702,31462316.153748702,31462316.153748702,31462316.153748702,31462316.153748702,31462316.153748702,31462316.153748702,31462316.153748702
53926387.009069994,53926387.009069994,53926387.009069994,53926387.009069994,53926387.009069994,53926387.009069994,53926387.009069994,53926387.009069994,53926387.009069994,53926387.009069994,53926387.009069994,53926387.009069994,53926387.009069994,53926387.009069994,53926387.009069994,53926387.009069994
30812489.095819227,30812489.095819227,30812489.095819227,30812489.095819227,30812489.095819227,30812489.095819227,30812489.095819227,30812489.095819227,30812489.095819227,30812489.095819227,30812489.095819227,30812489.095819227,30812489.095819227,30812489.095819227,30812489.095819227,30812489.095819227
56725681.14126041,56725681.14126041,56725681.14126041,56725681.14126041,56725681.14126041,56725681.14126041,56725681.14126041,56725681.14126041,56725681.14126041,56725681.14126041,56725681.14126041,56725681.14126041,56725681.14126041,56725681.14126041,56725681.14126041,56725681.14126041
29813779.316557795,29813779.316557795,29813779.316557795,29813779.316557795,29813779.316557795,29813779.316557795,29813779.316557795,29813779.316557795,29813779.316557795,29813779.316557795,29813779.316557795,29813779.316557795,29813779.316557795,29813779.316557795,29813779.316557795,29813779.316557795
57007059.70193778,57007059.70193778,57007059.70193778,57007059.70193778,57007059.70193778,57007059.70193778,57007059.70193778,57007059.70193778,57007059.70193778,57007059.70193778,57007059.70193778,57007059.70193778,57007059.70193778,57007059.70193778,57007059.70193778,57007059.70193778
40418940.00316861,40418940.00316861,40418940.00316861,40418940.00316861,40418940.00316861,40418940.00316861,40418940.00316861,40418940.00316861,40418940.00316861,40418940.00316861,40418940.00316861,40418940.00316861,40418940.00316861,40418940.00316861,40418940.00316861,40418940.00316861
82905246.48146325,82905246.48146325,82905246.48146325,82905246.48146325,82905246.48146325,82905246.48146325,82905246.48146325,82905246.48146325,82905246.48146325,82905246.48146325,82905246.48146325,82905246.48146325,82905246.48146325,82905246.48146325,82905246.48146325,82905246.48146325
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93846338.33972973,93846338.33972973,93846338.33972973,93846338.33972973,93846338.33972973,93846338.33972973,93846338.33972973,93846338.33972973,93846338.33972973,93846338.33972973,93846338.33972973,93846338.33972973,93846338.33972973,93846338.33972973,93846338.33972973,93846338.33972973
