0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782,544858114.0509782
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91659405.60331681,91659405.60331681,91659405.60331681,91659405.60331681,91659405.60331681,91659405.60331681,91659405.60331681,91659405.60331681,91659405.60331681,91659405.60331681,91659405.60331681,91659405.60331681,91659405.60331681,91659405.60331681,91659405.60331681,91659405.60331681
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55575004.321010605,55575004.321010605,55575004.321010605,55575004.321010605,55575004.321010605,55575004.321010605,55575004.321010605,55575004.321010605,55575004.321010605,55575004.321010605,55575004.321010605,55575004.321010605,55575004.321010605,55575004.321010605,55575004.321010605,55575004.321010605
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100932249.37414777,100932249.37414777,100932249.37414777,100932249.37414777,100932249.37414777,100932249.37414777,100932249.37414777,100932249.37414777,100932249.37414777,100932249.37414777,100932249.37414777,100932249.37414777,100932249.37414777,100932249.37414777,100932249.37414777,100932249.37414777
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123858949.88290046,123858949.88290046,123858949.88290046,123858949.88290046,123858949.88290046,123858949.88290046,123858949.88290046,123858949.88290046,123858949.88290046,123858949.88290046,123858949.88290046,123858949.88290046,123858949.88290046,123858949.88290046,123858949.88290046,123858949.88290046
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205316500.73826998,205316500.73826998,205316500.73826998,205316500.73826998,205316500.73826998,205316500.73826998,205316500.73826998,205316500.73826998,205316500.73826998,205316500.73826998,205316500.73826998,205316500.73826998,205316500.73826998,205316500.73826998,205316500.73826998,205316500.73826998
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168976385.60205528,168976385.60205528,168976385.60205528,168976385.60205528,168976385.60205528,168976385.60205528,168976385.60205528,168976385.60205528,168976385.60205528,168976385.60205528,168976385.60205528,168976385.60205528,168976385.60205528,168976385.60205528,168976385.60205528,168976385.60205528
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93809381.73034576,93809381.73034576,93809381.73034576,93809381.73034576,93809381.73034576,93809381.73034576,93809381.73034576,93809381.73034576,93809381.73034576,93809381.73034576,93809381.73034576,93809381.73034576,93809381.73034576,93809381.73034576,93809381.73034576,93809381.73034576
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
