0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842,37243097.689842
57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944,57742265.52025944
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114375022.00034797,114375022.00034797,114375022.00034797,114375022.00034797,114375022.00034797,114375022.00034797,114375022.00034797,114375022.00034797,114375022.00034797,114375022.00034797,114375022.00034797,114375022.00034797,114375022.00034797,114375022.00034797,114375022.00034797,114375022.00034797
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46244017.44558419,46244017.44558419,46244017.44558419,46244017.44558419,46244017.44558419,46244017.44558419,46244017.44558419,46244017.44558419,46244017.44558419,46244017.44558419,46244017.44558419,46244017.44558419,46244017.44558419,46244017.44558419,46244017.44558419,46244017.44558419
25592159.670555294,25592159.670555294,25592159.670555294,25592159.670555294,25592159.670555294,25592159.670555294,25592159.670555294,25592159.670555294,25592159.670555294,25592159.670555294,25592159.670555294,25592159.670555294,25592159.670555294,25592159.670555294,25592159.670555294,25592159.670555294
57647269.70532204,57647269.70532204,57647269.70532204,57647269.70532204,57647269.70532204,57647269.70532204,57647269.70532204,57647269.70532204,57647269.70532204,57647269.70532204,57647269.70532204,57647269.70532204,57647269.70532204,57647269.70532204,57647269.70532204,57647269.70532204
30201600.992739663,30201600.992739663,30201600.992739663,30201600.992739663,30201600.992739663,30201600.992739663,30201600.992739663,30201600.992739663,30201600.992739663,30201600.992739663,30201600.992739663,30201600.992739663,30201600.992739663,30201600.992739663,30201600.992739663,30201600.992739663
52873115.87440254,52873115.87440254,52873115.87440254,52873115.87440254,52873115.87440254,52873115.87440254,52873115.87440254,52873115.87440254,52873115.87440254,52873115.87440254,52873115.87440254,52873115.87440254,52873115.87440254,52873115.87440254,52873115.87440254,52873115.87440254
36804726.45557372,36804726.45557372,36804726.45557372,36804726.45557372,36804726.45557372,36804726.45557372,36804726.45557372,36804726.45557372,36804726.45557372,36804726.45557372,36804726.45557372,36804726.45557372,36804726.45557372,36804726.45557372,36804726.45557372,36804726.45557372
93119028.82573465,93119028.82573465,93119028.82573465,93119028.82573465,93119028.82573465,93119028.82573465,93119028.82573465,93119028.82573465,93119028.82573465,93119028.82573465,93119028.82573465,93119028.82573465,93119028.82573465,93119028.82573465,93119028.82573465,93119028.82573465
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96210488.02639619,96210488.02639619,96210488.02639619,96210488.02639619,96210488.02639619,96210488.02639619,96210488.02639619,96210488.02639619,96210488.02639619,96210488.02639619,96210488.02639619,96210488.02639619,96210488.02639619,96210488.02639619,96210488.02639619,96210488.02639619
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60440629.95202835,60440629.95202835,60440629.95202835,60440629.95202835,60440629.95202835,60440629.95202835,60440629.95202835,60440629.95202835,60440629.95202835,60440629.95202835,60440629.95202835,60440629.95202835,60440629.95202835,60440629.95202835,60440629.95202835,60440629.95202835
28164981.213159267,28164981.213159267,28164981.213159267,28164981.213159267,28164981.213159267,28164981.213159267,28164981.213159267,28164981.213159267,28164981.213159267,28164981.213159267,28164981.213159267,28164981.213159267,28164981.213159267,28164981.213159267,28164981.213159267,28164981.213159267
56129109.59283295,56129109.59283295,56129109.59283295,56129109.59283295,56129109.59283295,56129109.59283295,56129109.59283295,56129109.59283295,56129109.59283295,56129109.59283295,56129109.59283295,56129109.59283295,56129109.59283295,56129109.59283295,56129109.59283295,56129109.59283295
