0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7277283.320295685,7277283.320295685,7277283.320295685,7277283.320295685,7277283.320295685,7277283.320295685,7277283.320295685,7277283.320295685,7277283.320295685,7277283.320295685,7277283.320295685,7277283.320295685,7277283.320295685,7277283.320295685,7277283.320295685,7277283.320295685
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6156444.082276268,6156444.082276268,6156444.082276268,6156444.082276268,6156444.082276268,6156444.082276268,6156444.082276268,6156444.082276268,6156444.082276268,6156444.082276268,6156444.082276268,6156444.082276268,6156444.082276268,6156444.082276268,6156444.082276268,6156444.082276268
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59814857.21243948,59814857.21243948,59814857.21243948,59814857.21243948,59814857.21243948,59814857.21243948,59814857.21243948,59814857.21243948,59814857.21243948,59814857.21243948,59814857.21243948,59814857.21243948,59814857.21243948,59814857.21243948,59814857.21243948,59814857.21243948
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61752943.73015621,61752943.73015621,61752943.73015621,61752943.73015621,61752943.73015621,61752943.73015621,61752943.73015621,61752943.73015621,61752943.73015621,61752943.73015621,61752943.73015621,61752943.73015621,61752943.73015621,61752943.73015621,61752943.73015621,61752943.73015621
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75101841.36406368,75101841.36406368,75101841.36406368,75101841.36406368,75101841.36406368,75101841.36406368,75101841.36406368,75101841.36406368,75101841.36406368,75101841.36406368,75101841.36406368,75101841.36406368,75101841.36406368,75101841.36406368,75101841.36406368,75101841.36406368
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63470038.18760681,63470038.18760681,63470038.18760681,63470038.18760681,63470038.18760681,63470038.18760681,63470038.18760681,63470038.18760681,63470038.18760681,63470038.18760681,63470038.18760681,63470038.18760681,63470038.18760681,63470038.18760681,63470038.18760681,63470038.18760681
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
