0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7201507.032419141,7201507.032419141,7201507.032419141,7201507.032419141,7201507.032419141,7201507.032419141,7201507.032419141,7201507.032419141,7201507.032419141,7201507.032419141,7201507.032419141,7201507.032419141,7201507.032419141,7201507.032419141,7201507.032419141,7201507.032419141
86721.45874051169,86721.45874051169,86721.45874051169,86721.45874051169,86721.45874051169,86721.45874051169,86721.45874051169,86721.45874051169,86721.45874051169,86721.45874051169,86721.45874051169,86721.45874051169,86721.45874051169,86721.45874051169,86721.45874051169,86721.45874051169
26396284.3369579,26396284.3369579,26396284.3369579,26396284.3369579,26396284.3369579,26396284.3369579,26396284.3369579,26396284.3369579,26396284.3369579,26396284.3369579,26396284.3369579,26396284.3369579,26396284.3369579,26396284.3369579,26396284.3369579,26396284.3369579
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138874871.62670574,138874871.62670574,138874871.62670574,138874871.62670574,138874871.62670574,138874871.62670574,138874871.62670574,138874871.62670574,138874871.62670574,138874871.62670574,138874871.62670574,138874871.62670574,138874871.62670574,138874871.62670574,138874871.62670574,138874871.62670574
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20159889.92061149,20159889.92061149,20159889.92061149,20159889.92061149,20159889.92061149,20159889.92061149,20159889.92061149,20159889.92061149,20159889.92061149,20159889.92061149,20159889.92061149,20159889.92061149,20159889.92061149,20159889.92061149,20159889.92061149,20159889.92061149
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7148317.402702426,7148317.402702426,7148317.402702426,7148317.402702426,7148317.402702426,7148317.402702426,7148317.402702426,7148317.402702426,7148317.402702426,7148317.402702426,7148317.402702426,7148317.402702426,7148317.402702426,7148317.402702426,7148317.402702426,7148317.402702426
8074405.216441714,8074405.216441714,8074405.216441714,8074405.216441714,8074405.216441714,8074405.216441714,8074405.216441714,8074405.216441714,8074405.216441714,8074405.216441714,8074405.216441714,8074405.216441714,8074405.216441714,8074405.216441714,8074405.216441714,8074405.216441714
7902788.613345172,7902788.613345172,7902788.613345172,7902788.613345172,7902788.613345172,7902788.613345172,7902788.613345172,7902788.613345172,7902788.613345172,7902788.613345172,7902788.613345172,7902788.613345172,7902788.613345172,7902788.613345172,7902788.613345172,7902788.613345172
8885314.501104955,8885314.501104955,8885314.501104955,8885314.501104955,8885314.501104955,8885314.501104955,8885314.501104955,8885314.501104955,8885314.501104955,8885314.501104955,8885314.501104955,8885314.501104955,8885314.501104955,8885314.501104955,8885314.501104955,8885314.501104955
9974345.901463307,9974345.901463307,9974345.901463307,9974345.901463307,9974345.901463307,9974345.901463307,9974345.901463307,9974345.901463307,9974345.901463307,9974345.901463307,9974345.901463307,9974345.901463307,9974345.901463307,9974345.901463307,9974345.901463307,9974345.901463307
13094371.415993838,13094371.415993838,13094371.415993838,13094371.415993838,13094371.415993838,13094371.415993838,13094371.415993838,13094371.415993838,13094371.415993838,13094371.415993838,13094371.415993838,13094371.415993838,13094371.415993838,13094371.415993838,13094371.415993838,13094371.415993838
3311850.396761519,3311850.396761519,3311850.396761519,3311850.396761519,3311850.396761519,3311850.396761519,3311850.396761519,3311850.396761519,3311850.396761519,3311850.396761519,3311850.396761519,3311850.396761519,3311850.396761519,3311850.396761519,3311850.396761519,3311850.396761519
66753213.86855391,66753213.86855391,66753213.86855391,66753213.86855391,66753213.86855391,66753213.86855391,66753213.86855391,66753213.86855391,66753213.86855391,66753213.86855391,66753213.86855391,66753213.86855391,66753213.86855391,66753213.86855391,66753213.86855391,66753213.86855391
