0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475
70664363.15248391,70664363.15248391,70664363.15248391,70664363.15248391,70664363.15248391,70664363.15248391,70664363.15248391,70664363.15248391,70664363.15248391,70664363.15248391,70664363.15248391,70664363.15248391,70664363.15248391,70664363.15248391,70664363.15248391,70664363.15248391
9958755.448335884,9958755.448335884,9958755.448335884,9958755.448335884,9958755.448335884,9958755.448335884,9958755.448335884,9958755.448335884,9958755.448335884,9958755.448335884,9958755.448335884,9958755.448335884,9958755.448335884,9958755.448335884,9958755.448335884,9958755.448335884
118761837.74019772,118761837.74019772,118761837.74019772,118761837.74019772,118761837.74019772,118761837.74019772,118761837.74019772,118761837.74019772,118761837.74019772,118761837.74019772,118761837.74019772,118761837.74019772,118761837.74019772,118761837.74019772,118761837.74019772,118761837.74019772
8973114.25264702,8973114.25264702,8973114.25264702,8973114.25264702,8973114.25264702,8973114.25264702,8973114.25264702,8973114.25264702,8973114.25264702,8973114.25264702,8973114.25264702,8973114.25264702,8973114.25264702,8973114.25264702,8973114.25264702,8973114.25264702
98835197.62967694,98835197.62967694,98835197.62967694,98835197.62967694,98835197.62967694,98835197.62967694,98835197.62967694,98835197.62967694,98835197.62967694,98835197.62967694,98835197.62967694,98835197.62967694,98835197.62967694,98835197.62967694,98835197.62967694,98835197.62967694
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23925834.338298064,23925834.338298064,23925834.338298064,23925834.338298064,23925834.338298064,23925834.338298064,23925834.338298064,23925834.338298064,23925834.338298064,23925834.338298064,23925834.338298064,23925834.338298064,23925834.338298064,23925834.338298064,23925834.338298064,23925834.338298064
65253560.87317713,65253560.87317713,65253560.87317713,65253560.87317713,65253560.87317713,65253560.87317713,65253560.87317713,65253560.87317713,65253560.87317713,65253560.87317713,65253560.87317713,65253560.87317713,65253560.87317713,65253560.87317713,65253560.87317713,65253560.87317713
63226721.65666636,63226721.65666636,63226721.65666636,63226721.65666636,63226721.65666636,63226721.65666636,63226721.65666636,63226721.65666636,63226721.65666636,63226721.65666636,63226721.65666636,63226721.65666636,63226721.65666636,63226721.65666636,63226721.65666636,63226721.65666636
59473484.54397462,59473484.54397462,59473484.54397462,59473484.54397462,59473484.54397462,59473484.54397462,59473484.54397462,59473484.54397462,59473484.54397462,59473484.54397462,59473484.54397462,59473484.54397462,59473484.54397462,59473484.54397462,59473484.54397462,59473484.54397462
68848774.09553349,68848774.09553349,68848774.09553349,68848774.09553349,68848774.09553349,68848774.09553349,68848774.09553349,68848774.09553349,68848774.09553349,68848774.09553349,68848774.09553349,68848774.09553349,68848774.09553349,68848774.09553349,68848774.09553349,68848774.09553349
66426546.43965013,66426546.43965013,66426546.43965013,66426546.43965013,66426546.43965013,66426546.43965013,66426546.43965013,66426546.43965013,66426546.43965013,66426546.43965013,66426546.43965013,66426546.43965013,66426546.43965013,66426546.43965013,66426546.43965013,66426546.43965013
76320207.01678708,76320207.01678708,76320207.01678708,76320207.01678708,76320207.01678708,76320207.01678708,76320207.01678708,76320207.01678708,76320207.01678708,76320207.01678708,76320207.01678708,76320207.01678708,76320207.01678708,76320207.01678708,76320207.01678708,76320207.01678708
87758671.02123821,87758671.02123821,87758671.02123821,87758671.02123821,87758671.02123821,87758671.02123821,87758671.02123821,87758671.02123821,87758671.02123821,87758671.02123821,87758671.02123821,87758671.02123821,87758671.02123821,87758671.02123821,87758671.02123821,87758671.02123821
49559904.324905,49559904.324905,49559904.324905,49559904.324905,49559904.324905,49559904.324905,49559904.324905,49559904.324905,49559904.324905,49559904.324905,49559904.324905,49559904.324905,49559904.324905,49559904.324905,49559904.324905,49559904.324905
87817672.0381701,87817672.0381701,87817672.0381701,87817672.0381701,87817672.0381701,87817672.0381701,87817672.0381701,87817672.0381701,87817672.0381701,87817672.0381701,87817672.0381701,87817672.0381701,87817672.0381701,87817672.0381701,87817672.0381701,87817672.0381701
290106.6019265229,290106.6019265229,290106.6019265229,290106.6019265229,290106.6019265229,290106.6019265229,290106.6019265229,290106.6019265229,290106.6019265229,290106.6019265229,290106.6019265229,290106.6019265229,290106.6019265229,290106.6019265229,290106.6019265229,290106.6019265229
