0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475
72608269.84116387,72608269.84116387,72608269.84116387,72608269.84116387,72608269.84116387,72608269.84116387,72608269.84116387,72608269.84116387,72608269.84116387,72608269.84116387,72608269.84116387,72608269.84116387,72608269.84116387,72608269.84116387,72608269.84116387,72608269.84116387
87700232.80991691,87700232.80991691,87700232.80991691,87700232.80991691,87700232.80991691,87700232.80991691,87700232.80991691,87700232.80991691,87700232.80991691,87700232.80991691,87700232.80991691,87700232.80991691,87700232.80991691,87700232.80991691,87700232.80991691,87700232.80991691
81620120.77108374,81620120.77108374,81620120.77108374,81620120.77108374,81620120.77108374,81620120.77108374,81620120.77108374,81620120.77108374,81620120.77108374,81620120.77108374,81620120.77108374,81620120.77108374,81620120.77108374,81620120.77108374,81620120.77108374,81620120.77108374
74871310.92694932,74871310.92694932,74871310.92694932,74871310.92694932,74871310.92694932,74871310.92694932,74871310.92694932,74871310.92694932,74871310.92694932,74871310.92694932,74871310.92694932,74871310.92694932,74871310.92694932,74871310.92694932,74871310.92694932,74871310.92694932
29663528.48562976,29663528.48562976,29663528.48562976,29663528.48562976,29663528.48562976,29663528.48562976,29663528.48562976,29663528.48562976,29663528.48562976,29663528.48562976,29663528.48562976,29663528.48562976,29663528.48562976,29663528.48562976,29663528.48562976,29663528.48562976
123717714.44379298,123717714.44379298,123717714.44379298,123717714.44379298,123717714.44379298,123717714.44379298,123717714.44379298,123717714.44379298,123717714.44379298,123717714.44379298,123717714.44379298,123717714.44379298,123717714.44379298,123717714.44379298,123717714.44379298,123717714.44379298
76519317.00944176,76519317.00944176,76519317.00944176,76519317.00944176,76519317.00944176,76519317.00944176,76519317.00944176,76519317.00944176,76519317.00944176,76519317.00944176,76519317.00944176,76519317.00944176,76519317.00944176,76519317.00944176,76519317.00944176,76519317.00944176
57161881.23376447,57161881.23376447,57161881.23376447,57161881.23376447,57161881.23376447,57161881.23376447,57161881.23376447,57161881.23376447,57161881.23376447,57161881.23376447,57161881.23376447,57161881.23376447,57161881.23376447,57161881.23376447,57161881.23376447,57161881.23376447
65208355.8492188,65208355.8492188,65208355.8492188,65208355.8492188,65208355.8492188,65208355.8492188,65208355.8492188,65208355.8492188,65208355.8492188,65208355.8492188,65208355.8492188,65208355.8492188,65208355.8492188,65208355.8492188,65208355.8492188,65208355.8492188
61705078.32897575,61705078.32897575,61705078.32897575,61705078.32897575,61705078.32897575,61705078.32897575,61705078.32897575,61705078.32897575,61705078.32897575,61705078.32897575,61705078.32897575,61705078.32897575,61705078.32897575,61705078.32897575,61705078.32897575,61705078.32897575
71478653.24728614,71478653.24728614,71478653.24728614,71478653.24728614,71478653.24728614,71478653.24728614,71478653.24728614,71478653.24728614,71478653.24728614,71478653.24728614,71478653.24728614,71478653.24728614,71478653.24728614,71478653.24728614,71478653.24728614,71478653.24728614
69049837.91023847,69049837.91023847,69049837.91023847,69049837.91023847,69049837.91023847,69049837.91023847,69049837.91023847,69049837.91023847,69049837.91023847,69049837.91023847,69049837.91023847,69049837.91023847,69049837.91023847,69049837.91023847,69049837.91023847,69049837.91023847
79165691.53225687,79165691.53225687,79165691.53225687,79165691.53225687,79165691.53225687,79165691.53225687,79165691.53225687,79165691.53225687,79165691.53225687,79165691.53225687,79165691.53225687,79165691.53225687,79165691.53225687,79165691.53225687,79165691.53225687,79165691.53225687
7217911.667350326,7217911.667350326,7217911.667350326,7217911.667350326,7217911.667350326,7217911.667350326,7217911.667350326,7217911.667350326,7217911.667350326,7217911.667350326,7217911.667350326,7217911.667350326,7217911.667350326,7217911.667350326,7217911.667350326,7217911.667350326
111605838.85219382,111605838.85219382,111605838.85219382,111605838.85219382,111605838.85219382,111605838.85219382,111605838.85219382,111605838.85219382,111605838.85219382,111605838.85219382,111605838.85219382,111605838.85219382,111605838.85219382,111605838.85219382,111605838.85219382,111605838.85219382
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97703867.73928538,97703867.73928538,97703867.73928538,97703867.73928538,97703867.73928538,97703867.73928538,97703867.73928538,97703867.73928538,97703867.73928538,97703867.73928538,97703867.73928538,97703867.73928538,97703867.73928538,97703867.73928538,97703867.73928538,97703867.73928538
