0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682,72741505.7704682
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7351168.295945428,7351168.295945428,7351168.295945428,7351168.295945428,7351168.295945428,7351168.295945428,7351168.295945428,7351168.295945428,7351168.295945428,7351168.295945428,7351168.295945428,7351168.295945428,7351168.295945428,7351168.295945428,7351168.295945428,7351168.295945428
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5800695.41705378,5800695.41705378,5800695.41705378,5800695.41705378,5800695.41705378,5800695.41705378,5800695.41705378,5800695.41705378,5800695.41705378,5800695.41705378,5800695.41705378,5800695.41705378,5800695.41705378,5800695.41705378,5800695.41705378,5800695.41705378
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59286513.590494946,59286513.590494946,59286513.590494946,59286513.590494946,59286513.590494946,59286513.590494946,59286513.590494946,59286513.590494946,59286513.590494946,59286513.590494946,59286513.590494946,59286513.590494946,59286513.590494946,59286513.590494946,59286513.590494946,59286513.590494946
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53816990.5012842,53816990.5012842,53816990.5012842,53816990.5012842,53816990.5012842,53816990.5012842,53816990.5012842,53816990.5012842,53816990.5012842,53816990.5012842,53816990.5012842,53816990.5012842,53816990.5012842,53816990.5012842,53816990.5012842,53816990.5012842
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7007746.596540004,7007746.596540004,7007746.596540004,7007746.596540004,7007746.596540004,7007746.596540004,7007746.596540004,7007746.596540004,7007746.596540004,7007746.596540004,7007746.596540004,7007746.596540004,7007746.596540004,7007746.596540004,7007746.596540004,7007746.596540004
49412565.49676589,49412565.49676589,49412565.49676589,49412565.49676589,49412565.49676589,49412565.49676589,49412565.49676589,49412565.49676589,49412565.49676589,49412565.49676589,49412565.49676589,49412565.49676589,49412565.49676589,49412565.49676589,49412565.49676589,49412565.49676589
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84325507.05641404,84325507.05641404,84325507.05641404,84325507.05641404,84325507.05641404,84325507.05641404,84325507.05641404,84325507.05641404,84325507.05641404,84325507.05641404,84325507.05641404,84325507.05641404,84325507.05641404,84325507.05641404,84325507.05641404,84325507.05641404
