0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475
22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354
7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325
95833715.69035831,95833715.69035831,95833715.69035831,95833715.69035831,95833715.69035831,95833715.69035831,95833715.69035831,95833715.69035831,95833715.69035831,95833715.69035831,95833715.69035831,95833715.69035831,95833715.69035831,95833715.69035831,95833715.69035831,95833715.69035831
5620473.422764862,5620473.422764862,5620473.422764862,5620473.422764862,5620473.422764862,5620473.422764862,5620473.422764862,5620473.422764862,5620473.422764862,5620473.422764862,5620473.422764862,5620473.422764862,5620473.422764862,5620473.422764862,5620473.422764862,5620473.422764862
27862825.252475902,27862825.252475902,27862825.252475902,27862825.252475902,27862825.252475902,27862825.252475902,27862825.252475902,27862825.252475902,27862825.252475902,27862825.252475902,27862825.252475902,27862825.252475902,27862825.252475902,27862825.252475902,27862825.252475902,27862825.252475902
92589477.17233273,92589477.17233273,92589477.17233273,92589477.17233273,92589477.17233273,92589477.17233273,92589477.17233273,92589477.17233273,92589477.17233273,92589477.17233273,92589477.17233273,92589477.17233273,92589477.17233273,92589477.17233273,92589477.17233273,92589477.17233273
4217171.836843397,4217171.836843397,4217171.836843397,4217171.836843397,4217171.836843397,4217171.836843397,4217171.836843397,4217171.836843397,4217171.836843397,4217171.836843397,4217171.836843397,4217171.836843397,4217171.836843397,4217171.836843397,4217171.836843397,4217171.836843397
70179457.72705457,70179457.72705457,70179457.72705457,70179457.72705457,70179457.72705457,70179457.72705457,70179457.72705457,70179457.72705457,70179457.72705457,70179457.72705457,70179457.72705457,70179457.72705457,70179457.72705457,70179457.72705457,70179457.72705457,70179457.72705457
3606360.1566798636,3606360.1566798636,3606360.1566798636,3606360.1566798636,3606360.1566798636,3606360.1566798636,3606360.1566798636,3606360.1566798636,3606360.1566798636,3606360.1566798636,3606360.1566798636,3606360.1566798636,3606360.1566798636,3606360.1566798636,3606360.1566798636,3606360.1566798636
61559058.06138148,61559058.06138148,61559058.06138148,61559058.06138148,61559058.06138148,61559058.06138148,61559058.06138148,61559058.06138148,61559058.06138148,61559058.06138148,61559058.06138148,61559058.06138148,61559058.06138148,61559058.06138148,61559058.06138148,61559058.06138148
89783672.05105326,89783672.05105326,89783672.05105326,89783672.05105326,89783672.05105326,89783672.05105326,89783672.05105326,89783672.05105326,89783672.05105326,89783672.05105326,89783672.05105326,89783672.05105326,89783672.05105326,89783672.05105326,89783672.05105326,89783672.05105326
963375.3307897834,963375.3307897834,963375.3307897834,963375.3307897834,963375.3307897834,963375.3307897834,963375.3307897834,963375.3307897834,963375.3307897834,963375.3307897834,963375.3307897834,963375.3307897834,963375.3307897834,963375.3307897834,963375.3307897834,963375.3307897834
23110300.232627,23110300.232627,23110300.232627,23110300.232627,23110300.232627,23110300.232627,23110300.232627,23110300.232627,23110300.232627,23110300.232627,23110300.232627,23110300.232627,23110300.232627,23110300.232627,23110300.232627,23110300.232627
87603957.4395851,87603957.4395851,87603957.4395851,87603957.4395851,87603957.4395851,87603957.4395851,87603957.4395851,87603957.4395851,87603957.4395851,87603957.4395851,87603957.4395851,87603957.4395851,87603957.4395851,87603957.4395851,87603957.4395851,87603957.4395851
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27230817.758807488,27230817.758807488,27230817.758807488,27230817.758807488,27230817.758807488,27230817.758807488,27230817.758807488,27230817.758807488,27230817.758807488,27230817.758807488,27230817.758807488,27230817.758807488,27230817.758807488,27230817.758807488,27230817.758807488,27230817.758807488
6620820.570468219,6620820.570468219,6620820.570468219,6620820.570468219,6620820.570468219,6620820.570468219,6620820.570468219,6620820.570468219,6620820.570468219,6620820.570468219,6620820.570468219,6620820.570468219,6620820.570468219,6620820.570468219,6620820.570468219,6620820.570468219
