0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534,97723057.97254534
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127698656.94689494,127698656.94689494,127698656.94689494,127698656.94689494,127698656.94689494,127698656.94689494,127698656.94689494,127698656.94689494,127698656.94689494,127698656.94689494,127698656.94689494,127698656.94689494,127698656.94689494,127698656.94689494,127698656.94689494,127698656.94689494
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83015473.31824347,83015473.31824347,83015473.31824347,83015473.31824347,83015473.31824347,83015473.31824347,83015473.31824347,83015473.31824347,83015473.31824347,83015473.31824347,83015473.31824347,83015473.31824347,83015473.31824347,83015473.31824347,83015473.31824347,83015473.31824347
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6101812.224659722,6101812.224659722,6101812.224659722,6101812.224659722,6101812.224659722,6101812.224659722,6101812.224659722,6101812.224659722,6101812.224659722,6101812.224659722,6101812.224659722,6101812.224659722,6101812.224659722,6101812.224659722,6101812.224659722,6101812.224659722
86430623.97264338,86430623.97264338,86430623.97264338,86430623.97264338,86430623.97264338,86430623.97264338,86430623.97264338,86430623.97264338,86430623.97264338,86430623.97264338,86430623.97264338,86430623.97264338,86430623.97264338,86430623.97264338,86430623.97264338,86430623.97264338
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59907613.704985164,59907613.704985164,59907613.704985164,59907613.704985164,59907613.704985164,59907613.704985164,59907613.704985164,59907613.704985164,59907613.704985164,59907613.704985164,59907613.704985164,59907613.704985164,59907613.704985164,59907613.704985164,59907613.704985164,59907613.704985164
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69684483.79522583,69684483.79522583,69684483.79522583,69684483.79522583,69684483.79522583,69684483.79522583,69684483.79522583,69684483.79522583,69684483.79522583,69684483.79522583,69684483.79522583,69684483.79522583,69684483.79522583,69684483.79522583,69684483.79522583,69684483.79522583
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6137816.213020524,6137816.213020524,6137816.213020524,6137816.213020524,6137816.213020524,6137816.213020524,6137816.213020524,6137816.213020524,6137816.213020524,6137816.213020524,6137816.213020524,6137816.213020524,6137816.213020524,6137816.213020524,6137816.213020524,6137816.213020524
6307988.669797974,6307988.669797974,6307988.669797974,6307988.669797974,6307988.669797974,6307988.669797974,6307988.669797974,6307988.669797974,6307988.669797974,6307988.669797974,6307988.669797974,6307988.669797974,6307988.669797974,6307988.669797974,6307988.669797974,6307988.669797974
70197051.02972686,70197051.02972686,70197051.02972686,70197051.02972686,70197051.02972686,70197051.02972686,70197051.02972686,70197051.02972686,70197051.02972686,70197051.02972686,70197051.02972686,70197051.02972686,70197051.02972686,70197051.02972686,70197051.02972686,70197051.02972686
