0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475,36381992.56518475
22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354,22126055.238472354
7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325,7834805.2345196325
103797951.73960234,103797951.73960234,103797951.73960234,103797951.73960234,103797951.73960234,103797951.73960234,103797951.73960234,103797951.73960234,103797951.73960234,103797951.73960234,103797951.73960234,103797951.73960234,103797951.73960234,103797951.73960234,103797951.73960234,103797951.73960234
4257898.559780572,4257898.559780572,4257898.559780572,4257898.559780572,4257898.559780572,4257898.559780572,4257898.559780572,4257898.559780572,4257898.559780572,4257898.559780572,4257898.559780572,4257898.559780572,4257898.559780572,4257898.559780572,4257898.559780572,4257898.559780572
28298650.378780432,28298650.378780432,28298650.378780432,28298650.378780432,28298650.378780432,28298650.378780432,28298650.378780432,28298650.378780432,28298650.378780432,28298650.378780432,28298650.378780432,28298650.378780432,28298650.378780432,28298650.378780432,28298650.378780432,28298650.378780432
121222740.7258976,121222740.7258976,121222740.7258976,121222740.7258976,121222740.7258976,121222740.7258976,121222740.7258976,121222740.7258976,121222740.7258976,121222740.7258976,121222740.7258976,121222740.7258976,121222740.7258976,121222740.7258976,121222740.7258976,121222740.7258976
19215304.996168636,19215304.996168636,19215304.996168636,19215304.996168636,19215304.996168636,19215304.996168636,19215304.996168636,19215304.996168636,19215304.996168636,19215304.996168636,19215304.996168636,19215304.996168636,19215304.996168636,19215304.996168636,19215304.996168636,19215304.996168636
71854816.3094568,71854816.3094568,71854816.3094568,71854816.3094568,71854816.3094568,71854816.3094568,71854816.3094568,71854816.3094568,71854816.3094568,71854816.3094568,71854816.3094568,71854816.3094568,71854816.3094568,71854816.3094568,71854816.3094568,71854816.3094568
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64218440.6846318,64218440.6846318,64218440.6846318,64218440.6846318,64218440.6846318,64218440.6846318,64218440.6846318,64218440.6846318,64218440.6846318,64218440.6846318,64218440.6846318,64218440.6846318,64218440.6846318,64218440.6846318,64218440.6846318,64218440.6846318
7339903.447947693,7339903.447947693,7339903.447947693,7339903.447947693,7339903.447947693,7339903.447947693,7339903.447947693,7339903.447947693,7339903.447947693,7339903.447947693,7339903.447947693,7339903.447947693,7339903.447947693,7339903.447947693,7339903.447947693,7339903.447947693
33388451.855461627,33388451.855461627,33388451.855461627,33388451.855461627,33388451.855461627,33388451.855461627,33388451.855461627,33388451.855461627,33388451.855461627,33388451.855461627,33388451.855461627,33388451.855461627,33388451.855461627,33388451.855461627,33388451.855461627,33388451.855461627
8152598.709141644,8152598.709141644,8152598.709141644,8152598.709141644,8152598.709141644,8152598.709141644,8152598.709141644,8152598.709141644,8152598.709141644,8152598.709141644,8152598.709141644,8152598.709141644,8152598.709141644,8152598.709141644,8152598.709141644,8152598.709141644
40700508.904623404,40700508.904623404,40700508.904623404,40700508.904623404,40700508.904623404,40700508.904623404,40700508.904623404,40700508.904623404,40700508.904623404,40700508.904623404,40700508.904623404,40700508.904623404,40700508.904623404,40700508.904623404,40700508.904623404,40700508.904623404
8495862.385954224,8495862.385954224,8495862.385954224,8495862.385954224,8495862.385954224,8495862.385954224,8495862.385954224,8495862.385954224,8495862.385954224,8495862.385954224,8495862.385954224,8495862.385954224,8495862.385954224,8495862.385954224,8495862.385954224,8495862.385954224
79196309.68761998,79196309.68761998,79196309.68761998,79196309.68761998,79196309.68761998,79196309.68761998,79196309.68761998,79196309.68761998,79196309.68761998,79196309.68761998,79196309.68761998,79196309.68761998,79196309.68761998,79196309.68761998,79196309.68761998,79196309.68761998
829016.4510439386,829016.4510439386,829016.4510439386,829016.4510439386,829016.4510439386,829016.4510439386,829016.4510439386,829016.4510439386,829016.4510439386,829016.4510439386,829016.4510439386,829016.4510439386,829016.4510439386,829016.4510439386,829016.4510439386,829016.4510439386
