0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9196922.922183435,9196922.922183435,9196922.922183435,9196922.922183435,9196922.922183435,9196922.922183435,9196922.922183435,9196922.922183435,9196922.922183435,9196922.922183435,9196922.922183435,9196922.922183435,9196922.922183435,9196922.922183435,9196922.922183435,9196922.922183435
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8467663.540714249,8467663.540714249,8467663.540714249,8467663.540714249,8467663.540714249,8467663.540714249,8467663.540714249,8467663.540714249,8467663.540714249,8467663.540714249,8467663.540714249,8467663.540714249,8467663.540714249,8467663.540714249,8467663.540714249,8467663.540714249
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11532316.442914538,11532316.442914538,11532316.442914538,11532316.442914538,11532316.442914538,11532316.442914538,11532316.442914538,11532316.442914538,11532316.442914538,11532316.442914538,11532316.442914538,11532316.442914538,11532316.442914538,11532316.442914538,11532316.442914538,11532316.442914538
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14525584.162349638,14525584.162349638,14525584.162349638,14525584.162349638,14525584.162349638,14525584.162349638,14525584.162349638,14525584.162349638,14525584.162349638,14525584.162349638,14525584.162349638,14525584.162349638,14525584.162349638,14525584.162349638,14525584.162349638,14525584.162349638
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11602095.200492166,11602095.200492166,11602095.200492166,11602095.200492166,11602095.200492166,11602095.200492166,11602095.200492166,11602095.200492166,11602095.200492166,11602095.200492166,11602095.200492166,11602095.200492166,11602095.200492166,11602095.200492166,11602095.200492166,11602095.200492166
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17221461.06906514,17221461.06906514,17221461.06906514,17221461.06906514,17221461.06906514,17221461.06906514,17221461.06906514,17221461.06906514,17221461.06906514,17221461.06906514,17221461.06906514,17221461.06906514,17221461.06906514,17221461.06906514,17221461.06906514,17221461.06906514
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
