0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147
14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423
6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468
11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514
3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751
18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14622838.292229507,14622838.292229507,14622838.292229507,14622838.292229507,14622838.292229507,14622838.292229507,14622838.292229507,14622838.292229507,14622838.292229507,14622838.292229507,14622838.292229507,14622838.292229507,14622838.292229507,14622838.292229507,14622838.292229507,14622838.292229507
5092985.388280362,5092985.388280362,5092985.388280362,5092985.388280362,5092985.388280362,5092985.388280362,5092985.388280362,5092985.388280362,5092985.388280362,5092985.388280362,5092985.388280362,5092985.388280362,5092985.388280362,5092985.388280362,5092985.388280362,5092985.388280362
18842051.876612544,18842051.876612544,18842051.876612544,18842051.876612544,18842051.876612544,18842051.876612544,18842051.876612544,18842051.876612544,18842051.876612544,18842051.876612544,18842051.876612544,18842051.876612544,18842051.876612544,18842051.876612544,18842051.876612544,18842051.876612544
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25320419.235792246,25320419.235792246,25320419.235792246,25320419.235792246,25320419.235792246,25320419.235792246,25320419.235792246,25320419.235792246,25320419.235792246,25320419.235792246,25320419.235792246,25320419.235792246,25320419.235792246,25320419.235792246,25320419.235792246,25320419.235792246
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19299161.05799914,19299161.05799914,19299161.05799914,19299161.05799914,19299161.05799914,19299161.05799914,19299161.05799914,19299161.05799914,19299161.05799914,19299161.05799914,19299161.05799914,19299161.05799914,19299161.05799914,19299161.05799914,19299161.05799914,19299161.05799914
6767821.472134605,6767821.472134605,6767821.472134605,6767821.472134605,6767821.472134605,6767821.472134605,6767821.472134605,6767821.472134605,6767821.472134605,6767821.472134605,6767821.472134605,6767821.472134605,6767821.472134605,6767821.472134605,6767821.472134605,6767821.472134605
26202702.85118317,26202702.85118317,26202702.85118317,26202702.85118317,26202702.85118317,26202702.85118317,26202702.85118317,26202702.85118317,26202702.85118317,26202702.85118317,26202702.85118317,26202702.85118317,26202702.85118317,26202702.85118317,26202702.85118317,26202702.85118317
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16725704.149090433,16725704.149090433,16725704.149090433,16725704.149090433,16725704.149090433,16725704.149090433,16725704.149090433,16725704.149090433,16725704.149090433,16725704.149090433,16725704.149090433,16725704.149090433,16725704.149090433,16725704.149090433,16725704.149090433,16725704.149090433
