0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147
26874686.73377449,26874686.73377449,26874686.73377449,26874686.73377449,26874686.73377449,26874686.73377449,26874686.73377449,26874686.73377449,26874686.73377449,26874686.73377449,26874686.73377449,26874686.73377449,26874686.73377449,26874686.73377449,26874686.73377449,26874686.73377449
11050855.127647787,11050855.127647787,11050855.127647787,11050855.127647787,11050855.127647787,11050855.127647787,11050855.127647787,11050855.127647787,11050855.127647787,11050855.127647787,11050855.127647787,11050855.127647787,11050855.127647787,11050855.127647787,11050855.127647787,11050855.127647787
9781895.458008347,9781895.458008347,9781895.458008347,9781895.458008347,9781895.458008347,9781895.458008347,9781895.458008347,9781895.458008347,9781895.458008347,9781895.458008347,9781895.458008347,9781895.458008347,9781895.458008347,9781895.458008347,9781895.458008347,9781895.458008347
10841264.872300036,10841264.872300036,10841264.872300036,10841264.872300036,10841264.872300036,10841264.872300036,10841264.872300036,10841264.872300036,10841264.872300036,10841264.872300036,10841264.872300036,10841264.872300036,10841264.872300036,10841264.872300036,10841264.872300036,10841264.872300036
15273452.088561349,15273452.088561349,15273452.088561349,15273452.088561349,15273452.088561349,15273452.088561349,15273452.088561349,15273452.088561349,15273452.088561349,15273452.088561349,15273452.088561349,15273452.088561349,15273452.088561349,15273452.088561349,15273452.088561349,15273452.088561349
17572089.486365415,17572089.486365415,17572089.486365415,17572089.486365415,17572089.486365415,17572089.486365415,17572089.486365415,17572089.486365415,17572089.486365415,17572089.486365415,17572089.486365415,17572089.486365415,17572089.486365415,17572089.486365415,17572089.486365415,17572089.486365415
11916428.073037788,11916428.073037788,11916428.073037788,11916428.073037788,11916428.073037788,11916428.073037788,11916428.073037788,11916428.073037788,11916428.073037788,11916428.073037788,11916428.073037788,11916428.073037788,11916428.073037788,11916428.073037788,11916428.073037788,11916428.073037788
15138659.315810133,15138659.315810133,15138659.315810133,15138659.315810133,15138659.315810133,15138659.315810133,15138659.315810133,15138659.315810133,15138659.315810133,15138659.315810133,15138659.315810133,15138659.315810133,15138659.315810133,15138659.315810133,15138659.315810133,15138659.315810133
15426445.638860296,15426445.638860296,15426445.638860296,15426445.638860296,15426445.638860296,15426445.638860296,15426445.638860296,15426445.638860296,15426445.638860296,15426445.638860296,15426445.638860296,15426445.638860296,15426445.638860296,15426445.638860296,15426445.638860296,15426445.638860296
21070211.157517202,21070211.157517202,21070211.157517202,21070211.157517202,21070211.157517202,21070211.157517202,21070211.157517202,21070211.157517202,21070211.157517202,21070211.157517202,21070211.157517202,21070211.157517202,21070211.157517202,21070211.157517202,21070211.157517202,21070211.157517202
20660946.78139008,20660946.78139008,20660946.78139008,20660946.78139008,20660946.78139008,20660946.78139008,20660946.78139008,20660946.78139008,20660946.78139008,20660946.78139008,20660946.78139008,20660946.78139008,20660946.78139008,20660946.78139008,20660946.78139008,20660946.78139008
26922098.12705452,26922098.12705452,26922098.12705452,26922098.12705452,26922098.12705452,26922098.12705452,26922098.12705452,26922098.12705452,26922098.12705452,26922098.12705452,26922098.12705452,26922098.12705452,26922098.12705452,26922098.12705452,26922098.12705452,26922098.12705452
15742559.834246414,15742559.834246414,15742559.834246414,15742559.834246414,15742559.834246414,15742559.834246414,15742559.834246414,15742559.834246414,15742559.834246414,15742559.834246414,15742559.834246414,15742559.834246414,15742559.834246414,15742559.834246414,15742559.834246414,15742559.834246414
21433649.264202517,21433649.264202517,21433649.264202517,21433649.264202517,21433649.264202517,21433649.264202517,21433649.264202517,21433649.264202517,21433649.264202517,21433649.264202517,21433649.264202517,21433649.264202517,21433649.264202517,21433649.264202517,21433649.264202517,21433649.264202517
21385206.000336736,21385206.000336736,21385206.000336736,21385206.000336736,21385206.000336736,21385206.000336736,21385206.000336736,21385206.000336736,21385206.000336736,21385206.000336736,21385206.000336736,21385206.000336736,21385206.000336736,21385206.000336736,21385206.000336736,21385206.000336736
32224688.146488987,32224688.146488987,32224688.146488987,32224688.146488987,32224688.146488987,32224688.146488987,32224688.146488987,32224688.146488987,32224688.146488987,32224688.146488987,32224688.146488987,32224688.146488987,32224688.146488987,32224688.146488987,32224688.146488987,32224688.146488987
13653252.436833857,13653252.436833857,13653252.436833857,13653252.436833857,13653252.436833857,13653252.436833857,13653252.436833857,13653252.436833857,13653252.436833857,13653252.436833857,13653252.436833857,13653252.436833857,13653252.436833857,13653252.436833857,13653252.436833857,13653252.436833857
