0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20310404.532815143,20310404.532815143,20310404.532815143,20310404.532815143,20310404.532815143,20310404.532815143,20310404.532815143,20310404.532815143,20310404.532815143,20310404.532815143,20310404.532815143,20310404.532815143,20310404.532815143,20310404.532815143,20310404.532815143,20310404.532815143
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6091329.403175297,6091329.403175297,6091329.403175297,6091329.403175297,6091329.403175297,6091329.403175297,6091329.403175297,6091329.403175297,6091329.403175297,6091329.403175297,6091329.403175297,6091329.403175297,6091329.403175297,6091329.403175297,6091329.403175297,6091329.403175297
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9241974.950861322,9241974.950861322,9241974.950861322,9241974.950861322,9241974.950861322,9241974.950861322,9241974.950861322,9241974.950861322,9241974.950861322,9241974.950861322,9241974.950861322,9241974.950861322,9241974.950861322,9241974.950861322,9241974.950861322,9241974.950861322
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8452333.181822293,8452333.181822293,8452333.181822293,8452333.181822293,8452333.181822293,8452333.181822293,8452333.181822293,8452333.181822293,8452333.181822293,8452333.181822293,8452333.181822293,8452333.181822293,8452333.181822293,8452333.181822293,8452333.181822293,8452333.181822293
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11501966.553326324,11501966.553326324,11501966.553326324,11501966.553326324,11501966.553326324,11501966.553326324,11501966.553326324,11501966.553326324,11501966.553326324,11501966.553326324,11501966.553326324,11501966.553326324,11501966.553326324,11501966.553326324,11501966.553326324,11501966.553326324
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14601503.956852574,14601503.956852574,14601503.956852574,14601503.956852574,14601503.956852574,14601503.956852574,14601503.956852574,14601503.956852574,14601503.956852574,14601503.956852574,14601503.956852574,14601503.956852574,14601503.956852574,14601503.956852574,14601503.956852574,14601503.956852574
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11498108.543861434,11498108.543861434,11498108.543861434,11498108.543861434,11498108.543861434,11498108.543861434,11498108.543861434,11498108.543861434,11498108.543861434,11498108.543861434,11498108.543861434,11498108.543861434,11498108.543861434,11498108.543861434,11498108.543861434,11498108.543861434
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17332355.1291641,17332355.1291641,17332355.1291641,17332355.1291641,17332355.1291641,17332355.1291641,17332355.1291641,17332355.1291641,17332355.1291641,17332355.1291641,17332355.1291641,17332355.1291641,17332355.1291641,17332355.1291641,17332355.1291641,17332355.1291641
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
