0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147
14028290.588900506,14028290.588900506,14028290.588900506,14028290.588900506,14028290.588900506,14028290.588900506,14028290.588900506,14028290.588900506,14028290.588900506,14028290.588900506,14028290.588900506,14028290.588900506,14028290.588900506,14028290.588900506,14028290.588900506,14028290.588900506
6624441.559034792,6624441.559034792,6624441.559034792,6624441.559034792,6624441.559034792,6624441.559034792,6624441.559034792,6624441.559034792,6624441.559034792,6624441.559034792,6624441.559034792,6624441.559034792,6624441.559034792,6624441.559034792,6624441.559034792,6624441.559034792
12802145.132257957,12802145.132257957,12802145.132257957,12802145.132257957,12802145.132257957,12802145.132257957,12802145.132257957,12802145.132257957,12802145.132257957,12802145.132257957,12802145.132257957,12802145.132257957,12802145.132257957,12802145.132257957,12802145.132257957,12802145.132257957
3792750.0190255726,3792750.0190255726,3792750.0190255726,3792750.0190255726,3792750.0190255726,3792750.0190255726,3792750.0190255726,3792750.0190255726,3792750.0190255726,3792750.0190255726,3792750.0190255726,3792750.0190255726,3792750.0190255726,3792750.0190255726,3792750.0190255726,3792750.0190255726
18826559.402537726,18826559.402537726,18826559.402537726,18826559.402537726,18826559.402537726,18826559.402537726,18826559.402537726,18826559.402537726,18826559.402537726,18826559.402537726,18826559.402537726,18826559.402537726,18826559.402537726,18826559.402537726,18826559.402537726,18826559.402537726
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14627840.820092767,14627840.820092767,14627840.820092767,14627840.820092767,14627840.820092767,14627840.820092767,14627840.820092767,14627840.820092767,14627840.820092767,14627840.820092767,14627840.820092767,14627840.820092767,14627840.820092767,14627840.820092767,14627840.820092767,14627840.820092767
5131508.477829276,5131508.477829276,5131508.477829276,5131508.477829276,5131508.477829276,5131508.477829276,5131508.477829276,5131508.477829276,5131508.477829276,5131508.477829276,5131508.477829276,5131508.477829276,5131508.477829276,5131508.477829276,5131508.477829276,5131508.477829276
18821827.078846946,18821827.078846946,18821827.078846946,18821827.078846946,18821827.078846946,18821827.078846946,18821827.078846946,18821827.078846946,18821827.078846946,18821827.078846946,18821827.078846946,18821827.078846946,18821827.078846946,18821827.078846946,18821827.078846946,18821827.078846946
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25260470.48837041,25260470.48837041,25260470.48837041,25260470.48837041,25260470.48837041,25260470.48837041,25260470.48837041,25260470.48837041,25260470.48837041,25260470.48837041,25260470.48837041,25260470.48837041,25260470.48837041,25260470.48837041,25260470.48837041,25260470.48837041
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19230245.23101498,19230245.23101498,19230245.23101498,19230245.23101498,19230245.23101498,19230245.23101498,19230245.23101498,19230245.23101498,19230245.23101498,19230245.23101498,19230245.23101498,19230245.23101498,19230245.23101498,19230245.23101498,19230245.23101498,19230245.23101498
6696106.362296528,6696106.362296528,6696106.362296528,6696106.362296528,6696106.362296528,6696106.362296528,6696106.362296528,6696106.362296528,6696106.362296528,6696106.362296528,6696106.362296528,6696106.362296528,6696106.362296528,6696106.362296528,6696106.362296528,6696106.362296528
26188213.672789115,26188213.672789115,26188213.672789115,26188213.672789115,26188213.672789115,26188213.672789115,26188213.672789115,26188213.672789115,26188213.672789115,26188213.672789115,26188213.672789115,26188213.672789115,26188213.672789115,26188213.672789115,26188213.672789115,26188213.672789115
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16525088.607146397,16525088.607146397,16525088.607146397,16525088.607146397,16525088.607146397,16525088.607146397,16525088.607146397,16525088.607146397,16525088.607146397,16525088.607146397,16525088.607146397,16525088.607146397,16525088.607146397,16525088.607146397,16525088.607146397,16525088.607146397
