0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147
26136564.028519973,26136564.028519973,26136564.028519973,26136564.028519973,26136564.028519973,26136564.028519973,26136564.028519973,26136564.028519973,26136564.028519973,26136564.028519973,26136564.028519973,26136564.028519973,26136564.028519973,26136564.028519973,26136564.028519973,26136564.028519973
11209597.17467198,11209597.17467198,11209597.17467198,11209597.17467198,11209597.17467198,11209597.17467198,11209597.17467198,11209597.17467198,11209597.17467198,11209597.17467198,11209597.17467198,11209597.17467198,11209597.17467198,11209597.17467198,11209597.17467198,11209597.17467198
10412328.535430595,10412328.535430595,10412328.535430595,10412328.535430595,10412328.535430595,10412328.535430595,10412328.535430595,10412328.535430595,10412328.535430595,10412328.535430595,10412328.535430595,10412328.535430595,10412328.535430595,10412328.535430595,10412328.535430595,10412328.535430595
10885555.316458995,10885555.316458995,10885555.316458995,10885555.316458995,10885555.316458995,10885555.316458995,10885555.316458995,10885555.316458995,10885555.316458995,10885555.316458995,10885555.316458995,10885555.316458995,10885555.316458995,10885555.316458995,10885555.316458995,10885555.316458995
15389402.930807987,15389402.930807987,15389402.930807987,15389402.930807987,15389402.930807987,15389402.930807987,15389402.930807987,15389402.930807987,15389402.930807987,15389402.930807987,15389402.930807987,15389402.930807987,15389402.930807987,15389402.930807987,15389402.930807987,15389402.930807987
17489996.05431459,17489996.05431459,17489996.05431459,17489996.05431459,17489996.05431459,17489996.05431459,17489996.05431459,17489996.05431459,17489996.05431459,17489996.05431459,17489996.05431459,17489996.05431459,17489996.05431459,17489996.05431459,17489996.05431459,17489996.05431459
11919835.026775654,11919835.026775654,11919835.026775654,11919835.026775654,11919835.026775654,11919835.026775654,11919835.026775654,11919835.026775654,11919835.026775654,11919835.026775654,11919835.026775654,11919835.026775654,11919835.026775654,11919835.026775654,11919835.026775654,11919835.026775654
15158964.155591883,15158964.155591883,15158964.155591883,15158964.155591883,15158964.155591883,15158964.155591883,15158964.155591883,15158964.155591883,15158964.155591883,15158964.155591883,15158964.155591883,15158964.155591883,15158964.155591883,15158964.155591883,15158964.155591883,15158964.155591883
15363191.853769332,15363191.853769332,15363191.853769332,15363191.853769332,15363191.853769332,15363191.853769332,15363191.853769332,15363191.853769332,15363191.853769332,15363191.853769332,15363191.853769332,15363191.853769332,15363191.853769332,15363191.853769332,15363191.853769332,15363191.853769332
21008633.371398382,21008633.371398382,21008633.371398382,21008633.371398382,21008633.371398382,21008633.371398382,21008633.371398382,21008633.371398382,21008633.371398382,21008633.371398382,21008633.371398382,21008633.371398382,21008633.371398382,21008633.371398382,21008633.371398382,21008633.371398382
20645650.912976548,20645650.912976548,20645650.912976548,20645650.912976548,20645650.912976548,20645650.912976548,20645650.912976548,20645650.912976548,20645650.912976548,20645650.912976548,20645650.912976548,20645650.912976548,20645650.912976548,20645650.912976548,20645650.912976548,20645650.912976548
27030404.186903104,27030404.186903104,27030404.186903104,27030404.186903104,27030404.186903104,27030404.186903104,27030404.186903104,27030404.186903104,27030404.186903104,27030404.186903104,27030404.186903104,27030404.186903104,27030404.186903104,27030404.186903104,27030404.186903104,27030404.186903104
15682860.118682366,15682860.118682366,15682860.118682366,15682860.118682366,15682860.118682366,15682860.118682366,15682860.118682366,15682860.118682366,15682860.118682366,15682860.118682366,15682860.118682366,15682860.118682366,15682860.118682366,15682860.118682366,15682860.118682366,15682860.118682366
20999308.633931898,20999308.633931898,20999308.633931898,20999308.633931898,20999308.633931898,20999308.633931898,20999308.633931898,20999308.633931898,20999308.633931898,20999308.633931898,20999308.633931898,20999308.633931898,20999308.633931898,20999308.633931898,20999308.633931898,20999308.633931898
21372878.31658497,21372878.31658497,21372878.31658497,21372878.31658497,21372878.31658497,21372878.31658497,21372878.31658497,21372878.31658497,21372878.31658497,21372878.31658497,21372878.31658497,21372878.31658497,21372878.31658497,21372878.31658497,21372878.31658497,21372878.31658497
32194169.14329867,32194169.14329867,32194169.14329867,32194169.14329867,32194169.14329867,32194169.14329867,32194169.14329867,32194169.14329867,32194169.14329867,32194169.14329867,32194169.14329867,32194169.14329867,32194169.14329867,32194169.14329867,32194169.14329867,32194169.14329867
13492293.696149632,13492293.696149632,13492293.696149632,13492293.696149632,13492293.696149632,13492293.696149632,13492293.696149632,13492293.696149632,13492293.696149632,13492293.696149632,13492293.696149632,13492293.696149632,13492293.696149632,13492293.696149632,13492293.696149632,13492293.696149632
