0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451,6044489.165818451
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9259883.64267679,9259883.64267679,9259883.64267679,9259883.64267679,9259883.64267679,9259883.64267679,9259883.64267679,9259883.64267679,9259883.64267679,9259883.64267679,9259883.64267679,9259883.64267679,9259883.64267679,9259883.64267679,9259883.64267679,9259883.64267679
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8464644.849425854,8464644.849425854,8464644.849425854,8464644.849425854,8464644.849425854,8464644.849425854,8464644.849425854,8464644.849425854,8464644.849425854,8464644.849425854,8464644.849425854,8464644.849425854,8464644.849425854,8464644.849425854,8464644.849425854,8464644.849425854
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11503879.72426895,11503879.72426895,11503879.72426895,11503879.72426895,11503879.72426895,11503879.72426895,11503879.72426895,11503879.72426895,11503879.72426895,11503879.72426895,11503879.72426895,11503879.72426895,11503879.72426895,11503879.72426895,11503879.72426895,11503879.72426895
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14552049.092698177,14552049.092698177,14552049.092698177,14552049.092698177,14552049.092698177,14552049.092698177,14552049.092698177,14552049.092698177,14552049.092698177,14552049.092698177,14552049.092698177,14552049.092698177,14552049.092698177,14552049.092698177,14552049.092698177,14552049.092698177
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11727611.055478591,11727611.055478591,11727611.055478591,11727611.055478591,11727611.055478591,11727611.055478591,11727611.055478591,11727611.055478591,11727611.055478591,11727611.055478591,11727611.055478591,11727611.055478591,11727611.055478591,11727611.055478591,11727611.055478591,11727611.055478591
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17223330.205316715,17223330.205316715,17223330.205316715,17223330.205316715,17223330.205316715,17223330.205316715,17223330.205316715,17223330.205316715,17223330.205316715,17223330.205316715,17223330.205316715,17223330.205316715,17223330.205316715,17223330.205316715,17223330.205316715,17223330.205316715
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
