0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147
14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423
6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468
11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514,11734742.615814514
3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751,3747015.393766751
18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373,18733459.479458373
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14609802.36671595,14609802.36671595,14609802.36671595,14609802.36671595,14609802.36671595,14609802.36671595,14609802.36671595,14609802.36671595,14609802.36671595,14609802.36671595,14609802.36671595,14609802.36671595,14609802.36671595,14609802.36671595,14609802.36671595,14609802.36671595
5084902.7129173,5084902.7129173,5084902.7129173,5084902.7129173,5084902.7129173,5084902.7129173,5084902.7129173,5084902.7129173,5084902.7129173,5084902.7129173,5084902.7129173,5084902.7129173,5084902.7129173,5084902.7129173,5084902.7129173,5084902.7129173
18857579.529330205,18857579.529330205,18857579.529330205,18857579.529330205,18857579.529330205,18857579.529330205,18857579.529330205,18857579.529330205,18857579.529330205,18857579.529330205,18857579.529330205,18857579.529330205,18857579.529330205,18857579.529330205,18857579.529330205,18857579.529330205
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25340299.501811434,25340299.501811434,25340299.501811434,25340299.501811434,25340299.501811434,25340299.501811434,25340299.501811434,25340299.501811434,25340299.501811434,25340299.501811434,25340299.501811434,25340299.501811434,25340299.501811434,25340299.501811434,25340299.501811434,25340299.501811434
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19279117.19219658,19279117.19219658,19279117.19219658,19279117.19219658,19279117.19219658,19279117.19219658,19279117.19219658,19279117.19219658,19279117.19219658,19279117.19219658,19279117.19219658,19279117.19219658,19279117.19219658,19279117.19219658,19279117.19219658,19279117.19219658
6915759.035745143,6915759.035745143,6915759.035745143,6915759.035745143,6915759.035745143,6915759.035745143,6915759.035745143,6915759.035745143,6915759.035745143,6915759.035745143,6915759.035745143,6915759.035745143,6915759.035745143,6915759.035745143,6915759.035745143,6915759.035745143
26188168.667374082,26188168.667374082,26188168.667374082,26188168.667374082,26188168.667374082,26188168.667374082,26188168.667374082,26188168.667374082,26188168.667374082,26188168.667374082,26188168.667374082,26188168.667374082,26188168.667374082,26188168.667374082,26188168.667374082,26188168.667374082
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16727994.333932657,16727994.333932657,16727994.333932657,16727994.333932657,16727994.333932657,16727994.333932657,16727994.333932657,16727994.333932657,16727994.333932657,16727994.333932657,16727994.333932657,16727994.333932657,16727994.333932657,16727994.333932657,16727994.333932657,16727994.333932657
