0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664,20011079.639380664
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7128456.520750942,7128456.520750942,7128456.520750942,7128456.520750942,7128456.520750942,7128456.520750942,7128456.520750942,7128456.520750942,7128456.520750942,7128456.520750942,7128456.520750942,7128456.520750942,7128456.520750942,7128456.520750942,7128456.520750942,7128456.520750942
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9351490.884164166,9351490.884164166,9351490.884164166,9351490.884164166,9351490.884164166,9351490.884164166,9351490.884164166,9351490.884164166,9351490.884164166,9351490.884164166,9351490.884164166,9351490.884164166,9351490.884164166,9351490.884164166,9351490.884164166,9351490.884164166
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8469161.145384023,8469161.145384023,8469161.145384023,8469161.145384023,8469161.145384023,8469161.145384023,8469161.145384023,8469161.145384023,8469161.145384023,8469161.145384023,8469161.145384023,8469161.145384023,8469161.145384023,8469161.145384023,8469161.145384023,8469161.145384023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11490110.485491915,11490110.485491915,11490110.485491915,11490110.485491915,11490110.485491915,11490110.485491915,11490110.485491915,11490110.485491915,11490110.485491915,11490110.485491915,11490110.485491915,11490110.485491915,11490110.485491915,11490110.485491915,11490110.485491915,11490110.485491915
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14605801.86623761,14605801.86623761,14605801.86623761,14605801.86623761,14605801.86623761,14605801.86623761,14605801.86623761,14605801.86623761,14605801.86623761,14605801.86623761,14605801.86623761,14605801.86623761,14605801.86623761,14605801.86623761,14605801.86623761,14605801.86623761
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11617366.269045938,11617366.269045938,11617366.269045938,11617366.269045938,11617366.269045938,11617366.269045938,11617366.269045938,11617366.269045938,11617366.269045938,11617366.269045938,11617366.269045938,11617366.269045938,11617366.269045938,11617366.269045938,11617366.269045938,11617366.269045938
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14783445.814362926,14783445.814362926,14783445.814362926,14783445.814362926,14783445.814362926,14783445.814362926,14783445.814362926,14783445.814362926,14783445.814362926,14783445.814362926,14783445.814362926,14783445.814362926,14783445.814362926,14783445.814362926,14783445.814362926,14783445.814362926
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
