0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147,10746961.8370147
14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423,14419989.508227423
6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468,6474195.407916468
12067292.120173894,12067292.120173894,12067292.120173894,12067292.120173894,12067292.120173894,12067292.120173894,12067292.120173894,12067292.120173894,12067292.120173894,12067292.120173894,12067292.120173894,12067292.120173894,12067292.120173894,12067292.120173894,12067292.120173894,12067292.120173894
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18109051.158678927,18109051.158678927,18109051.158678927,18109051.158678927,18109051.158678927,18109051.158678927,18109051.158678927,18109051.158678927,18109051.158678927,18109051.158678927,18109051.158678927,18109051.158678927,18109051.158678927,18109051.158678927,18109051.158678927,18109051.158678927
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14561832.617933344,14561832.617933344,14561832.617933344,14561832.617933344,14561832.617933344,14561832.617933344,14561832.617933344,14561832.617933344,14561832.617933344,14561832.617933344,14561832.617933344,14561832.617933344,14561832.617933344,14561832.617933344,14561832.617933344,14561832.617933344
5074690.534814089,5074690.534814089,5074690.534814089,5074690.534814089,5074690.534814089,5074690.534814089,5074690.534814089,5074690.534814089,5074690.534814089,5074690.534814089,5074690.534814089,5074690.534814089,5074690.534814089,5074690.534814089,5074690.534814089,5074690.534814089
18832392.11941558,18832392.11941558,18832392.11941558,18832392.11941558,18832392.11941558,18832392.11941558,18832392.11941558,18832392.11941558,18832392.11941558,18832392.11941558,18832392.11941558,18832392.11941558,18832392.11941558,18832392.11941558,18832392.11941558,18832392.11941558
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25266281.85672617,25266281.85672617,25266281.85672617,25266281.85672617,25266281.85672617,25266281.85672617,25266281.85672617,25266281.85672617,25266281.85672617,25266281.85672617,25266281.85672617,25266281.85672617,25266281.85672617,25266281.85672617,25266281.85672617,25266281.85672617
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19251288.98082407,19251288.98082407,19251288.98082407,19251288.98082407,19251288.98082407,19251288.98082407,19251288.98082407,19251288.98082407,19251288.98082407,19251288.98082407,19251288.98082407,19251288.98082407,19251288.98082407,19251288.98082407,19251288.98082407,19251288.98082407
6731134.290034614,6731134.290034614,6731134.290034614,6731134.290034614,6731134.290034614,6731134.290034614,6731134.290034614,6731134.290034614,6731134.290034614,6731134.290034614,6731134.290034614,6731134.290034614,6731134.290034614,6731134.290034614,6731134.290034614,6731134.290034614
26133279.82668168,26133279.82668168,26133279.82668168,26133279.82668168,26133279.82668168,26133279.82668168,26133279.82668168,26133279.82668168,26133279.82668168,26133279.82668168,26133279.82668168,26133279.82668168,26133279.82668168,26133279.82668168,26133279.82668168,26133279.82668168
8635502.53107133,8635502.53107133,8635502.53107133,8635502.53107133,8635502.53107133,8635502.53107133,8635502.53107133,8635502.53107133,8635502.53107133,8635502.53107133,8635502.53107133,8635502.53107133,8635502.53107133,8635502.53107133,8635502.53107133,8635502.53107133
16747158.982591458,16747158.982591458,16747158.982591458,16747158.982591458,16747158.982591458,16747158.982591458,16747158.982591458,16747158.982591458,16747158.982591458,16747158.982591458,16747158.982591458,16747158.982591458,16747158.982591458,16747158.982591458,16747158.982591458,16747158.982591458
