"year","Chicago","Detroit","Minneapolis.StPaul","Boston","New.York","Philadelphia","Atlanta","Baltimore","Dallas.FortWorth","Houston","Miami","DC","Los.Angeles","San.Francisco","San.Diego","Seattle","Average"
1990,191581191.355247,78019908.7864477,55884066.9262159,77090505.2973769,399350599.372782,119882698.88402,60138070.7935437,49371596.5055373,80986151.5107858,71304540.1077653,82578842.4776195,98846970.3094282,272496976.862671,91024750.2470344,59467724.1648711,64838477.2838074,108991945.346185
1991,171113739.983667,86901993.1966977,52775006.2973327,73454273.9209126,361277013.663702,102323304.035353,50641410.3887159,44942428.0021626,88151432.3040228,67310544.3472032,74468029.4085606,101354246.88143,250541570.338205,84911392.3906446,52966869.2219591,57383186.3580934,101206849.455215
1992,133327633.510574,69662467.3242762,42131263.3931915,73749395.0898708,337259389.743988,88854872.4556268,43453164.718713,42230840.4026697,72031886.3940779,55075524.5460921,77713227.1898862,89075460.0319108,202497855.40156,73728304.1097159,44783975.6279578,46968327.203575,87796681.5966873
1993,140178160.07404,66389849.9596971,41495992.5080271,69317991.5532516,350235243.210316,89166521.414122,45469903.1140272,43970855.6506665,67540217.0365801,60073452.9356559,74398021.2856589,87245362.9907462,203963902.608434,74337764.5619939,48989235.077942,47929438.9627456,88864818.4084649
1994,164402250.6806,73866293.3127651,51668700.0839425,74747479.9608196,380318531.884031,89849530.2180082,52559546.3135283,43175348.3754346,77867440.6663731,75440538.224235,84127331.7484973,81252484.6047506,216576189.047815,82718108.7799946,49484467.0256831,50082148.039862,96949199.3509612
1995,180584956.110814,70703401.3496514,55639491.8453165,83671283.6997146,449989774.695526,100192796.700565,56400629.7694146,42977092.7472312,91060120.4197017,84837106.1348019,90034359.7712982,81795197.7951257,201553050.13769,88412263.1157857,49033121.2097218,55034487.8860663,104818772.55226
1996,150246040.662134,68010095.6464833,50717627.4050172,65867346.687045,364684952.118841,72888824.2766261,44628993.1743955,36863109.1112409,74300704.9472399,65632639.3595738,79593104.755816,81316012.721595,172263159.949761,87022517.6943576,40099352.9495419,48537002.1702749,88392440.213526
1997,166131868.088242,84262250.2158197,60966839.8630827,68955479.9816859,393040891.625728,68941404.5509707,46679068.0005848,41884211.8067506,80835522.3633083,67724591.0291446,92403657.9497649,102786599.500954,195823418.139297,110332921.394322,43769995.0895127,56763431.6763455,98900126.5456185
1998,119680225.919355,55054052.9179218,40875469.8861354,51053566.1944877,279682801.239205,56746109.8290076,38341880.8095123,28448864.3908198,62988615.9867757,49323377.3120074,51887996.8805579,69726075.8361666,146996757.760271,82544842.4890297,37634468.1684838,44382991.308761,71492240.995794
1999,150623880.174452,73565095.3531677,53763530.9452825,77992498.594847,356805085.844245,87089435.3235154,55961492.3571297,43012469.8582366,98523857.2944357,72672047.9403357,79497034.5789408,93247989.4515256,207751978.686705,109523652.253412,49867910.7321162,65285876.6953846,98540225.6519842
2000,111172034.148923,61834255.6867031,46282812.5770517,61869378.1404071,327155463.771263,83346056.4274992,47674191.0384881,33920619.5976941,91027411.5187588,60629810.2241874,75707573.6344858,79194307.992243,178239858.854764,88242383.1224571,35962527.3592542,62831575.5527091,85005309.3909934
