"year","Chicago","Detroit","Minneapolis.StPaul","Boston","New.York","Philadelphia","Atlanta","Baltimore","Dallas.FortWorth","Houston","Miami","DC","Los.Angeles","San.Francisco","San.Diego","Seattle","Average"
1990,182212585.079424,74204618.7680214,53151252.622161,73320664.4971066,379821758.85837,114020255.931336,57197229.3494189,46957251.7277584,77025807.7947274,67817641.6433456,78540613.7954965,94013205.889048,259171467.873405,86573504.0657831,56559663.6716734,61667778.9449004,103662076.500704
1991,167172125.373477,84900200.9030371,51559331.0634543,71762250.5959873,352954977.364813,99966280.9804708,49474882.6564143,43907176.6491874,86120859.1103571,65760042.1780372,72752654.1690453,99019546.1125098,244770331.195169,82955453.6983426,51746774.414837,56061361.4377222,98875543.994286
1992,167964496.093339,87759910.7750816,53076442.1394453,92908571.5938723,424875188.732749,111938264.292853,54741757.0046397,53201888.0187361,90744875.4790537,69383461.5067027,97902158.0226367,112216157.780643,255104282.187738,92882001.4391297,56418296.0527065,59170115.0269789,110605168.596841
1993,176546576.728053,83614314.3388588,52261888.8802341,87302145.4121445,441101760.828074,112300262.081463,57266807.7159647,55378841.0179469,85063137.5314095,75659164.4691448,93700159.6139255,109880670.164861,256881162.961432,93624269.6301914,61699210.0978379,60364455.9815848,111920283.967831
1994,197724361.192631,88837990.9549342,62141246.0927866,89897782.2069198,457403949.490837,108060813.597548,63212654.7927071,51926406.977161,93650116.7090196,90731313.9976087,101178802.966199,97721263.2265025,260473250.528721,99483949.580241,59514298.5640741,60233121.4283369,116599489.547425
1995,174802576.50703,68439459.1327175,53857900.1239448,80992106.3490231,435580979.239085,96984595.9923514,54594666.203883,41600954.5024759,88144350.4996983,82120598.8314086,87151434.9873429,79176093.2273685,195099266.437781,85581278.3096568,47463067.2799857,53272268.5566674,101462446.834142
1996,188361435.361399,85263339.9095371,63584005.6352404,82577004.4304774,457200607.304393,91379736.2116465,55950766.9953654,46214782.8553541,93149791.9715441,82282755.0186628,99784802.252391,101944788.738554,215964000.948246,109098957.080226,50272018.1200933,60850185.1805303,110816410.471392
1997,192793092.191947,97784849.8370623,70750938.4781716,80021613.9277253,456116997.457436,80005279.6395315,54170232.1416791,48605886.4031842,93808192.8212328,78593189.0864462,107232809.400058,119282029.280249,227249610.451733,128039402.258957,50794304.5223044,65872957.6826053,114771846.210607
1998,187038297.444857,86039412.4936376,63880881.2068331,79787383.6396307,437093049.971668,88683787.8814527,59921345.0037866,44460370.282757,98439682.9306879,77083414.9568243,81091446.1416808,108969100.04745,229729039.11396,129002487.114332,58815788.4680052,69362495.4843773,111729293.069526
1999,182519448.559887,89142974.0195544,65148301.9120217,94507908.1673644,432360841.031505,105531179.33378,67811695.6871761,52120634.9924829,119386913.167727,88060818.1147991,96331039.2528022,112993846.621788,251744786.704508,132715984.944784,60427759.2445352,79110577.9467994,119406747.629501
2000,167122643.103424,92954170.7481196,69576004.6791607,93006969.6137716,491806111.399731,125292420.427892,71667635.4369549,50992173.0430743,136839644.289493,91143552.5408471,113809645.614593,119051181.996732,267944331.020213,132652968.1144,54061731.1805839,94453421.2862827,127786741.440898
2001,179623927.80823,83320474.7661485,66738472.5558024,91148968.8487733,467042545.310315,119482024.794249,64868270.437523,45625511.7675324,130679937.782013,82654170.9017212,109725344.565243,102477695.549378,238938540.987,115759926.384176,45234080.8061355,88621396.2124713,119525958.204512
2002,174125607.869831,77680316.9300202,67350251.173073,94959686.1910864,434728412.218993,95857555.6371394,73356711.6420035,49833722.1114889,116053425.460017,80970912.9311513,105630266.952245,105982479.712632,244774954.137618,104657004.366067,48832731.6702857,80520629.5606242,115018509.915546
