"year","Chicago","Detroit","Minneapolis.StPaul","Boston","New.York","Philadelphia","Atlanta","Baltimore","Dallas.FortWorth","Houston","Miami","DC","Los.Angeles","San.Francisco","San.Diego","Seattle","Average"
1990,213623288.766786,86996376.7650884,62313727.5741469,85960042.0992366,445297306.0952,133675629.745693,67057169.7155004,55051974.2703894,90303896.264112,79508381.0371491,92079831.9909824,110219665.786385,303848723.168596,101497471.486593,66309697.3231546,72298374.6891607,121531856.281069
1991,196647908.780813,99869801.4118927,60650270.5466862,84415368.15769,415187986.857897,117592332.211406,58198292.2680697,51648888.5287711,101305686.032426,77354850.5575248,85580399.6547521,116478669.084025,287928227.589274,97582156.4468238,60870763.9033504,65946098.7620039,116309276.517259
1992,198496034.918382,103712360.164283,62724346.854827,109796912.444318,502106351.402882,132285704.030153,64692372.2728179,62872595.5038882,107239913.140601,81995554.5268288,115698201.878611,132614111.263461,301475548.004066,109765512.532514,66673662.1356599,69925689.6052193,130710286.510501
1993,209973488.917265,99445651.2866799,62157031.5831871,103831727.59213,524618927.226711,133562928.676266,68109569.9397073,65864140.0826728,101168791.243297,89984292.114723,111441126.703615,130685216.936392,305518436.119104,111350867.889461,73381192.928131,71793719.6175153,133111006.403345
1994,237236932.728991,106591076.369298,74559343.7757913,107862652.741767,548810016.837606,129655323.256328,75844859.1879296,62303205.5564334,112364841.154373,108862754.722942,121398034.759647,117249551.903581,312525349.130763,119364487.571608,71407435.8854703,72269905.8940446,139900339.498622
1995,212284557.097178,83114565.9307549,65406361.2931694,98358810.0829765,528980276.523588,117780483.656985,66301108.1789946,50521224.4455835,107044671.653878,99729279.1664288,105838850.584262,96153398.9905513,236933357.58162,103932013.616774,57640318.680315,64695155.8843829,123218496.080438
1996,232573714.917919,105276388.826744,78508471.607136,101959515.493931,564514936.401373,112828428.378591,69083555.8120074,57062337.1613855,115013952.410627,101596199.729816,123206335.244058,125873314.715178,266655166.927889,134706712.619469,62071888.4849138,75132967.6041504,136827287.431482
1997,243498489.075104,123502678.021548,89358733.8851763,101067636.102609,576077692.720351,101047005.827685,68417231.8073204,61389439.6566242,118480143.428035,99263529.4997515,135435490.822443,150653706.381946,287017217.052626,161714305.412431,64153420.976763,83197823.5540363,144957326.13085
1998,243618329.986539,112066770.661782,83205171.4022114,103923471.405704,569315911.968318,115511083.001221,78047855.4381276,57909857.5363247,128218185.727706,100401538.49763,105622019.421204,141932804.865925,299223237.28837,168026393.012741,76607862.4493539,90345001.7694088,145527970.260739
1999,247830088.433717,121040860.625118,88460213.7008168,128325520.505386,587071823.378626,143293231.012715,92076645.3744736,70770877.7411207,162106939.735127,119571478.618485,130801019.646411,153426252.499088,341826217.665974,180205531.76634,82050526.8648715,107418588.447931,162133871.530365
2000,239922045.450517,133445440.814647,99883636.6330598,133521239.11229,706039145.988534,179870382.793688,102886391.498698,73204601.3112057,196447631.194649,130846108.876426,163385657.74689,170910431.809538,384662130.585479,190437219.362268,77611273.281591,135597771.875713,183451241.666776
2001,277608820.208806,128771812.20401,103144324.115515,140870751.542478,721814357.212677,184659495.781112,100253926.327522,70514238.5413714,201965872.783696,127742039.433972,169580544.326378,158379301.167227,369279568.01296,178906991.864013,69909281.9038426,136964387.473293,184727394.876404
2002,269111165.526301,120054947.019152,104089828.103997,146760216.03898,671872857.363452,148147873.466705,113372814.088976,77018028.5599458,179360594.750727,125140563.867666,163251600.968556,163795945.867738,378299745.829827,161747423.42607,75470997.6113776,124444650.818792,177761132.547545
2003,241905133.227411,109742151.235327,90711160.4450439,127390316.342736,592780282.680929,122702242.043306,111438296.277602,67612694.7662908,150859875.769615,108266221.348956,167701099.878628,147042699.145545,392876118.184011,146220520.139232,80587105.7113335,114339192.269717,163069124.086217
2004,244303597.569293,104899219.0345,94304022.101834,138910174.476435,617953127.406781,139452607.155328,114574034.413966,65208490.8561027,142221439.657128,107584183.590619,192510147.600922,151996437.452564,412406172.196274,147431200.789113,93911733.5726549,110259563.57737,169289773.614758
