"year","Chicago","Detroit","Minneapolis.StPaul","Boston","New.York","Philadelphia","Atlanta","Baltimore","Dallas.FortWorth","Houston","Miami","DC","Los.Angeles","San.Francisco","San.Diego","Seattle","Average"
1990,55417917.281953,22568503.8332154,16165358.2817191,22299659.0404958,115518534.601351,34677984.0092583,17395896.7952809,14281522.2719247,23426536.8831861,20625976.2639878,23887248.1650783,28593063.783709,78824099.675608,26330361.7861254,17201988.334042,18755564.3922214,31527659.7293621
1991,52688553.8925906,26758461.0818208,16250236.6188959,22617701.3633887,111242752.372726,31506920.0150102,15593269.6036995,13838465.2224996,27143182.6111854,20725952.4788351,22929852.2792061,31208532.4040307,77145605.2118248,26145524.4593241,16309314.1660592,17669166.1771028,31163146.4681294
1992,56890864.9229738,29724955.8429474,17977398.6204158,31468846.8079359,143908489.791114,37914349.8877165,18541453.5561526,18019888.1032521,30735986.3150011,23500711.3305222,33160212.8859323,38008474.546466,86405779.773541,31459847.2924454,19109310.2088386,20041372.431505,37462820.13628
1993,53712230.1179102,25438676.7285668,15900068.1517363,26560656.1796293,134200049.200094,34166040.6619637,17422756.1426811,16848364.3667642,25879464.2315628,23018415.4675245,28507177.134454,33429908.1340805,78153087.9479714,28484088.494926,18771262.7018146,18365179.3805082,34050436.7671875
1994,66191573.1259892,29740019.5868159,20802832.8430583,30094802.6278684,153123706.093771,36175184.4949825,21161505.0212403,17383242.731785,31350960.0486879,30373841.4885502,33871315.0718569,32713845.1822808,87197824.8190621,33303934.243527,19923417.740154,20164055.8481619,39033650.6451642
1995,50473339.5958424,19761539.7415067,15551190.0178743,23386051.681981,125771754.203748,28003800.3266541,15763927.4116731,12012060.3830471,25451225.177149,23711898.0478239,25164525.959972,22861687.2885529,56333903.8050039,24711151.3427601,13704715.1189256,15382091.9326865,29296756.5903059
1996,51969796.8355212,23524552.3804534,17543123.1372388,22783379.9169344,126143775.816414,25212094.5919273,15437077.0638999,12750873.7188285,25700461.2156628,22702195.1344887,27531091.4380096,28127041.7642427,59585473.1704104,30100910.1122431,13870283.8147319,16788849.3478961,30574763.4975825
1997,59359799.9230517,30107350.0914372,21783776.0922009,24638159.6885237,140435600.688537,24633130.4622789,16678679.2262968,14965451.6101802,28882962.0071006,24198356.5201663,33016318.3691085,36726198.5996972,69968748.6498532,39422539.5419862,15639252.005319,20281875.994219,35337541.1452915
1998,53972241.0160403,24827749.0301375,18433627.5720683,23023647.876751,126128668.629814,25590816.6356375,17291053.8575831,12829596.1487289,28406002.2212513,22243383.8803292,23399951.4286019,31444397.2780274,66291188.6860898,37225281.7808934,16972031.6860749,20015415.9597209,32240885.5110441
1999,51421533.6738766,25114410.9655361,18354348.6844676,26625883.5462196,121809800.116026,29731489.6279416,19104711.4199268,14684040.5694652,33635090.529326,24809533.2292959,27139517.5575068,31833960.3524316,70924513.1348362,37390313.9788455,17024421.678604,22287965.9123912,33640678.528041
2000,42553646.5600993,23668479.9548958,17715808.3261559,23681923.8798242,125226259.302574,31902615.2084512,18248390.3530349,12983895.3520114,34842830.0939521,23207450.8219382,28978810.6786729,30313438.2461617,68225395.1247062,33776796.5816274,13765482.3928435,24050227.0139496,32537732.3465234
2001,31551129.0855235,14635327.7477624,11722681.87358,16010410.846991,82036507.1364508,20987141.4887874,11394178.9331875,8014168.42920483,22954066.5108402,14518290.7834044,19273370.4945344,18000313.4332822,41969802.3652842,20333351.0453972,7945413.1751482,15566440.0937952,20994858.4378337
2002,28895773.324186,12890882.9506501,11176630.5659013,15758357.4333576,72142253.0019477,15907356.953332,12173389.8726694,8269799.9200125,19258818.4851871,13436950.3402395,17529117.5569481,17587566.5134832,40619881.6861335,17367606.7061367,8103687.69078595,13362226.7750754,19087076.4574145
2003,46403906.7782226,21051494.3921358,17400838.8200637,24436886.8289347,113711191.699413,23537588.1664477,21376860.6023273,12969932.2337649,28938979.1708406,20768371.3680619,32169578.6341893,28206742.091552,75364199.677657,28049026.0585975,15458772.9952799,21933330.4274834,31281041.1732336
2004,37017867.0262142,15894753.0040831,14289326.0063954,21048230.2287767,93634751.7039292,21130421.8173481,17360720.0744971,9880653.69281618,21549966.4920451,16301589.6691892,29169914.4670455,23031113.6064274,62489447.5359561,22339370.5235081,14229884.8653171,16706974.0416648,25651469.6914831
2005,37434341.0228582,17954271.3423766,14309910.9113719,21756772.7719474,94252164.0545526,24544657.8073232,16504890.9737426,8873622.29448358,20387006.0763462,17287786.6256726,26390355.9183378,21750485.7842836,56629367.7968519,21167565.084067,11799344.0637245,15955565.7225257,25117535.7794391
2006,41493295.5556791,18908690.7977123,14932891.5239495,21326090.445131,98353006.9647035,26436025.7525548,15271397.4771858,9038418.87446987,21896966.5956353,19868921.9304598,27591763.3461975,23927933.9512616,60695784.5884055,24329986.9565011,10478772.8819272,16381893.2948018,26525402.4080339
2007,50456661.0510797,22821227.2254684,20381786.8313314,25036576.8820069,108768599.174263,26997487.2514997,20685875.6541363,12048330.4566691,25653451.5292503,24546653.0221932,38025387.4338947,31842194.4469457,78143166.1240233,30503113.7778754,11502190.5550876,17524784.5533654,32055146.2334759
2008,48166032.5801449,21659614.661648,19459964.2141077,27612612.4600393,103936481.666815,24664072.4957292,21123273.5286606,11854375.4113791,24865122.1077284,21522759.9919524,33805689.7594206,30646462.9846614,73609731.569704,29854831.3051895,14705406.3579701,20164774.1216609,31038306.1892242
2009,69230283.1191535,29996254.5493705,23923804.6637408,40473952.9548807,149733977.068804,40332781.0412832,24814505.2653217,16712368.0025069,36550965.0114891,31008002.9662086,41152955.1894079,43122103.7320162,98232309.0779527,39459730.9615646,26036707.5051323,31153099.3406135,43643164.7323204
2010,71367464.2803771,27250749.4125309,24150787.6515243,39707126.2786114,132169971.021432,37660188.3123823,24174795.2156444,15591938.5756243,33820929.6608716,29296746.8954249,37090051.0415786,41032250.0295676,82075919.7485914,35794105.0001161,20759235.1008736,24077671.3827867,39765878.2122316
2011,57439162.8201911,24262358.2414824,20283905.7887937,35351978.7699621,113976199.077994,29463495.5457009,22014485.788895,13812483.5995064,31362059.4395656,26104634.4409923,29083708.5578914,36544764.1355464,68853974.3147644,31468862.0272088,14262823.9171641,17705599.4749908,33646499.7612147
2012,58681232.3391646,27621160.2469187,18568707.6962508,39726561.1251614,119698578.954966,33888879.273518,28496601.5402119,15515677.5073239,33435545.5361079,29334617.4611855,30871062.6373482,41668206.9067776,76605022.5596119,34691838.7780285,17043266.4007648,22376443.9239608,36954317.8169
2013,75653709.9786887,33232138.9383109,21219020.5569192,49059527.4964877,139984696.637548,46601550.880554,39250725.0379348,16294330.8398103,37199823.4885096,37824372.8228593,35968138.5727436,45430877.2097786,97199500.9908127,41263518.0826028,22179877.8164255,27732058.504169,45064345.1678915
2014,78478112.990679,33078582.5960847,24470897.0677942,42295481.8551335,156619210.581041,47950566.0016038,38955179.1791709,20528726.5698202,43639744.6829382,42619679.9068047,35282271.533648,44069577.842949,94465408.6975791,39428256.8376603,22813020.1973851,29523999.4223015,46718747.9977996
2015,46143426.7751456,17831569.2568387,17217419.4918605,28464931.4586264,94316058.0094219,30267217.0306892,21841717.4328387,13075221.4487942,31153061.5167202,26503545.2611749,30899844.5859729,26523064.1806297,55605717.1055905,23257206.1836865,14474151.982788,23165676.4655411,29455284.0109599
2016,73666202.4568254,27223649.0435672,28296517.7925534,45751395.7411237,130172258.612305,48045750.9079249,28005498.1369528,18519675.4491301,43804405.0331021,43890152.4408578,45747193.2724465,44740698.4000015,86148520.4499146,35857722.9143264,22733052.9667256,40140556.8037983,44867250.0247974
2017,78219773.7215847,31353264.6298688,31030320.5704838,50906543.2231218,154424267.458438,56464524.6400648,31126579.3967692,24233124.8157763,41348142.3062296,47299017.4600033,47413765.7460677,49948607.2000448,97973642.3811845,39163718.947321,25833445.3121987,46952959.6422384,50217158.6736114
2018,72245616.9520666,30526192.0754417,27785004.2641014,51528155.3636504,156506070.653884,52712229.2038852,29114593.7061961,21084794.2929549,42963125.696697,39627077.5499648,42469775.8040266,50901456.1654052,86397861.5448927,39593832.4484655,24086955.8715065,42538776.3615726,47651853.9973359
2019,82157456.3640944,33040156.0105174,35026217.4687916,54581065.5128324,190345581.564018,47862819.3251016,37139269.1738603,25006223.0427253,49911098.324098,42733088.1542027,43060651.9160716,62744701.8477133,89294517.5131869,53750031.8941989,27795398.4864038,40694417.5177368,53831923.1832678
2020,71421588.6706617,25640846.2974708,27798683.239702,49975540.8746867,177535959.251061,37348858.3124599,40248301.3707536,19832730.2584695,31072568.1368542,26663964.614424,39812283.8149275,51772704.5965978,79542511.5616005,48528726.0492105,26720128.5814438,33481554.0980483,46317467.6310807
2021,80836374.6532402,32189903.9898794,30873477.297547,62880191.2946147,208671801.890941,53292739.7465073,50306498.7017487,23495409.474118,32702487.7320821,32718936.0196221,53885156.4799666,61588835.9740717,103139413.968477,55473588.3411407,29774978.537512,41313828.9403391,56067271.9436357
2022,58912746.9210438,27988475.6576528,25651289.256192,42301442.9952423,153867999.143387,41474285.6786534,37263509.7354904,20245317.6973205,31254917.917839,27320608.043862,41656579.5292245,41516506.4819971,80920350.3520416,48170788.9976929,24921738.8168871,30883113.4717971,43197039.452725
