Year,Chicago,Detroit,Minneapolis-StPaul,StLouis,Cleveland,Milwaukee,Cincinnati,Kansas-City,New York,Philadelphia,Boston,DC,Baltimore,Atlanta,Miami,Dallas-FortWorth,Houston,Tampa,Los Angeles,San Francisco,San Diego,Seattle,Phoenix,Denver,Honolulu,Anchorage,Portland
1990,2.8,2.6,2.5,2.7,2.3,2.5,2.6,2.8,2.6,2.5,2.5,2.4,2.5,2.6,2.6,2.4,2.5,,2.8,2.6,2.4,2.4,,,3,2.7,2.5
1991,2.8,2.5,2.5,2.7,2.4,2.6,2.6,2.8,2.6,2.6,2.5,2.2,2.6,2.7,2.4,2.5,2.6,,2.8,2.6,2.4,2.5,,,2.8,2.7,2.5
1992,2.8,2.5,2.6,2.7,2.5,2.6,2.5,2.7,2.5,2.4,2.5,2.3,2.5,2.6,2.5,2.6,2.7,,2.8,2.5,2.5,2.5,,,2.6,2.5,2.4
1993,2.8,2.4,2.6,2.7,2.4,2.5,2.5,2.6,2.6,2.5,2.6,2.4,2.4,2.5,2.7,2.5,2.5,,2.7,2.6,2.4,2.5,,,2.7,2.5,2.4
1994,2.7,2.4,2.5,2.6,2.4,2.5,2.6,2.5,2.7,2.8,2.4,2.4,2.4,2.6,2.7,2.5,2.4,,2.7,2.6,2.4,2.5,,,2.8,2.6,2.4
1995,2.7,2.6,2.5,2.5,2.5,2.4,2.7,2.5,2.6,2.8,2.3,2.4,2.6,2.7,2.5,2.5,2.6,,2.8,2.5,2.5,2.4,,,2.7,2.6,2.5
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,2.5,2.6,2.4,2.5,2.6,2.6,2.4,2.4,2.6,2.6,2.4,2.6,2.6,2.6,2.7,2.7,2.9,2.3,2.9,2.6,2.6,2.5,2.5,2.5,2.9,2.6,2.4
1998,2.6,2.6,2.4,2.6,2.5,2.5,2.4,2.4,2.6,2.6,2.4,2.7,2.6,2.6,2.7,2.6,2.8,2.2,2.8,2.5,2.5,2.5,2.5,2.4,3,2.7,2.3
1999,2.6,2.6,2.5,2.5,2.5,2.5,2.4,2.5,2.7,2.6,2.4,2.6,2.5,2.6,2.6,2.6,2.8,2.3,2.8,2.5,2.5,2.5,2.5,2.4,2.9,2.6,2.5
2000,2.7,2.7,2.4,2.5,2.4,2.6,2.3,2.5,2.6,2.6,2.4,2.5,2.7,2.6,2.7,2.5,2.9,2.5,2.8,2.5,2.6,2.4,2.5,2.5,2.7,2.6,2.5
2001,2.7,2.6,2.4,2.5,2.4,2.5,2.3,2.5,2.6,2.6,2.5,2.5,2.6,2.7,2.7,2.6,2.9,2.6,2.9,2.5,2.6,2.4,2.6,2.4,2.8,2.6,2.4
2002,2.8,2.6,2.3,2.4,2.4,2.5,2.4,2.6,2.7,2.7,2.4,2.5,2.5,2.7,2.8,2.7,2.8,2.5,2.8,2.5,2.6,2.4,2.5,2.5,2.8,2.7,2.5
2003,2.8,2.6,2.4,2.4,2.4,2.5,2.3,2.7,2.7,2.6,2.3,2.6,2.5,2.6,2.7,2.6,2.8,2.4,2.8,2.6,2.7,2.3,2.5,2.6,2.8,2.8,2.5
2004,2.7,2.7,2.4,2.5,2.5,2.5,2.3,2.6,2.6,2.5,2.4,2.6,2.3,2.5,2.6,2.7,3,2.4,2.9,2.6,2.6,2.3,2.5,2.5,2.7,2.7,2.4
2005,2.6,2.7,2.3,2.4,2.4,,,,2.6,2.5,2.4,2.5,2.3,2.5,2.6,2.8,2.9,,2.9,2.6,2.6,2.3,2.6,2.4,2.8,2.5,2.5
2006,2.6,2.6,2.2,,2.5,,,,2.5,2.4,2.3,2.5,2.4,2.5,2.5,2.8,2.8,,2.9,2.5,2.6,2.3,2.7,,,,
2007,2.6,2.4,2.3,,2.5,,,,2.5,2.4,2.3,2.6,2.5,2.5,2.4,2.8,2.7,,2.8,2.4,2.6,2.3,2.7,,,,
2008,2.6,2.5,2.3,,2.4,,,,2.5,2.6,2.4,2.6,2.4,2.4,2.4,2.7,2.8,,2.8,2.4,2.5,2.3,2.8,,,,
2009,2.6,2.4,2.3,,2.4,,,,2.5,2.5,2.4,2.6,2.4,2.4,2.6,2.6,2.8,,2.8,2.5,2.3,2.3,2.7,,,,
2010,2.6,2.5,2.4,,2.5,,,,2.6,2.4,2.4,2.6,2.5,2.5,2.7,2.7,2.9,,2.9,2.5,2.4,2.3,2.6,,,,
2011,2.7,2.5,2.4,,2.3,,,,2.6,2.3,2.4,2.5,2.6,2.6,2.6,2.8,3,,2.9,2.5,2.6,2.4,2.5,,,,
2012,2.6,2.4,2.5,,2.2,,,,2.6,2.3,2.4,2.5,2.6,2.6,2.5,2.7,2.9,,2.9,2.4,2.5,2.5,2.5,,,,
2013,2.6,2.4,2.5,,2.4,,,,2.6,2.4,2.4,2.7,2.5,2.5,2.5,2.6,2.7,,2.8,2.4,2.5,2.9,2.6,,,,
