year,Chicago,Detroit,Minneapolis.StPaul,Boston,New.York,Philadelphia,Atlanta,Baltimore,Dallas.FortWorth,Houston,Miami,DC,Los.Angeles,San.Francisco,San.Diego,Seattle
1990,518,378,427,369,487,436,399,409,384,374,417,449,535,504,450,478
1991,511,449,444,394,490,430,379,428,475,399,379,465,545,520,441,483
1992,481,437,444,483,534,420,372,469,484,404,494,515,532,525,468,473
1993,523,416,450,491,598,457,379,487,447,418,525,543,537,571,513,496
1994,536,422,486,445,613,470,403,435,461,453,531,457,521,579,472,469
1995,545,406,482,442,648,488,406,436,492,507,481,425,469,553,454,456
1996,537.5,482,527.5,438.5,648,424.5,379.5,463,505,505.5,537.5,540,504,683.5,466,503
1997,530,558,573,435,648,361,353,490,518,504,594,655,539,814,478,550
1998,533,494,513,433,619,401,380,449,511,469,444,616,522,782,527,571
1999,514,510,535,508,628,474,415,502,601,522,497,602,563,794,530,641
2000,494,562,550,506,695,571,433,537,658,559,610,609,604,800,496,741
2001,573,526,565,557,712,589,431,499,691,539,628,557,600,751,444,745
2002,617,528,582,598,737,525,514,559,672,535,663,609,633,733,510,722
2003,624,545,592,562,732,470,539,550,604,512,732,633,737,780,635,714
2004,606,542,610,641,735,511,523,485,582,535,798,645,799,789,709,683
2005,609,635,600,686,766,611,502,448,579,556,736,597,749,772,606,666
2006,664,638,584,634,759,620,443,467,596,587,727,642,795,839,529,662
2007,713,635,731,657,743,559,518,573,605,607,854,780,879,888,510,619
2008,724,677,739,802,755,589,532,576,592,576,807,792,881,916,660,750
2009,766,670,666,861,799,681,456,597,607,598,780,809,864,920,785,842
2010,875,709,775,932,811,676,509,641,638,638,801,839,828,920,717,717
2011,903,782,799,1019,858,625,591,727,748,717,740,875,856,991,656,672
2012,862,830,735,1104,870,697,735,789,735,744,727,956,922,1008,727,849
2013,938,844,704,1143,855,844,815,671,657,740,709,940,951,1001,794,1019
2014,951,821,787,956,895,847,781,791,741,796,701,883,901,962,792,1009
2015,917,786,865,1004.5,879,838,707,823,850,792,881,863,866,955,818,1049
2016,967,790,966,1053,829,950,636,865,773,916,884,917,919,925,877,1223
2017,954,809,973,1080,910,1033,672,1008,665,905,880,941,970,972,997,1362
2018,983,876,921,1268,1025,1070,666,975,758,836,912,1104,955,1091,1033,1358
2019,1071,908,1059,1231,1145,928,742,1062,798,790,848,1291,944,1253,1058,1183
2020,1140,932,1061,1429,1357,917,1051,1112,646,618,955,1296,1036,1506,1292,1223
2021,1107,961,1045,1602,1433,1111,1201,1167,617,665,1054,1314,1166,1697,1284,1341
2022,1115,1055,1241,1414,1460,1237,1204,1329,791,776,1162,1261,1217,1958,1416,1368
