"year","west_lbs","p_sw_lbs","mw_se_lbs","a_ne_lbs","west_half_lbs","east_half_lbs"
1998,3203779664.38847,100393973.642807,1162719376.6611,1945606985.30762,3304173638.03128,3108326361.96872
1999,3010368475.44382,94319911.3966984,1083291354.66135,1807720258.49813,3104688386.84052,2891011613.15948
2000,3161240703.80287,99178621.2264701,1127976383.51226,1877104291.4584,3260419325.02934,3005080674.97066
2001,2772026149.21772,87228382.3827205,980713277.389027,1627532191.01053,2859254531.60044,2608245468.39956
2002,2733774393.5812,86443835.1975977,958883365.700642,1586898405.52056,2820218228.7788,2545781771.2212
2003,2791851126.5145,88893268.4269444,970647862.977951,1601907742.08061,2880744394.94144,2572555605.05856
2004,3405635619.00542,109431466.641967,1173175226.27413,1930757688.07849,3515067085.64738,3103932914.35262
2005,3153535145.03104,102495162.078319,1075614891.2731,1765254801.61755,3256030307.10935,2840869692.89065
2006,3279723275.57381,108059304.463117,1121566557.19305,1799150862.77003,3387782580.03693,2920717419.96307
2007,3169933590.84406,106070185.979971,1090262403.43348,1711033819.74249,3276003776.82403,2801296223.17597
2008,3255598589.52217,104612032.239493,1141714075.99309,1763975302.24525,3360210621.76166,2905689378.23834
2009,3286030733.54596,105883212.52537,1137331748.33285,1767154305.59582,3391913946.07133,2904486053.92867
2010,3267346405.22876,103961021.984551,1099016518.1224,1778476054.66429,3371307427.21331,2877492572.78669
2011,3309119891.17291,104960550.181378,1099223216.44498,1799596342.20073,3414080441.35429,2898819558.64571
2012,3500245202.95203,97341697.4169742,1151876752.76753,1845436346.86347,3597586900.369,2997313099.631
2013,3721745702.37624,98937809.9613594,1192516369.00234,1905500118.66005,3820683512.3376,3098016487.6624
2014,4339544682.915,110286770.947011,1283881866.13314,2175286680.00485,4449831453.86201,3459168546.13799
2015,3812363278.64883,67104304.1346328,1120851579.99879,1927780837.21775,3879467582.78346,3048632417.21654
