"year","west_lbs","p_sw_lbs","mw_se_lbs","a_ne_lbs","west_half_lbs","east_half_lbs"
1998,2324997999.04717,254206383.992377,6082795616.96046,0,2579204383.03954,6082795616.96046
1999,1637160794.85456,169381395.795335,4215457809.3501,0,1806542190.6499,4215457809.3501
2000,2075667479.75412,217670211.727973,5320662308.5179,0,2293337691.4821,5320662308.5179
2001,2100624804.07523,220840713.166144,5372534482.75862,0,2321465517.24138,5372534482.75862
2002,2093503076.76788,215597296.479371,5242899626.75275,0,2309100373.24725,5242899626.75275
2003,2175190022.30785,215310687.487325,5387499290.20483,0,2390500709.79517,5387499290.20483
2004,2120344168.26004,216799235.181644,5138856596.55832,0,2337143403.44168,5138856596.55832
2005,1960794599.38026,203148738.379814,4560056662.23993,0,2163943337.76007,4560056662.23993
2006,2069710404.00429,216486950.303897,4367802645.69181,0,2286197354.30819,4367802645.69181
2007,1664107566.71134,174664115.998538,3412028317.29012,0,1838771682.70988,3412028317.29012
2008,2073461049.48274,218173999.750717,4191364950.76655,0,2291635049.23345,4191364950.76655
2009,1958678980.57028,207715367.146101,3931205652.28362,0,2166394347.71638,3931205652.28362
2010,2117685400.80031,220592229.250032,4234522369.94966,0,2338277630.05034,4234522369.94966
2011,2306598043.88052,240467089.61142,4587734866.50806,0,2547065133.49194,4587734866.50806
2012,2289117809.68997,237263454.569856,4545018735.74017,0,2526381264.25983,4545018735.74017
2013,2218225498.2255,221822549.82255,4475151951.95195,0,2440048048.04805,4475151951.95195
2014,1964917663.49916,202383957.518167,3943498378.98267,0,2167301621.01733,3943498378.98267
2015,1900822448.10308,204165497.494631,3715812054.40229,0,2104987945.59771,3715812054.40229
