"year","west_lbs","p_sw_lbs","mw_se_lbs","a_ne_lbs","west_half_lbs","east_half_lbs"
1998,2651242431.46603,1500130631.70441,2055092252.68176,159334684.147795,4151373063.17044,2214426936.82956
1999,2808242544.21548,1555232516.63151,2274389680.35048,159935258.802531,4363475060.84699,2434324939.15301
2000,2622168201.87048,1622381365.80201,2035929557.08488,157920875.242633,4244549567.67249,2193850432.32751
2001,2710953188.37932,1826300274.07272,2071624191.48547,172222346.062489,4537253462.45204,2243846537.54796
2002,2719299621.21212,1644286780.30303,2177981098.48485,167732500,4363586401.51515,2345713598.48485
2003,2621402465.75342,1578478904.10959,2216532876.71233,130685753.424658,4199881369.86301,2347218630.13699
2004,2650497765.93564,1308473580.65177,2193693379.79094,143235273.621644,3958971346.58742,2336928653.41258
2005,2753974762.06662,1057001742.01224,2192688477.22638,169435018.694765,3810976504.07886,2362123495.92114
2006,2743500618.92131,1070977188.32891,2375264367.81609,168657824.933687,3814477807.25022,2543922192.74978
2007,2644288469.48616,1116003466.96055,2246223538.59577,185384524.957524,3760291936.44671,2431608063.55329
2008,2746788478.76302,964045632.395229,2384900579.83312,196665309.008627,3710834111.15825,2581565888.84175
2009,2635787358.23091,988785934.608266,2349097945.23798,191028761.92284,3624573292.83918,2540126707.16082
2010,2710945809.70384,1160388851.38176,2343898775.7674,206066563.146998,3871334661.08561,2549965338.91439
2011,2504041451.29225,955718836.978131,2164165755.4672,220773956.262425,3459760288.27038,2384939711.72962
2012,2305592081.07966,1028966286.82455,2049087591.24088,230854040.854907,3334558367.90422,2279941632.09578
2013,2548325712.81788,979782173.131261,2027955818.13511,231936295.915746,3528107885.94914,2259892114.05086
2014,2091395543.32875,836836698.762036,1921521870.70151,211645887.207703,2928232242.09078,2133167757.90922
2015,2068717439.2936,990653421.633554,2010443708.60927,209785430.463576,3059370860.92715,2220229139.07285
