"year","west_lbs","p_sw_lbs","mw_se_lbs","a_ne_lbs","west_half_lbs","east_half_lbs"
1998,776292027.334852,0,283694760.820046,72213211.8451025,776292027.334852,355907972.665148
1999,905590308.370044,0,316237885.462555,83371806.1674009,905590308.370044,399609691.629956
2000,1007016810.34483,0,336701939.655172,89581250,1007016810.34483,426283189.655172
2001,874479241.071429,0,303677678.571429,81543080.3571429,874479241.071429,385220758.928571
2002,983819117.647059,0,342711764.705882,79769117.6470588,983819117.647059,422480882.352941
2003,1153752066.1157,0,393633057.85124,95014876.0330579,1153752066.1157,488647933.884298
2004,1230496310.67961,0,371780970.873786,92122718.4466019,1230496310.67961,463903689.320388
2005,1318722836.44682,0,395616850.934045,96660312.6191384,1318722836.44682,492277163.553183
2006,1411907033.29592,0,402482865.693977,96510101.010101,1411907033.29592,498992966.704078
2007,1474869681.87045,0,400105672.671522,98324645.4580299,1474869681.87045,498430318.129552
2008,1573987516.06389,0,417298641.454011,99813842.4821002,1573987516.06389,517112483.936112
2009,1693939393.93939,0,495575757.575758,98484848.4848485,1693939393.93939,594060606.060606
2010,1712483740.55194,0,505182703.462823,101933555.985235,1712483740.55194,607116259.448058
2011,1690735371.17904,0,544294567.68559,97370061.1353712,1690735371.17904,641664628.820961
2012,1781083176.12759,0,580641536.614646,93475287.2577603,1781083176.12759,674116823.872406
2013,1839538983.61198,0,571378248.634332,97582767.7536832,1839538983.61198,668961016.388015
2014,1815268219.38392,0,567937190.082645,71094590.5334335,1815268219.38392,639031780.616078
2015,1798595621.44458,0,579785554.214791,58818824.3406309,1798595621.44458,638604378.555421
