Year,Chicago,Detroit,Minneapolis-StPaul,StLouis,Cleveland,Milwaukee,Cincinnati,Kansas-City,New York,Philadelphia,Boston,DC,Baltimore,Atlanta,Miami,Dallas-FortWorth,Houston,Tampa,Los Angeles,San Francisco,San Diego,Seattle,Phoenix,Denver,Anchorage,Portland,United States
1990,8203.21,4250.986,2591.808,2565.02,2104.288,1435.303,1856.819,1618.905,16888.902,5445.186,4137.302,4185.342,2390.543,3104.221,4078.578,4009.53,3775.62,2077.857,11297.143,3719.675,2512.365,2578.807,2249.116,1676.068,267.762,1535.965,249622.801
1991,8304.56,4285.663,2631.964,2579.363,2117.512,1449.76,1878.636,1636.516,16979.004,5479.918,4128.15,4247.235,2418.136,3195.398,4176.731,4109.324,3884.885,2110.974,11400.816,3760.37,2553.122,2630.705,2319.206,1720.743,277.407,1584.767,252980.933
1992,8412.788,4319.806,2674.248,2590.41,2131.036,1462.728,1898.372,1653.327,17114.713,5503.64,4137.692,4312.067,2440.078,3291.991,4262.995,4194.301,3989.77,2135.204,11552.438,3805.588,2593.126,2690.858,2398.76,1779.913,290.307,1625.751,256514.219
1993,8512.911,4344.712,2719.621,2605.968,2140.398,1470.728,1920.041,1673.964,17273.224,5533.081,4163.698,4374.165,2458.038,3402.25,4340.175,4284.857,4075.564,2163.912,11632.798,3839.619,2599.776,2740.325,2491.818,1838.866,296.514,1669.701,259918.587
1994,8605.735,4365.423,2761.929,2616.756,2146.303,1476.272,1933.569,1693.952,17407.324,5562.336,4189.18,4434.176,2475.364,3523.718,4445.162,4388.097,4153.355,2194.294,11663.207,3859.905,2614.685,2774.159,2613.502,1882.983,300.188,1708.216,263125.963
1995,8693.383,4399.746,2804.246,2629.433,2150.203,1481.347,1947.676,1710.587,17544.499,5586.177,4230.795,4488.385,2490.37,3644.699,4547.191,4496.174,4227.574,2226.036,11692.693,3883.894,2623.697,2814.63,2744.046,1931.17,301.878,1749.224,266278.45
1996,8782.253,4433.102,2846.496,2640.161,2153.598,1486.045,1960.948,1733.398,17681.708,5602.154,4265.564,4549.151,2501.453,3765.817,4652.414,4622.564,4314.589,2256.46,11771.038,3923.208,2651.549,2856.795,2855.711,1980.402,302.606,1797.066,269394.258
1997,8862.719,4440.4,2888.02,2651.165,2152.676,1487.435,1977.566,1756.537,17835.528,5615.6,4302.696,4614.434,2513.492,3888.398,4750.249,4765.255,4407.21,2297.251,11915.815,3985.694,2692.6,2918.071,2963.714,2033.464,306.48,1839.867,272646.878
1998,8949.19,4441.717,2931.378,2657.031,2151.568,1490.926,1992.781,1776.976,18007.924,5640.015,4337.751,4684.826,2525.266,4021.41,4836.853,4912.807,4513.913,2336.822,12086.776,4045.185,2736.72,2978.761,3074.532,2082.694,312.895,1875.365,275854.091
1999,9035.654,4447.649,2979.405,2666.413,2149.943,1496.255,2006.474,1796.711,18192.429,5665.21,4369.743,4776.083,2540.307,4157.862,4932.004,5054.705,4622.857,2369.105,12253.223,4089.62,2789.593,3019.651,3178.349,2140.645,317.172,1906.262,279040.114
2000,9113.234,4455.503,3029.064,2678.822,2147.532,1502.42,2021.806,1817.929,18356.204,5691.968,4401.256,4875.923,2557.958,4293.475,5025.895,5187.122,4717.507,2404.013,12392.704,4135.875,2827.366,3052.187,3273.477,2193.653,320.618,1934.792,282162.375
2001,9169.58,4461.855,3071.25,2690.131,2141.787,1507.257,2034.543,1837.551,18476.764,5713.954,4432.132,4982.993,2575.471,4402.455,5110.78,5326.971,4817.815,2444.015,12511.491,4174.788,2869.672,3092.927,3363.736,2241.916,326.081,1971.152,284968.917
