"year","Apples","Bananas","Grapes","PeachesNectarines","Strawberries","OtherBerries","Citrus","Melons","OtherFruit","Pears","Tomatoes","Carrots","Broccoli","Spinach","Lettuce","StringBeans","Cabbage","Onions","Corn","OtherVeg","Potatoes"
1990,69,57,40.425,39.6,140,135,15.9375,15.4945650789029,73.958032128514,27,41.1,17.85,33.45,42.3,18.028939833208,55.2,11.55,15.75,22.5,30.4260080892265,12
1991,85,61.5,41.175,31.65,132,126,27.75,16.0396506397149,86.1008101498012,28.875,47.55,21.9,33,46.5,17.8589887435794,67.65,12.45,18.75,25.5,34.7997296700871,8.55
1992,85,61.5,31.95,31.8,140,156,15.1875,13.3255087904476,65.5553981017663,28.35,53.7,16.2,35.25,35.1,20.766719600458,52.8,13.65,19.5,21.6,34.2747253384017,10.2
1993,80,57,50.85,33.15,137,130.5,12.9375,15.5773979831145,88.8099140553696,21,47.55,17.55,39.9,45.45,26.6032934131737,56.1,17.1,24.75,26.7,36.0266689866527,12
1994,77,55.5,43.575,28.2,139,129,14.4375,15.5622583302376,89.6191781797464,19.35,41.1,19.35,41.25,44.1,23.0695071020445,56.55,13.95,16.2,25.8,34.1932006958956,10.35
1995,80,60,46.5,39,162,132,14.25,18.7796316964286,118.301291352293,25.725,38.25,25.05,43.95,48.3,37.4557589469354,54.75,17.25,14.85,27.45,38.2548929481273,13.35
1996,89,60,54.375,49.65,159,150,15.5625,16.1292555734214,123.673889084817,37.2,42.3,20.1,40.65,43.95,24.8192313473969,63,15.3,15.75,25.35,35.7635146931992,7.65
1997,87,57,45.525,36.6,166,153,15,17.6041835007852,105.542210359826,24.675,47.55,19.35,43.65,46.95,28.5350913644583,60.9,16.65,18.9,26.55,38.3400940270722,10.05
1998,91,52.5,47.325,45.15,201,130.5,14.25,18.7223671808729,98.424844320378,28.125,52.8,18.3,45.3,53.85,27.6235677506146,73.35,19.35,19.5,25.8,40.6170579119256,10.35
1999,86,52.5,49.5,42.9,208,153,25.875,16.6524493218394,100.742482321063,29.1,38.7,25.2,36.15,48.15,22.6483735274734,69.75,16.95,14.55,25.35,41.1429144793065,10.35
2000,88,54,48.525,41.4,188,172.5,10.5,16.5535894010934,118.502987279969,24.075,46.05,19.65,46.8,47.7,28.8425240700331,63.9,18.45,16.8,27.75,42.1939937717757,7.95
2001,83,57,51.75,46.05,229,163.5,14.4375,17.795550869328,108.681592833121,25.05,45,25.65,39.75,48.6,28.9307471324624,67.5,20.1,16.05,29.25,41.7718830371295,16.2
