year,Apples,Strawberries
unit,cwt,cwt
1990,0.69,1.4
1991,0.85,1.32
1992,0.85,1.4
1993,0.8,1.37
1994,0.77,1.39
1995,0.8,1.62
1996,0.89,1.59
1997,0.87,1.66
1998,0.91,2.01
1999,0.86,2.08
2000,0.88,1.88
2001,0.83,2.29
2002,0.91,2.28
2003,0.94,2.37
2004,1,2.74
2005,0.91,2.59
2006,1.02,2.5
2007,1.07,2.7
2008,1.27,2.81
2009,1.13,2.57
2010,1.17,2.68
2011,1.3,2.55
2012,1.32,2.44
2013,1.33,2.48
2014,1.3,2.81
2015,1.3,2.72
2016,1.38,2.99
2017,1.24,2.87
2018,1.272158621,2.88
2019,1.470569207,3.02
2020,1.226011956,3.06
2021,1.5484703,3.27
2022,1.536246179,3.53
