year,Artichokes,Asparagus,Broccoli,BrusselsSprouts,Cabbage,Carrots,Cauliflower,Celery,CollardGreens,Cucumber,Eggplant,EscaroleEndive,Garlic,HeadLettuce,LeafRomaine,Kale,Mushrooms,MustardGreens,Okra,Onions,BellPeppers,Potatoes,Pumpkins,Radishes,SnapBeans,Spinach,Squash,Corn,SweetPotatoes,Tomatoes,TurnipGreens,Apples,Apricots,Avocados,Bananas,SweetCherries,TartCherries,Figs,Grapes,Kiwis,Nectarines,Papayas,Peaches,Pears,Pineapples,Plums,Cantaloupe,Honeydew,Watermelon,Blackberries,Blueberries,Raspberries,Cranberries,Strawberries,Grapefruit,Lemons,Oranges
unit,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,cwt,ton,ton,cwt,ton,cwt,ton,ton,ton,ton,cwt,cwt,ton,ton,ton,cwt,cwt,cwt,cwt,cwt,pound,cwt,cwt,80_lbs,80_lbs,80_lbs
1990,29.5,68.6,22.3,23.1,7.7,11.9,25.2,10.8,,15.8,25.8,18.8,21.3,11.5,15.6,,98.1,,,10.5,24.6,8.0,5.1,23.6,36.8,28.2,21.9,15.0,9.7,27.4,,20.9,591.0,1800.0,38.0,1310.0,38.3,,539.0,415.0,,25.0,26.4,360.0,385.0,603.0,14.7,18.0,6.7,92.6,90.0,,,55.3,10.0,18.2,8.5
1991,29.7,78.9,22.0,23.2,8.3,14.6,27.1,10.8,,19.8,25.0,25.8,22.8,11.4,15.0,,99.5,,,12.5,27.8,5.7,4.5,33.0,45.1,31.0,31.7,17.0,13.3,31.7,,25.1,802.0,1320.0,41.0,1300.0,45.9,,549.0,820.0,,33.3,21.1,385.0,415.0,449.0,12.3,18.4,8.9,146.0,84.0,,,54.0,8.7,19.7,14.8
1992,39.4,92.0,23.5,30.5,9.1,10.8,29.0,12.3,,19.1,23.4,20.8,27.1,12.5,20.7,,99.8,,,13.0,26.8,6.8,6.1,23.5,35.2,23.4,25.4,14.4,12.2,35.8,,19.5,593.0,1060.0,41.0,1200.0,38.9,,426.0,290.0,,25.0,21.2,378.0,430.0,252.0,13.9,13.5,5.9,88.7,104.0,1.8,,61.5,8.3,16.6,8.1
1993,50.8,95.7,26.6,30.9,11.4,11.7,30.9,14.8,,18.1,23.5,24.9,31.8,16.0,25.4,,103.0,,,16.5,30.3,8.0,5.1,39.7,37.4,30.3,21.9,17.8,15.1,31.7,,18.4,778.0,405.0,38.0,1700.0,39.9,,678.0,370.0,,23.2,22.1,280.0,400.0,508.0,15.6,18.2,6.9,86.5,87.0,1.5,,54.0,5.1,13.7,6.9
1994,56.4,100.0,27.5,24.6,9.3,12.9,28.7,11.8,,16.0,26.8,26.2,40.1,13.3,23.9,,105.0,,,10.8,29.7,6.9,5.3,36.3,37.7,29.4,22.6,17.2,14.0,27.4,,18.6,546.0,1780.0,37.0,1480.0,43.6,,581.0,491.0,,24.3,18.8,258.0,408.0,321.0,16.6,16.4,6.8,95.0,86.0,1.4,,60.2,5.6,15.5,7.7
1995,75.7,113.0,29.3,25.7,11.5,16.7,34.6,16.3,,16.5,25.6,27.5,25.7,23.5,30.1,,109.0,,,9.9,31.4,8.9,6.5,39.6,36.5,32.2,31.6,18.3,15.9,25.5,,24.1,900.0,1380.0,40.0,2250.0,44.4,,620.0,459.0,,43.5,26.0,343.0,500.0,950.0,18.2,20.6,8.9,110.0,88.0,1.5,,60.4,4.4,15.3,7.6
1996,73.5,92.9,27.1,29.4,10.2,13.4,33.6,10.5,,19.0,26.9,21.9,29.4,14.7,23.0,,109.0,,,10.5,28.0,5.1,8.4,27.6,42.0,29.3,32.2,16.9,14.4,28.2,,20.8,1170.0,1300.0,40.0,2120.0,48.1,,725.0,470.0,,44.8,33.1,496.0,598.0,420.0,18.2,17.0,6.3,129.0,100.0,1.7,,56.5,4.4,13.9,8.3
1997,79.5,108.0,29.1,41.4,11.1,12.9,32.3,14.7,,17.7,23.9,23.8,41.4,17.5,24.2,36.4,108.0,,,12.6,32.1,6.7,7.5,33.0,40.6,31.3,27.8,17.7,15.8,31.7,19.2,22.1,558.0,1430.0,38.0,1680.0,56.3,,607.0,518.0,,52.9,24.4,329.0,618.0,312.0,18.0,18.9,7.6,110.0,102.0,1.4,,65.6,4.3,16.7,8.0
1998,70.6,124.0,30.2,41.0,12.9,12.2,34.5,12.3,,20.0,28.5,31.3,37.7,16.2,25.4,44.0,108.0,,,13.0,34.8,6.9,7.1,37.5,48.9,35.9,40.7,17.2,15.3,35.2,19.2,17.3,579.0,1560.0,35.0,1520.0,49.4,,631.0,744.0,,35.0,30.1,375.0,575.0,529.0,18.3,21.6,7.9,121.0,87.0,1.9,,74.1,4.6,15.0,7.6
1999,67.0,131.0,24.1,37.2,11.3,16.8,29.7,12.0,,18.2,30.2,26.9,29.6,13.3,20.6,30.4,107.0,,,9.7,31.1,6.9,8.7,49.3,46.5,32.1,36.3,16.9,17.6,25.8,19.2,21.3,638.0,2160.0,35.0,1500.0,56.2,,660.0,634.0,437.0,40.2,28.6,388.0,594.0,419.0,17.0,21.1,6.6,102.0,102.0,1.5,,74.4,6.1,16.3,13.8
2000,60.3,117.0,31.2,34.4,12.3,13.1,32.1,18.5,19.7,19.9,26.0,30.9,27.8,17.3,24.2,29.4,106.0,31.8,49.0,11.2,31.5,5.3,9.4,39.1,42.6,31.8,23.9,18.5,15.3,30.7,19.2,17.8,573.0,1950.0,36.0,1900.0,57.5,,647.0,455.0,407.0,31.6,27.6,321.0,585.0,442.0,17.1,19.2,6.4,112.0,115.0,1.9,37.3,64.9,6.8,17.0,5.6
2001,58.6,140.0,26.5,36.5,13.4,17.1,29.2,14.4,21.6,19.8,25.1,29.5,29.4,17.9,22.9,33.6,115.0,29.4,46.1,10.7,28.7,10.8,8.8,40.2,45.0,32.4,22.2,19.5,15.3,30.0,17.6,22.9,650.0,1400.0,38.0,1590.0,53.8,,690.0,667.0,480.0,27.9,30.7,334.0,626.0,306.0,19.0,21.1,6.8,110.0,109.0,1.7,41.0,75.8,5.1,13.2,7.7
