"year","west_lbs","p_sw_lbs","mw_se_lbs","a_ne_lbs","west_half_lbs","east_half_lbs"
1998,922889708.723754,28919768.148449,334936187.647925,560456976.46445,951809476.872203,895393164.112375
1999,811297401.942725,25419313.181031,291948134.838941,487182469.894333,836716715.123756,779130604.733274
2000,920165781.444424,28868656.9781452,328328453.172458,546382670.299254,949034438.422569,874711123.471712
2001,704411940.468415,22165993.6777556,249213429.304662,413579471.163386,726577934.146171,662792900.468047
2002,743921884.208802,23523323.9836556,260933865.58283,431830971.368608,767445208.192458,692764836.951439
2003,805248759.497676,25639330.6393299,279962273.112992,462035460.949008,830888090.137006,741997734.062
2004,1043176191.38244,33519822.2475424,359353906.665528,591408088.49077,1076696013.62998,950761995.156298
2005,859229496.804188,27926394.502431,293067937.815729,480971013.535382,887155891.306619,774038951.351111
2006,886518703.926172,29208743.0830717,303162689.991204,486315690.99423,915727447.009244,789478380.985434
2007,874579191.51071,29264580.7362333,300801510.190463,472071269.581206,903843772.246943,772872779.771669
2008,881957992.5665,28339924.4148792,309296071.631354,477869759.961239,910297916.981379,787165831.592594
2009,840588409.258144,27085626.5205402,290936988.315457,452049766.756602,867674035.778684,742986755.072059
2010,853585953.949236,27159553.080203,287115275.419288,464622354.479186,880745507.029439,751737629.898475
2011,834894671.785368,26481664.906687,277335254.295486,454040181.945561,861376336.692055,731375436.241046
2012,901353133.765253,25066599.3167625,296621425.248357,475220945.38029,926419733.082015,771842370.628646
2013,962353768.439283,25582933.8895058,308356001.029895,492716420.357036,987936702.328789,801072421.38693
2014,1192630312.96173,30309941.6553809,352847255.575141,597830653.563633,1222940254.61711,950677909.138775
2015,919203818.704403,16179605.1697145,270249967.600387,464809719.766203,935383423.874117,735059687.36659
