"year","west_lbs","p_sw_lbs","mw_se_lbs","a_ne_lbs","west_half_lbs","east_half_lbs"
1998,560718236.354136,61306786.2254433,1466983813.25168,0,622025022.579579,1466983813.25168
1999,416945307.614889,43137349.9756929,1073575276.52817,0,460082657.590581,1073575276.52817
2000,490155232.299716,51401389.7866202,1256439432.25861,0,541556622.086336,1256439432.25861
2001,508694658.315799,53479560.4185609,1301031763.35666,0,562174218.73436,1301031763.35666
2002,520737025.393472,53627575.7592258,1304116524.29326,0,574364601.152698,1304116524.29326
2003,520368152.29696,51508522.689293,1288845122.67605,0,571876674.986253,1288845122.67605
2004,495687746.565758,50682679.7050382,1201346594.76667,0,546370426.270796,1201346594.76667
2005,482918072.40972,50032878.090267,1123082333.10314,0,532950950.499987,1123082333.10314
2006,508717816.014417,53210714.0888643,1073570011.72698,0,561928530.103281,1073570011.72698
2007,409580664.679623,42989435.3931323,839789959.529577,0,452570100.072755,839789959.529577
2008,477958677.262657,50291832.7595157,966161987.124474,0,528250510.022172,966161987.124474
2009,484723825.678083,51404333.4379742,972874606.918697,0,536128159.116057,972874606.918697
2010,500427486.932643,52127863.2221503,1000654482.08366,0,552555350.154793,1000654482.08366
2011,544251990.138543,56739271.2532005,1082496292.73263,0,600991261.391743,1082496292.73263
2012,565511869.058406,58614414.2888066,1122817720.11638,0,624126283.347213,1122817720.11638
2013,556514241.005895,55651424.1005895,1122737879.40806,0,612165665.106484,1122737879.40806
2014,518875865.620117,53443537.6583954,1041359733.78257,0,572319403.278513,1041359733.78257
2015,507096356.812109,54466728.3730674,991294456.389826,0,561563085.185176,991294456.389826
