year,Artichokes,Asparagus,Broccoli,BrusselsSprouts,Cabbage,Carrots,Cauliflower,Celery,CollardGreens,Cucumber,Eggplant,EscaroleEndive,Garlic,HeadLettuce,LeafRomaine,Kale,Mushrooms,MustardGreens,Okra,Onions,BellPeppers,Potatoes,Pumpkins,Radishes,SnapBeans,Spinach,Squash,Corn,SweetPotatoes,Tomatoes,TurnipGreens,Apples,Apricots,Avocados,Bananas,SweetCherries,TartCherries,Figs,Grapes,Kiwis,Nectarines,Papayas,Peaches,PeachesNecatrines,Pears,Pineapples,Plums,Cantaloupe,Honeydew,Watermelon,Blackberries,Blueberries,Raspberries,Cranberries,Strawberries,Grapefruit,Lemons,Oranges
unit,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,tons,tons,thousand_lbs,tons,million_lbs,tons,thousand_tons,tons,tons,thousand_lbs,million_lbs,million_lbs,thousand_tons,thousand_tons,tons,million_lbs,million_lbs,million_lbs,thousand_lbs,million_lbs,thousand_lbs,thousand_cwt,thousand_cwt,thousand_tons,thousand_tons,thousand_tons
1990,111.4,142.4,989.3,58.7,2163.4,2110.6,654.0,1981.6,,857.6,79.0,57.6,341.3,7320.1,1061.6,,516.0,,30.8,4397.3,1050.5,11334.8,1244.3,164.9,273.8,213.0,693.2,1745.5,1259.4,3380.0,,5515.0,23740.0,139050.0,11300.0,70500.0,5.1,1600.0,849.0,39000.0,229500.0,58000.0,942.7,1401.7,465.6,141.0,223000.0,1856.7,450.3,3187.1,900.0,51.3,,215.7,8636.0,882.0,466.0,2103.0
1991,120.6,137.0,936.8,52.8,2187.1,1997.3,615.7,1908.9,,854.1,76.2,54.5,376.6,7077.8,1157.5,,516.1,,29.5,4266.0,1236.1,12452.1,1260.1,136.9,300.0,228.5,737.6,1552.7,1120.3,3398.8,,5447.0,20140.0,156050.0,11400.0,66680.0,3.7,1300.0,800.4,29600.0,211000.0,48150.0,1241.7,1663.7,462.0,125.0,218000.0,1664.0,373.7,3097.4,700.0,50.3,,236.5,9682.0,1241.0,448.4,1221.0
1992,110.4,137.6,1060.2,56.0,2326.7,2169.8,607.2,2105.2,,915.6,103.2,70.6,379.5,7081.0,1388.7,,501.2,,27.8,4689.3,1442.8,12551.8,1175.4,118.4,393.2,235.1,762.5,1847.3,1200.5,3903.3,,5767.0,23200.0,184720.0,12000.0,95020.0,8.8,1300.0,769.1,52300.0,233000.0,55800.0,1110.2,1576.2,442.2,130.0,250000.0,1811.1,474.0,3778.3,1100.0,45.5,26400.0,223.5,9997.0,1249.0,457.0,2139.5
1993,101.2,125.2,1068.5,80.0,2481.3,2888.0,701.1,2106.7,,933.5,101.6,67.4,416.0,6781.1,1535.5,,527.0,,27.4,5056.4,1449.8,12873.9,1503.2,121.2,410.2,197.6,756.0,1884.8,1102.7,3666.3,,6124.6,21410.0,291550.0,11700.0,79630.0,5.3,2800.0,800.5,49200.0,201000.0,58200.0,1166.0,1568.0,507.4,135.0,185000.0,1898.7,379.2,3691.7,1200.0,69.9,26300.0,199.0,10108.0,1273.0,475.5,2398.0
1994,130.0,131.1,1415.2,63.0,2478.3,3350.9,734.5,2134.8,,941.5,107.4,75.3,459.0,7005.8,1710.0,,525.3,,26.7,5599.3,1542.2,13086.2,1625.9,101.8,417.7,223.0,785.7,2212.1,1338.0,3738.7,,6368.8,26740.0,143650.0,13700.0,99270.0,3.5,2100.0,808.6,39400.0,238000.0,56200.0,1038.9,1514.9,551.0,130.0,247000.0,1795.7,472.4,3923.2,1200.0,68.4,21000.0,216.0,11477.0,1284.0,473.0,2254.0
1995,92.0,110.0,1384.3,56.1,2210.4,2951.8,648.4,2036.8,,1000.2,91.0,70.9,470.3,6234.9,1787.4,,540.5,,26.3,5585.4,1443.1,13019.5,1764.2,94.6,444.1,203.6,713.9,2179.2,1282.1,3409.8,,5840.2,16400.0,175250.0,13000.0,64230.0,2.7,2000.0,852.6,37800.0,170000.0,41900.0,1125.0,1465.0,544.3,125.0,124000.0,1896.2,433.2,3942.6,850.0,75.1,15300.0,242.0,11456.0,1315.0,506.0,2191.0
1996,89.0,111.4,1442.8,68.4,2290.0,3323.6,680.1,2096.1,,983.6,113.8,80.0,612.5,6207.2,1775.6,,546.0,,25.5,5564.6,1663.9,13091.4,1747.0,104.0,396.4,193.4,663.0,2312.7,1321.6,3363.4,,6206.9,13490.0,190250.0,13000.0,80670.0,2.5,2000.0,767.0,31500.0,239800.0,37800.0,769.8,1249.4,459.6,115.0,228000.0,2157.2,473.7,4272.4,750.0,62.6,14900.0,236.0,12126.0,1318.0,515.5,2199.0
1997,93.0,124.8,1574.4,51.2,2526.7,3858.9,632.3,1976.5,216.0,1157.1,133.4,78.0,561.0,6879.4,2024.5,110.6,564.5,185.1,25.1,5960.9,1495.9,12816.0,1730.1,134.0,380.5,326.5,714.7,2364.1,1332.7,3424.8,139.2,5814.5,26830.0,190700.0,13700.0,115440.0,2.6,2000.0,937.1,35000.0,258500.0,35700.0,1126.8,1643.8,572.3,103.0,246000.0,2084.0,482.8,3992.3,750.0,69.6,14500.0,225.0,12018.0,1353.0,498.0,2502.0
1998,87.3,126.4,1612.8,51.2,2377.3,2706.8,546.8,1951.5,216.4,1119.7,129.0,74.0,551.0,6546.1,2076.7,106.6,631.1,188.1,23.2,5841.9,1455.6,12529.8,1967.0,105.3,485.6,296.0,754.0,2630.7,1236.5,3525.6,136.6,6412.5,22880.0,178250.0,21000.0,101960.0,2.3,1100.0,780.8,36600.0,207600.0,35600.0,979.2,1394.4,533.8,111.0,188000.0,2144.0,501.3,3720.5,500.0,75.5,14800.0,244.0,11322.0,1242.0,431.0,2658.0
