"year","west_lbs","p_sw_lbs","mw_se_lbs","a_ne_lbs","west_half_lbs","east_half_lbs"
1998,1044025406.95924,590732282.596726,809269080.782798,62743963.5417043,1634757689.55597,872013044.324502
1999,1115685014.05651,617877403.699795,903590926.545374,63540584.0684187,1733562417.75631,967131510.613793
2000,1043552193.84022,645664009.013795,810245030.919273,62848247.3759927,1689216202.85402,873093278.295265
2001,1072427139.36232,722466911.983572,819514706.130619,68129512.0527249,1794894051.34589,887644218.183344
2002,1065148892.73822,644066666.917409,853114580.445471,65700772.8231051,1709215559.65563,918815353.268576
2003,1028725622.7142,619447686.795646,869841313.43869,51285441.6015875,1648173309.50984,921126755.040278
2004,1019366139.05441,503231385.102812,843681809.343965,55087459.3159883,1522597524.15723,898769268.659954
2005,1092587328.42985,419345422.244981,869907625.302243,67220134.682446,1511932750.67483,937127759.984689
2006,1117078830.7498,436072781.266061,967143045.065149,68672878.9395372,1553151612.01587,1035815924.00469
2007,1095111880.35258,462184315.095039,930256328.471543,76775585.5903096,1557296195.44761,1007031914.06185
2008,1142434362.17786,400962384.1337,991919251.826137,81796326.3632747,1543396746.31156,1073715578.18941
2009,1107119897.90698,415323557.705392,986700641.530857,80238545.3200061,1522443455.61237,1066939186.85086
2010,1116129851.18459,477746412.847136,965012056.83444,84840147.5367393,1593876264.03173,1049852204.37118
2011,1064096302.66604,406134203.685764,919665598.011837,93818235.5018786,1470230506.35181,1013483833.51372
2012,979323764.962279,437063930.910275,870370865.279775,98057609.7142538,1416387695.87255,968428474.994029
2013,1128569350.87897,433913186.831528,898114699.299249,102716930.418389,1562482537.7105,1000831629.71764
2014,972435443.125718,389103662.662155,893449341.886479,98408913.0193803,1361539105.78787,991858254.905859
2015,979536392.777143,469073765.555251,951943818.332716,99333267.9999356,1448610158.33239,1051277086.33265
