"year","west_lbs","p_sw_lbs","mw_se_lbs","a_ne_lbs","west_half_lbs","east_half_lbs"
1998,246253856.711141,0,89993103.7814802,22907335.5080131,246253856.711141,112900439.289493
1999,294763588.975829,0,102933316.78521,27136965.3342827,294763588.975829,130070282.119493
2000,321752391.90822,0,107579787.478515,28622145.2924491,321752391.90822,136201932.770965
2001,278800246.927296,0,96818092.18054,25997450.678108,278800246.927296,122815542.858648
2002,312767714.566665,0,108952116.785985,25359544.4243242,312767714.566665,134311661.21031
2003,359950887.76806,0,122806773.473809,29643014.2867814,359950887.76806,152449787.76059
2004,387348376.970278,0,117033065.769095,28999343.7303951,387348376.970278,146032409.49949
2005,415869750.108434,0,124760925.03253,30482599.4843879,415869750.108434,155243524.516918
2006,447332260.836737,0,127518006.506877,30577141.8799795,447332260.836737,158095148.386857
2007,464784349.614171,0,126087651.767126,30985623.3076114,464784349.614171,157073275.074738
2008,486256385.161143,0,128917241.626869,30835770.7663164,486256385.161143,159753012.393185
2009,537031262.869771,0,157112867.137249,31222747.8412658,537031262.869771,188335614.978515
2010,544407605.77828,0,160600243.704593,32405214.6296595,544407605.77828,193005458.334252
2011,550221384.526362,0,177131510.777643,31687448.4100724,550221384.526362,208818959.187716
2012,602600074.233747,0,196450473.373129,31625819.4987924,602600074.233747,228076292.871922
2013,617661149.86766,0,191851409.078533,32765320.5911738,617661149.86766,224616729.669707
2014,625423450.033721,0,195674244.186623,24494575.3004178,625423450.033721,220168819.48704
2015,610779204.092835,0,196887479.945833,19974092.1684179,610779204.092835,216861572.114251
