year,Artichokes,Asparagus,Broccoli,BrusselsSprouts,Cabbage,Carrots,Cauliflower,Celery,CollardGreens,Cucumber,Eggplant,EscaroleEndive,Garlic,HeadLettuce,LeafRomaine,Kale,Mushrooms,MustardGreens,Okra,Onions,BellPeppers,Potatoes,Pumpkins,Radishes,SnapBeans,Spinach,Squash,Corn,SweetPotatoes,Tomatoes,TurnipGreens,Apples,Apricots,Avocados,Bananas,Grapes,Kiwis,Papayas,PeachesNectarines,Pears,Pineapples,Cantaloupe,Honeydew,Watermelon,Blueberries,Raspberries,Strawberries,Grapefruit,Lemons,Oranges
unit,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs
1990,6.50,39.40,168.10,6.70,59.20,158.70,128.10,222.70,,83.00,15.00,5.70,63.10,396.90,130.60,,9.90,,3.30,378.30,151.20,327.30,18.80,24.30,36.50,26.70,9.40,73.70,14.70,293.10,,773.90,10.30,10.90,0.00,400.50,22.60,25.40,127.50,203.10,20.70,78.80,49.60,94.40,41.30,,85.70,633.50,308.60,1152.20
1991,5.70,37.20,185.60,6.00,77.00,179.10,138.90,245.10,,81.60,15.70,6.20,65.40,496.70,152.70,,17.90,,3.40,345.00,167.60,341.70,19.10,25.30,40.10,27.00,9.60,68.50,16.10,300.30,,818.00,10.80,10.10,0.00,458.50,17.00,18.60,153.30,222.40,19.60,75.70,53.30,101.80,28.90,,95.20,1025.90,268.30,514.30
1992,4.90,42.30,203.40,6.00,86.90,174.50,160.50,256.60,,82.10,19.70,4.20,61.70,476.80,195.00,,14.50,,4.00,359.90,189.40,537.90,24.20,22.20,44.80,27.40,12.10,94.20,19.30,367.50,,1132.00,10.30,13.80,0.00,438.60,16.50,17.90,155.80,252.90,20.90,115.90,45.50,212.10,14.50,18.40,102.30,1012.30,291.40,1091.80
1993,4.50,46.90,232.90,6.10,81.50,186.50,168.20,255.20,,79.40,19.00,5.00,71.80,463.60,230.20,,17.40,,4.70,437.90,122.60,539.30,27.90,21.80,41.20,27.20,13.90,75.50,23.00,345.80,,1082.20,11.50,33.70,0.00,412.60,18.40,16.70,139.30,221.30,20.20,116.20,46.00,215.40,19.00,14.70,102.10,972.20,285.80,1226.50
1994,5.90,48.50,270.90,6.70,82.90,170.20,212.60,257.20,,77.90,18.40,4.80,73.70,438.80,223.10,,11.60,,4.50,802.10,117.70,655.00,26.30,20.30,35.70,26.30,13.10,74.50,22.00,340.70,,1390.60,17.30,21.30,0.00,455.30,19.30,18.30,186.50,282.90,17.80,112.70,59.70,242.40,17.70,6.30,126.40,1011.30,268.00,1208.20
1995,5.10,40.70,279.00,6.00,92.30,190.90,225.10,245.00,,77.10,20.00,6.50,63.60,377.90,227.90,,9.90,,5.60,662.10,108.00,583.90,28.40,21.60,45.80,28.00,14.20,109.50,26.00,289.20,,1526.70,9.30,28.90,0.00,474.20,21.00,17.30,147.10,297.10,16.30,118.10,51.40,239.20,9.00,7.20,111.40,1071.20,284.30,1347.20
1996,4.70,31.70,278.60,8.50,96.90,210.10,232.80,257.60,,70.70,20.20,6.70,81.80,417.50,223.40,,10.30,,4.80,586.30,133.30,610.10,27.60,22.20,44.70,28.20,13.80,91.00,27.20,295.40,,1217.20,7.10,20.60,0.00,500.20,11.70,17.70,167.10,316.00,17.20,126.80,49.50,255.30,7.30,9.10,116.00,1102.20,288.50,1120.80
1997,4.80,33.60,290.00,7.90,95.50,230.10,188.10,257.30,0.00,71.80,22.00,8.80,88.70,395.70,253.30,0.00,11.70,0.00,5.00,600.90,133.80,670.30,27.10,23.80,58.10,30.00,13.60,124.60,29.70,341.70,0.00,1518.30,16.00,9.20,0.00,457.10,12.00,13.80,230.80,263.40,17.00,134.40,39.80,268.90,7.10,8.30,115.80,1058.90,278.30,1324.80
1998,5.00,34.40,300.30,7.40,99.50,255.50,176.10,271.70,0.00,50.90,19.70,7.20,82.50,404.70,282.30,0.00,14.50,0.00,5.40,628.80,127.80,650.90,27.80,20.50,75.40,33.90,13.90,93.60,37.60,286.30,0.00,1209.10,14.60,10.30,0.00,606.60,12.50,12.80,176.50,363.20,19.70,144.00,39.40,244.80,6.20,10.50,109.30,865.10,250.80,1422.00
