year,Artichokes,Asparagus,Broccoli,BrusselsSprouts,Cabbage,Carrots,Cauliflower,Celery,CollardGreens,Cucumber,Eggplant,EscaroleEndive,Garlic,HeadLettuce,LeafRomaine,Kale,Mushrooms,MustardGreens,Okra,Onions,BellPeppers,Potatoes,Pumpkins,Radishes,SnapBeans,Spinach,Squash,Corn,SweetPotatoes,Tomatoes,TurnipGreens,Apples,Apricots,Avocados,Bananas,Grapes,Kiwis,Papayas,PeachesNectarines,Pears,Pineapples,Cantaloupe,Honeydew,Watermelon,Blueberries,Raspberries,Strawberries,Grapefruit,Lemons,Oranges
unit,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs,million_lbs
1990,106.70,43.80,21.30,24.30,88.20,122.10,22.10,40.70,,394.60,35.90,13.70,80.60,17.20,12.10,,2.10,,42.00,381.80,571.70,683.90,7.90,24.10,30.00,2.80,193.10,14.70,19.10,795.90,,228.00,2.20,29.50,6077.70,799.50,66.70,11.50,111.20,93.10,251.10,530.30,115.00,228.60,16.80,,32.20,10.00,23.20,26.30
1991,94.70,52.40,20.10,16.40,45.50,137.00,17.90,42.90,,382.90,43.80,14.20,73.30,21.10,8.30,,3.50,,46.40,496.10,528.80,616.30,7.80,27.20,24.90,2.30,202.80,13.50,17.20,795.50,,229.70,2.70,37.60,6333.80,728.50,69.00,13.40,114.20,101.00,253.90,602.50,160.20,230.90,20.80,,31.50,16.50,25.50,137.30
1992,120.30,57.70,20.70,28.20,39.50,134.30,17.60,32.70,,432.50,37.20,15.80,65.00,21.20,5.90,,4.60,,40.90,421.70,571.00,401.60,8.60,26.20,23.40,2.10,227.30,11.40,17.40,432.20,,303.00,2.80,53.20,6949.70,690.20,44.50,23.10,118.40,130.50,272.70,481.90,111.20,211.40,20.40,2.10,23.80,23.50,20.30,34.50
1993,128.10,69.30,31.80,27.10,58.10,121.40,11.20,38.30,,502.30,40.10,15.80,118.40,32.70,6.80,,3.80,,43.70,510.20,658.80,712.60,9.00,35.10,25.30,2.70,242.90,6.40,16.00,922.40,,259.40,2.20,18.10,6906.10,714.10,54.70,31.30,91.90,142.80,280.30,458.10,118.40,216.20,17.50,2.30,31.40,27.40,16.10,22.80
1994,209.50,64.80,22.80,23.50,51.70,158.90,10.60,28.80,,549.10,47.00,16.20,97.30,20.60,8.90,,3.30,,96.30,544.70,435.20,642.80,9.60,33.30,23.30,1.60,262.70,10.60,17.80,873.00,,238.90,2.50,52.80,7299.00,680.70,64.70,41.20,98.30,144.40,289.10,523.90,114.50,271.20,19.10,3.40,43.70,32.20,16.70,35.80
1995,159.60,79.10,42.70,24.10,78.60,222.20,13.10,56.60,,572.00,55.00,16.60,95.80,51.80,11.70,,5.00,,54.60,483.70,533.60,684.90,12.20,37.30,37.70,3.30,298.70,15.50,22.00,1368.90,,286.90,3.00,41.00,7200.80,719.10,80.60,73.40,100.80,105.90,274.70,613.10,123.20,336.40,19.50,4.40,58.80,29.60,23.80,45.20
1996,182.50,76.10,53.60,25.80,79.20,222.30,16.80,56.50,,686.30,67.90,12.80,100.30,28.30,16.60,,7.00,,56.70,625.20,645.30,986.50,12.60,28.00,39.80,4.10,345.80,23.50,21.30,1625.10,,383.40,3.90,56.00,7425.70,792.60,82.20,126.10,97.60,126.40,298.20,740.80,126.70,455.30,17.80,4.40,67.30,32.90,23.70,51.10
1997,187.30,88.60,70.70,29.10,87.70,223.00,37.60,68.10,1.00,667.50,66.00,12.50,83.40,39.30,28.60,5.00,11.30,1.00,70.70,576.00,639.40,764.80,11.60,28.00,46.00,5.70,349.70,23.00,17.30,1636.80,5.00,373.30,1.80,58.80,7394.00,746.50,83.10,106.30,90.80,171.90,449.70,921.60,162.80,504.20,17.30,4.40,31.90,27.90,31.10,65.80
1998,243.50,109.80,80.50,32.30,89.80,179.20,32.10,106.00,1.00,723.30,83.90,17.20,256.10,22.90,32.00,5.00,18.80,1.00,54.30,598.40,815.60,1061.00,12.70,38.00,42.80,5.60,408.60,40.00,17.90,1868.00,5.50,356.40,2.80,133.70,7709.10,862.20,92.60,105.60,77.50,149.00,557.40,938.60,184.60,484.20,19.30,3.80,58.10,11.30,64.00,88.20
